income_k,debt_ratio,credit_score,employment_years,existing_loans,home_ownership,marital_status,application_channel,approved
27.29,0.271,675.0,8.9,1,mortgage,single,web,approved
20.4,0.48,655.0,5.1,1,mortgage,single,branch,approved
20.41,0.476,658.0,7.4,2,mortgage,single,web,approved
18.91,0.366,721.0,3.5,0,mortgage,single,web,approved
16.11,0.423,647.0,0.0,0,mortgage,single,partner,approved
12.67,0.129,677.0,0.0,2,own,married,branch,approved
20.27,0.398,683.0,0.3,0,own,married,partner,approved
37.85,0.205,685.0,8.8,1,mortgage,single,web,approved
8.31,0.183,586.0,9.0,0,rent,married,branch,approved
17.01,0.418,630.0,14.1,1,mortgage,married,partner,rejected
18.48,0.514,629.0,3.8,1,mortgage,married,web,rejected
31.88,0.388,644.0,8.5,0,rent,married,partner,approved
24.63,0.493,729.0,6.0,2,mortgage,married,branch,approved
29.06,0.579,670.0,0.0,0,rent,married,branch,approved
29.83,0.3,685.0,7.6,3,mortgage,married,web,approved
19.06,0.103,639.0,1.8,3,mortgage,single,web,approved
3.0,0.217,637.0,1.4,1,rent,single,web,approved
21.07,0.624,618.0,6.8,0,own,married,branch,rejected
12.03,0.341,570.0,11.9,2,mortgage,single,branch,approved
16.61,0.419,645.0,12.6,1,rent,married,branch,approved
21.75,0.367,642.0,0.0,0,mortgage,single,web,approved
13.97,0.133,547.0,6.8,1,rent,married,web,approved
28.13,0.343,676.0,0.0,0,mortgage,single,web,approved
25.3,0.493,698.0,5.3,0,mortgage,married,branch,approved
14.83,0.72,677.0,10.4,0,rent,single,branch,approved
23.43,0.309,602.0,2.1,2,mortgage,married,branch,approved
20.07,0.356,655.0,17.6,1,rent,single,branch,approved
21.57,0.128,638.0,8.3,2,mortgage,single,partner,approved
28.42,0.179,608.0,9.0,0,mortgage,single,branch,approved
33.67,0.272,708.0,2.3,2,rent,married,partner,approved
13.91,0.258,604.0,4.9,1,rent,single,web,rejected
13.05,0.124,768.0,8.4,2,rent,married,partner,approved
20.52,0.363,588.0,3.7,3,own,married,web,approved
26.35,0.579,597.0,0.0,2,own,single,branch,approved
26.73,0.416,612.0,5.8,0,mortgage,single,web,approved
32.05,0.342,693.0,9.9,1,mortgage,married,partner,approved
14.3,0.366,607.0,1.4,1,own,married,web,approved
41.34,0.278,623.0,8.7,2,own,married,web,approved
21.77,0.268,555.0,6.3,0,mortgage,single,branch,approved
25.57,0.317,514.0,7.2,3,own,married,partner,approved
22.71,0.404,734.0,5.6,0,rent,married,branch,approved
25.49,0.374,784.0,4.7,2,mortgage,single,web,approved
25.83,0.132,569.0,5.6,2,mortgage,single,branch,approved
10.53,0.319,564.0,0.3,3,mortgage,single,web,approved
21.87,0.419,737.0,9.1,2,rent,single,web,approved
14.51,0.14,600.0,6.1,0,rent,married,branch,approved
13.2,0.299,626.0,3.3,1,mortgage,single,branch,rejected
23.7,0.166,729.0,11.0,1,mortgage,married,web,approved
24.06,0.274,633.0,5.8,2,mortgage,married,branch,approved
24.41,0.22,644.0,10.6,1,mortgage,married,web,approved
21.16,0.622,578.0,6.2,1,rent,married,partner,approved
18.64,0.373,676.0,9.8,4,rent,single,branch,approved
23.51,0.377,622.0,12.3,2,own,married,web,approved
20.07,0.391,682.0,4.3,1,mortgage,married,partner,approved
24.05,0.398,646.0,2.3,2,rent,married,web,approved
26.0,0.587,658.0,14.6,1,mortgage,married,branch,approved
22.64,0.605,580.0,7.0,2,rent,married,web,approved
37.52,0.399,639.0,7.8,0,mortgage,married,web,approved
14.72,0.148,639.0,5.9,1,rent,single,branch,approved
31.58,0.593,703.0,8.0,1,own,single,web,approved
17.5,0.398,674.0,6.8,1,rent,married,web,approved
27.44,0.383,671.0,4.2,1,own,single,branch,approved
26.4,0.169,651.0,3.7,0,rent,married,web,approved
4.04,0.177,572.0,3.2,4,rent,single,branch,rejected
23.36,0.425,562.0,12.4,0,rent,single,partner,approved
26.21,0.14,794.0,2.4,1,rent,married,branch,approved
26.73,0.498,642.0,10.0,1,mortgage,single,partner,approved
20.62,0.02,698.0,5.6,2,mortgage,single,web,approved
15.62,0.092,589.0,4.5,2,mortgage,single,web,approved
11.98,0.119,737.0,8.6,2,rent,single,partner,approved
13.67,0.205,610.0,5.8,4,mortgage,married,web,approved
20.45,0.249,708.0,0.9,0,mortgage,married,partner,approved
3.85,0.143,539.0,4.9,1,rent,single,web,approved
18.12,0.447,663.0,2.9,2,own,married,branch,approved
21.38,0.418,587.0,4.2,2,rent,single,web,approved
34.54,0.693,639.0,5.4,0,own,single,web,rejected
20.35,0.166,565.0,3.4,0,rent,married,partner,approved
21.05,0.289,690.0,6.7,3,rent,single,branch,approved
29.97,0.326,701.0,8.1,0,mortgage,married,web,approved
18.51,0.258,721.0,1.1,0,mortgage,single,partner,approved
8.68,0.617,754.0,8.8,1,rent,single,partner,approved
39.11,0.363,592.0,4.8,2,rent,married,web,rejected
29.9,0.218,759.0,7.0,2,mortgage,single,partner,approved
19.97,0.456,674.0,9.3,2,mortgage,married,web,approved
4.41,0.336,616.0,6.6,3,rent,married,branch,approved
19.96,0.21,585.0,7.7,1,mortgage,single,branch,approved
24.78,0.223,583.0,11.7,1,mortgage,single,web,approved
10.52,0.147,594.0,6.2,0,own,married,web,approved
21.55,0.37,618.0,4.8,1,mortgage,single,branch,approved
16.32,0.02,610.0,7.7,1,rent,married,web,approved
19.05,0.506,760.0,8.3,1,rent,married,web,approved
25.45,0.273,680.0,6.4,3,mortgage,married,web,approved
12.28,0.623,660.0,7.3,1,mortgage,married,branch,approved
22.82,0.31,820.0,7.5,2,rent,married,web,approved
22.42,0.218,528.0,9.8,2,rent,single,web,approved
24.92,0.281,820.0,2.2,2,rent,married,branch,approved
21.04,0.521,668.0,5.9,2,rent,married,partner,approved
31.12,0.233,581.0,4.8,3,mortgage,married,partner,approved
24.69,0.175,643.0,0.7,0,mortgage,married,web,approved
14.66,0.281,741.0,2.7,0,mortgage,single,web,approved
16.37,0.275,596.0,6.2,1,rent,married,web,approved
17.24,0.256,655.0,8.5,2,rent,single,branch,approved
5.69,0.69,501.0,1.9,1,mortgage,married,web,rejected
19.53,0.452,599.0,10.6,3,rent,single,branch,approved
12.43,0.222,616.0,8.5,0,mortgage,married,web,approved
26.56,0.128,675.0,7.0,1,rent,married,web,approved
23.62,0.076,624.0,6.7,3,mortgage,married,web,approved
26.97,0.391,617.0,7.6,2,rent,single,branch,approved
14.9,0.296,685.0,4.5,1,own,married,branch,approved
12.83,0.23,475.0,8.3,2,mortgage,married,branch,rejected
25.48,0.581,615.0,4.0,4,rent,single,branch,approved
11.37,0.213,650.0,7.3,0,mortgage,married,partner,approved
11.81,0.149,697.0,0.0,2,mortgage,single,web,approved
36.55,0.28,624.0,7.9,0,rent,married,partner,approved
22.24,0.145,671.0,0.0,0,rent,married,web,approved
32.76,0.621,692.0,2.5,0,rent,married,partner,approved
22.74,0.511,644.0,5.7,4,rent,married,branch,approved
26.48,0.533,561.0,2.8,4,own,single,web,approved
23.57,0.286,559.0,6.7,1,own,single,web,approved
28.71,0.276,650.0,10.1,3,own,single,web,approved
33.24,0.35,624.0,0.8,2,rent,single,partner,approved
19.9,0.834,537.0,8.5,3,mortgage,married,partner,approved
28.97,0.391,590.0,10.4,1,rent,single,web,rejected
31.23,0.245,571.0,3.8,3,rent,single,web,approved
26.64,0.403,628.0,1.2,2,rent,single,web,approved
37.3,0.26,739.0,7.6,0,mortgage,married,branch,approved
16.1,0.02,660.0,0.8,2,mortgage,single,web,approved
18.13,0.602,642.0,7.0,2,mortgage,married,partner,approved
17.11,0.461,615.0,4.7,1,own,married,web,approved
8.71,0.602,515.0,9.0,1,rent,married,web,rejected
13.77,0.492,607.0,11.6,1,rent,married,partner,approved
23.78,0.332,546.0,3.9,2,mortgage,married,web,approved
22.22,0.392,546.0,5.2,2,mortgage,married,branch,approved
8.2,0.49,649.0,6.3,2,rent,single,branch,approved
25.28,0.319,687.0,3.8,2,rent,single,web,approved
24.8,0.085,595.0,2.3,0,rent,single,web,approved
7.73,0.367,633.0,3.5,1,mortgage,married,web,approved
15.32,0.27,639.0,0.0,1,rent,single,web,approved
33.94,0.284,670.0,5.5,0,mortgage,married,web,approved
32.44,0.167,633.0,4.6,0,rent,married,web,approved
31.23,0.303,651.0,4.9,4,mortgage,single,web,approved
16.86,0.419,503.0,7.1,1,mortgage,single,partner,rejected
13.39,0.154,586.0,10.9,1,rent,married,partner,approved
25.54,0.344,667.0,0.0,4,rent,single,partner,approved
24.22,0.325,586.0,0.0,0,mortgage,single,branch,approved
22.65,0.266,742.0,9.2,2,mortgage,married,web,approved
20.7,0.371,741.0,4.5,0,mortgage,single,partner,approved
25.38,0.198,676.0,7.2,1,rent,married,partner,rejected
27.72,0.082,643.0,5.2,0,mortgage,single,web,approved
21.96,0.114,700.0,6.2,1,rent,married,web,approved
20.38,0.13,619.0,5.5,0,rent,single,web,approved
30.84,0.674,741.0,8.7,0,own,single,branch,approved
20.75,0.34,592.0,12.2,3,mortgage,married,web,approved
22.1,0.223,605.0,3.9,0,rent,married,branch,approved
7.07,0.098,702.0,1.5,1,rent,married,web,approved
33.49,0.199,649.0,8.7,0,rent,single,partner,approved
13.76,0.265,699.0,3.0,1,mortgage,single,branch,approved
35.74,0.429,773.0,11.2,1,rent,married,web,approved
22.38,0.355,803.0,8.2,2,mortgage,married,web,approved
17.55,0.353,685.0,5.7,0,rent,single,web,approved
29.31,0.602,729.0,8.2,0,mortgage,married,branch,approved
18.5,0.593,692.0,0.7,0,rent,married,web,approved
20.5,0.336,645.0,4.3,1,mortgage,single,web,approved
14.0,0.286,661.0,5.6,4,rent,single,branch,approved
22.14,0.416,553.0,8.1,0,rent,married,partner,rejected
25.71,0.392,746.0,6.8,3,mortgage,married,partner,approved
16.87,0.446,502.0,12.8,1,mortgage,married,branch,approved
32.06,0.654,681.0,6.6,2,mortgage,married,web,approved
20.9,0.468,544.0,0.0,1,rent,married,web,approved
23.08,0.519,721.0,8.2,2,rent,single,branch,approved
19.02,0.307,767.0,8.0,2,mortgage,married,partner,approved
19.48,0.359,525.0,1.9,0,rent,married,web,approved
14.49,0.362,609.0,0.0,1,rent,married,web,approved
9.96,0.438,610.0,3.6,0,mortgage,married,web,approved
17.92,0.38,611.0,10.3,2,mortgage,single,web,approved
3.0,0.24,672.0,9.3,2,rent,single,partner,approved
5.45,0.204,560.0,5.0,1,rent,single,web,approved
21.06,0.093,645.0,9.6,2,mortgage,single,web,approved
15.39,0.481,646.0,5.1,1,rent,single,partner,approved
30.57,0.618,708.0,9.6,1,mortgage,married,branch,approved
15.02,0.267,518.0,4.7,1,mortgage,married,branch,approved
14.4,0.411,561.0,5.3,1,rent,married,web,approved
21.25,0.278,625.0,5.5,2,rent,single,web,approved
16.91,0.601,730.0,11.5,1,mortgage,married,branch,rejected
23.97,0.321,638.0,8.3,1,rent,married,web,approved
22.04,0.401,628.0,10.0,0,own,single,partner,rejected
19.83,0.49,679.0,5.1,2,mortgage,married,web,approved
18.76,0.214,809.0,7.7,1,mortgage,married,partner,approved
15.42,0.216,675.0,6.0,1,rent,married,partner,rejected
20.23,0.489,586.0,8.2,1,mortgage,single,partner,approved
14.35,0.573,663.0,7.5,2,mortgage,single,partner,approved
16.12,0.45,591.0,1.2,1,rent,single,branch,approved
37.26,0.463,627.0,4.2,3,rent,married,web,approved
17.9,0.434,625.0,10.9,1,rent,married,web,approved
19.13,0.31,645.0,7.2,1,mortgage,married,branch,approved
33.17,0.269,747.0,11.2,1,rent,married,partner,approved
29.63,0.434,611.0,10.9,1,own,married,web,approved
27.92,0.106,807.0,2.9,1,rent,married,partner,approved
9.2,0.02,599.0,19.3,1,own,single,web,approved
28.07,0.02,555.0,12.1,1,rent,married,branch,approved
29.21,0.273,555.0,12.4,1,own,married,web,approved
26.34,0.568,623.0,1.4,3,own,married,partner,approved
27.59,0.668,606.0,4.9,1,rent,married,branch,approved
14.77,0.474,693.0,4.7,1,mortgage,married,web,approved
21.06,0.431,686.0,6.9,1,mortgage,married,web,approved
11.13,0.428,569.0,6.3,1,rent,married,web,approved
28.14,0.223,674.0,4.6,2,rent,married,web,approved
15.29,0.159,786.0,7.9,2,mortgage,single,web,approved
22.8,0.326,663.0,9.1,2,mortgage,married,web,approved
19.04,0.452,718.0,11.5,2,rent,married,web,approved
7.04,0.531,602.0,8.3,0,rent,single,branch,approved
24.0,0.138,585.0,9.7,2,mortgage,single,branch,approved
11.1,0.055,714.0,6.1,2,rent,married,branch,approved
14.96,0.022,775.0,0.6,2,rent,married,partner,approved
21.45,0.344,629.0,6.5,2,mortgage,single,branch,approved
13.65,0.263,612.0,10.5,2,rent,single,web,approved
19.4,0.344,573.0,11.6,2,mortgage,single,branch,approved
9.7,0.379,626.0,5.1,1,mortgage,married,branch,approved
23.48,0.02,743.0,5.4,1,mortgage,single,web,approved
20.84,0.407,701.0,4.5,2,own,married,branch,rejected
25.5,0.196,740.0,12.8,0,own,single,branch,approved
25.81,0.554,667.0,12.0,0,mortgage,single,web,approved
18.73,0.365,653.0,15.7,4,rent,single,web,approved
20.73,0.506,593.0,3.5,3,rent,single,web,approved
23.15,0.16,746.0,7.3,0,mortgage,single,web,approved
22.61,0.405,675.0,3.6,4,mortgage,single,web,approved
13.25,0.123,627.0,7.0,1,mortgage,single,branch,approved
27.33,0.115,630.0,5.3,2,own,married,web,approved
29.74,0.07,681.0,6.0,1,rent,single,branch,approved
12.82,0.539,688.0,2.6,1,mortgage,single,partner,approved
23.44,0.546,645.0,8.8,2,mortgage,married,partner,approved
8.23,0.249,704.0,6.1,1,rent,single,partner,approved
19.9,0.464,653.0,9.8,1,rent,single,branch,approved
31.03,0.211,689.0,8.9,5,own,married,branch,approved
29.62,0.106,603.0,11.0,1,mortgage,single,web,approved
22.55,0.545,593.0,3.1,0,rent,single,partner,approved
24.02,0.256,544.0,1.1,0,rent,married,branch,approved
13.84,0.513,619.0,11.8,0,mortgage,single,branch,approved
30.79,0.277,531.0,2.6,2,rent,married,branch,approved
18.15,0.438,700.0,8.1,2,rent,single,branch,approved
9.43,0.393,657.0,3.4,1,mortgage,married,branch,approved
10.83,0.353,645.0,15.7,2,rent,married,partner,approved
27.0,0.375,572.0,6.8,1,rent,married,branch,approved
28.13,0.229,782.0,16.3,2,rent,single,partner,approved
34.51,0.229,543.0,10.0,2,own,single,web,approved
25.03,0.483,647.0,11.9,0,mortgage,married,web,rejected
18.77,0.476,556.0,4.7,0,mortgage,married,web,approved
14.48,0.508,640.0,5.9,2,rent,married,web,approved
20.21,0.099,608.0,7.5,3,rent,single,branch,approved
10.31,0.44,687.0,13.2,2,mortgage,single,web,rejected
10.87,0.376,519.0,0.0,1,rent,married,web,approved
8.44,0.26,531.0,8.7,3,mortgage,married,branch,approved
21.21,0.27,648.0,7.7,2,rent,single,branch,rejected
18.99,0.182,736.0,11.1,0,own,married,web,approved
25.46,0.203,539.0,11.0,1,mortgage,single,web,approved
16.18,0.624,630.0,7.6,2,rent,married,branch,approved
26.04,0.153,567.0,4.7,1,mortgage,married,web,approved
24.02,0.37,697.0,2.8,1,own,married,branch,approved
18.07,0.27,699.0,0.0,0,rent,single,web,approved
22.25,0.41,554.0,1.7,1,mortgage,married,web,rejected
17.27,0.301,645.0,10.8,0,rent,married,partner,approved
18.05,0.473,729.0,9.5,0,mortgage,single,branch,approved
15.44,0.211,518.0,5.2,1,rent,single,web,rejected
8.86,0.657,650.0,8.9,1,mortgage,single,branch,approved
25.25,0.473,568.0,9.1,0,rent,single,branch,approved
29.48,0.347,692.0,10.5,1,rent,married,web,approved
16.85,0.134,568.0,4.8,0,own,single,branch,approved
6.19,0.465,633.0,4.6,2,rent,married,branch,approved
17.63,0.307,693.0,0.0,4,rent,married,branch,rejected
18.36,0.316,646.0,4.2,1,mortgage,married,web,approved
26.02,0.298,603.0,13.7,1,mortgage,married,web,approved
19.25,0.435,739.0,10.3,3,own,married,web,approved
31.15,0.484,550.0,2.0,1,rent,married,web,approved
27.38,0.348,696.0,0.2,1,rent,single,partner,approved
35.82,0.295,653.0,0.0,1,rent,married,partner,approved
19.12,0.325,615.0,7.0,2,rent,single,partner,approved
31.5,0.502,612.0,4.2,1,rent,married,web,approved
20.16,0.076,539.0,0.2,4,own,single,web,approved
12.72,0.248,575.0,12.3,1,rent,single,branch,approved
20.99,0.42,657.0,11.0,1,rent,married,branch,approved
39.7,0.368,639.0,1.9,1,rent,married,web,approved
17.82,0.089,765.0,11.9,0,rent,married,web,approved
33.73,0.246,710.0,8.8,0,mortgage,married,web,approved
3.0,0.414,614.0,3.8,0,rent,married,partner,approved
26.15,0.471,623.0,1.7,3,own,married,branch,approved
10.35,0.37,587.0,9.3,1,mortgage,single,partner,approved
19.14,0.214,574.0,7.9,3,rent,single,partner,approved
18.82,0.049,682.0,0.0,2,mortgage,single,branch,approved
24.96,0.317,687.0,4.0,1,mortgage,married,web,approved
27.05,0.268,544.0,7.1,2,mortgage,married,branch,approved
10.83,0.341,628.0,4.7,1,rent,married,branch,approved
21.5,0.172,634.0,3.0,1,own,single,web,rejected
25.94,0.133,615.0,0.0,3,mortgage,married,branch,approved
19.58,0.49,652.0,1.3,3,own,married,partner,approved
29.5,0.264,554.0,8.3,1,own,married,web,approved
18.12,0.157,588.0,8.0,3,mortgage,married,web,approved
16.05,0.304,526.0,1.4,2,own,single,web,approved
17.73,0.387,692.0,0.0,1,rent,married,web,approved
16.23,0.02,626.0,3.4,1,rent,single,web,approved
20.44,0.264,695.0,7.6,2,mortgage,single,partner,approved
14.01,0.587,620.0,5.2,0,mortgage,married,partner,rejected
6.94,0.155,722.0,0.0,2,rent,single,web,approved
27.01,0.479,688.0,2.5,2,mortgage,married,web,approved
16.48,0.592,692.0,7.3,0,rent,married,web,approved
3.0,0.712,820.0,8.6,2,rent,single,branch,approved
23.22,0.274,711.0,11.5,1,mortgage,married,web,approved
21.03,0.343,652.0,8.2,1,own,single,branch,approved
6.69,0.02,573.0,6.0,0,rent,single,web,approved
12.59,0.208,660.0,6.1,2,mortgage,married,web,approved
17.99,0.613,574.0,2.7,1,rent,single,branch,approved
19.84,0.652,568.0,12.7,0,own,single,branch,rejected
8.28,0.515,695.0,0.3,0,rent,single,branch,approved
24.87,0.326,608.0,0.4,0,rent,married,branch,rejected
7.9,0.263,630.0,5.0,1,rent,married,web,rejected
13.79,0.02,801.0,10.6,0,mortgage,single,web,approved
25.88,0.518,719.0,4.8,4,own,married,web,approved
20.19,0.477,678.0,7.4,3,mortgage,single,web,approved
23.04,0.301,526.0,12.3,2,own,married,web,approved
17.58,0.439,674.0,4.4,1,mortgage,married,web,approved
18.1,0.399,610.0,15.4,0,mortgage,married,web,approved
16.29,0.02,677.0,7.2,3,rent,single,web,approved
22.36,0.426,585.0,0.0,3,mortgage,married,web,approved
30.37,0.389,636.0,5.7,0,mortgage,married,web,approved
10.52,0.034,716.0,8.6,0,own,single,web,approved
20.21,0.387,665.0,5.1,4,own,married,web,approved
6.27,0.22,565.0,4.8,2,own,single,partner,approved
27.0,0.193,671.0,9.0,1,mortgage,single,branch,approved
34.41,0.548,749.0,10.8,0,own,single,web,approved
22.66,0.059,597.0,9.3,2,rent,married,branch,approved
21.11,0.422,552.0,3.9,1,mortgage,married,partner,approved
29.45,0.065,627.0,4.9,0,rent,single,web,approved
30.23,0.534,558.0,3.0,1,mortgage,single,partner,approved
14.24,0.499,580.0,6.9,2,mortgage,single,branch,rejected
21.18,0.504,501.0,6.8,3,rent,married,branch,approved
19.66,0.276,674.0,5.5,0,rent,married,partner,rejected
14.98,0.343,560.0,7.8,0,own,married,branch,approved
17.64,0.323,585.0,7.8,0,rent,single,partner,approved
28.85,0.192,640.0,7.9,2,rent,single,branch,approved
17.15,0.426,598.0,7.3,3,mortgage,married,branch,approved
21.07,0.557,597.0,6.2,1,mortgage,married,branch,approved
17.18,0.343,611.0,5.3,3,rent,single,web,approved
24.75,0.517,679.0,9.2,2,rent,single,partner,approved
20.25,0.074,644.0,8.9,0,mortgage,married,partner,approved
12.92,0.174,588.0,9.1,2,rent,single,web,approved
8.49,0.239,596.0,3.5,1,mortgage,single,partner,approved
