hidden_segment,age,income_k,monthly_visits,avg_spend,online_ratio,coupon_usage,return_rate
digital,33.4181,25.2426,8.823,184.6274,0.733,0.1543,0.0728
price_sensitive,32.6667,14.7191,6.1804,136.9251,0.4523,0.4053,0.0888
price_sensitive,27.9918,18.8663,7.1241,181.9946,0.3755,0.2997,0.1509
digital,39.2248,17.2946,10.2991,278.9598,0.788,0.2768,0.1523
digital,29.075,7.5494,10.8256,214.4189,0.6713,0.0952,0.1615
digital,39.9584,18.7704,9.4473,225.6771,0.6556,0.1957,0.084
premium,48.7188,28.1612,5.0038,544.5319,0.6241,0.2847,0.1052
price_sensitive,35.666,11.5762,8.2024,153.7846,0.3311,0.5047,0.1278
family,42.8681,32.4352,5.1697,427.3604,0.2114,0.3584,0.0651
premium,41.8212,29.9118,7.7023,434.767,0.2947,0.1145,0.0548
price_sensitive,36.5388,5.8728,6.2538,124.9325,0.5868,0.5905,0.0901
family,35.5018,14.8839,5.7791,326.8039,0.349,0.3908,0.0293
family,46.7315,14.4138,7.3455,379.2296,0.303,0.3337,0.1081
premium,42.4604,44.7349,4.5719,554.9323,0.2827,0.1175,0.063
family,38.6863,25.6091,2.5317,285.6507,0.3172,0.4473,0.0369
premium,43.9324,37.4594,6.3048,512.5237,0.4653,0.0423,0.1283
digital,24.1446,23.8513,7.2446,158.9714,0.6679,0.1324,0.1277
price_sensitive,40.9429,15.387,9.3588,100.2316,0.5694,0.7106,0.1115
price_sensitive,34.4688,12.6851,7.7494,214.1946,0.528,0.5951,0.0575
price_sensitive,27.0569,8.8681,5.014,158.6616,0.3093,0.5103,0.0965
family,35.3232,23.9877,6.4688,294.0699,0.3148,0.1943,0.0194
family,38.924,20.0728,6.7284,258.1286,0.4959,0.3038,0.0839
family,22.8288,15.455,9.3509,238.3121,0.2638,0.0593,0.0378
premium,44.9432,30.9289,5.2731,404.3334,0.4969,0.0787,0.0407
family,34.0186,28.0867,8.805,320.8954,0.2794,0.2439,0.0802
premium,54.2627,29.5022,5.096,649.7817,0.5884,0.1991,0.0502
family,48.0932,29.4409,3.4938,359.5187,0.5685,0.3015,0.0435
family,36.2268,22.5867,8.4785,86.0768,0.3828,0.4849,0.099
price_sensitive,42.764,15.0935,8.4841,197.0,0.246,0.5018,0.0872
family,44.7575,24.126,7.5216,208.8765,0.344,0.5559,0.0617
family,38.7604,24.2736,5.7501,382.1855,0.3382,0.3884,0.0713
price_sensitive,45.5207,13.8417,6.7778,153.227,0.2186,0.6618,0.1296
family,28.745,22.1689,8.4237,314.5729,0.4082,0.3512,0.0809
price_sensitive,25.0187,17.0088,5.6589,177.2067,0.453,0.519,0.1409
price_sensitive,36.8878,13.0284,8.7008,131.6266,0.3618,0.3783,0.0798
digital,40.6188,15.3998,8.3443,213.625,0.7132,0.1288,0.1369
digital,35.4644,14.0495,10.0446,210.3238,0.7008,0.1699,0.1429
family,42.7725,8.6458,9.9386,305.8662,0.5598,0.2248,0.0476
family,31.6542,25.0101,8.9078,282.727,0.1958,0.4439,0.0528
family,44.9637,22.0688,9.4643,295.504,0.2299,0.3081,0.0458
premium,44.2964,35.2735,3.6533,451.7349,0.4102,0.2282,0.0543
digital,24.7327,17.7079,9.4433,206.9786,0.7163,0.2218,0.0672
family,25.7973,25.665,4.5159,345.06,0.5207,0.2998,0.0698
price_sensitive,22.489,18.1984,6.7609,138.4118,0.396,0.3984,0.145
digital,34.5227,21.828,6.7836,228.6157,0.98,0.1806,0.1027
family,32.9391,19.3369,7.381,362.5996,0.3687,0.1694,0.1101
family,39.3228,25.8957,7.7338,206.8288,0.3404,0.2208,0.0485
digital,31.2785,22.5091,8.972,130.5249,0.7568,0.0693,0.117
price_sensitive,23.1276,15.5025,9.0936,132.3455,0.3061,0.4725,0.1084
family,47.2002,28.2069,7.7494,364.6445,0.2881,0.2256,0.0862
price_sensitive,36.7392,12.0853,7.679,212.6978,0.2887,0.4246,0.0871
family,46.4998,19.4888,5.9986,302.6394,0.405,0.1663,0.0639
price_sensitive,22.0736,14.7967,3.9675,143.0444,0.1747,0.546,0.0965
digital,35.7552,21.1283,12.2423,246.1483,0.8345,0.1501,0.0989
premium,34.748,35.315,7.8409,669.3679,0.5726,0.0037,0.1233
digital,31.7629,13.2398,11.6334,254.8427,0.979,0.1068,0.1043
premium,50.7095,36.5322,8.3662,455.1402,0.4638,0.0501,0.0556
family,38.0219,28.094,2.5177,327.2701,0.2254,0.052,0.0857
price_sensitive,55.2024,4.9285,3.683,73.744,0.2355,0.4388,0.1159
family,33.7313,24.4092,6.7586,239.3185,0.2481,0.004,0.0387
digital,36.725,19.0308,8.0178,298.8609,0.6817,0.1001,0.0935
price_sensitive,19.4856,19.1355,5.9054,209.5204,0.4843,0.1625,0.0856
family,24.165,24.1277,6.4076,408.3954,0.3205,0.1853,0.058
price_sensitive,27.5277,15.1776,5.6033,78.6329,0.2558,0.5674,0.0957
premium,44.2791,36.6021,4.5228,415.3763,0.4477,0.0546,0.1488
price_sensitive,32.8359,15.2959,8.178,88.4732,0.4181,0.4533,0.069
family,32.5418,27.7538,6.5549,270.6568,0.3242,0.1942,0.0631
price_sensitive,39.9013,23.3586,3.5744,80.8558,0.5371,0.5814,0.136
family,33.6592,17.3466,6.1718,291.1239,0.4388,0.3335,0.0932
digital,26.3065,21.765,6.9996,139.6922,0.5805,0.1368,0.0741
price_sensitive,21.2544,10.7041,6.5058,93.2521,0.3672,0.5504,0.0584
family,30.7531,15.8012,4.387,398.0328,0.2425,0.278,0.0259
family,35.831,14.1919,6.6137,201.8289,0.4021,0.2155,0.1052
price_sensitive,36.0625,9.83,8.5826,176.8587,0.3123,0.7462,0.0181
price_sensitive,41.18,16.0465,4.9695,155.2529,0.412,0.5244,0.0229
premium,24.7079,36.3415,7.1944,465.7581,0.652,0.2058,0.0172
family,36.695,12.2924,8.843,357.9958,0.3761,0.5175,0.0691
price_sensitive,48.5846,15.415,5.1005,244.0588,0.4041,0.3232,0.1419
premium,45.6477,13.3177,8.8559,529.764,0.5587,0.1164,0.0284
digital,30.7303,22.9095,11.5515,211.11,0.784,0.2132,0.0568
premium,44.6566,20.1578,6.8852,590.048,0.7074,0.1347,0.0575
family,30.3586,19.6233,7.2406,292.9501,0.2876,0.211,0.0777
digital,26.5859,16.9942,9.2626,193.5404,0.7964,0.1163,0.1318
price_sensitive,33.5256,15.841,8.2891,99.9139,0.5041,0.3275,0.0649
digital,26.2439,21.6078,5.7351,179.0075,0.7889,0.3029,0.0883
family,44.4933,26.7085,9.0619,172.6498,0.2633,0.1493,0.0789
price_sensitive,37.9584,11.5462,6.4273,72.0632,0.3168,0.4243,0.063
price_sensitive,43.2625,18.2808,7.2522,62.6816,0.6583,0.3161,0.009
family,41.3473,30.7938,8.5774,288.9581,0.5677,0.1939,0.0139
family,26.606,28.467,6.9821,379.1716,0.321,0.5001,0.0567
family,42.2691,24.7915,7.8226,285.6351,0.3384,0.397,0.0253
price_sensitive,35.7229,13.4569,5.6592,138.595,0.254,0.4587,0.0576
premium,35.0097,32.9361,7.5608,662.0151,0.2564,0.1108,0.0832
price_sensitive,39.3495,21.0587,6.2931,172.5998,0.4405,0.4214,0.1138
premium,42.0452,32.6112,3.6273,524.1105,0.4453,0.1067,0.1174
family,40.8067,21.6642,7.7776,368.1252,0.4242,0.2527,0.0855
family,38.7831,8.929,7.9962,181.933,0.463,0.4337,0.0734
premium,19.4854,34.8143,5.0794,548.2511,0.7364,0.1061,0.0635
family,22.2985,24.1914,5.5426,276.0756,0.214,0.2514,0.0635
digital,27.8099,19.2566,7.9653,170.614,0.8306,0.2461,0.0881
family,37.1392,23.2448,9.4979,148.3086,0.4155,0.1227,0.0694
price_sensitive,33.0103,10.7989,3.7476,96.408,0.3269,0.6122,0.0766
price_sensitive,34.8869,12.0426,6.8938,65.192,0.2408,0.436,0.105
family,25.3978,25.4932,6.1853,316.1345,0.1999,0.4062,0.0694
price_sensitive,43.2886,15.5756,7.1311,155.892,0.6402,0.493,0.1026
price_sensitive,24.1725,10.7313,3.9053,149.4474,0.4017,0.3339,0.0424
digital,36.3594,19.7708,9.434,199.3942,0.7713,0.2527,0.1298
premium,44.1165,22.5446,5.0941,515.5442,0.2625,0.2213,0.1177
price_sensitive,26.1079,7.387,6.2793,128.4467,0.5956,0.1787,0.1207
digital,38.59,15.1101,10.33,143.9796,0.8609,0.176,0.1314
family,52.1778,22.9667,6.5709,354.879,0.4477,0.3927,0.0083
price_sensitive,34.8142,15.7102,5.4762,168.0581,0.6378,0.4085,0.0943
family,38.7619,27.4803,2.3525,399.3888,0.3424,0.2147,0.0678
family,44.8555,12.9739,6.0818,271.1581,0.3176,0.2788,0.074
family,36.3703,16.1846,6.5567,411.0235,0.2976,0.2275,0.0281
premium,18.0,28.6893,3.8061,656.0448,0.4882,0.1203,0.13
digital,21.3227,10.5534,8.8106,180.766,0.7002,0.1327,0.0311
digital,37.0037,21.023,8.0354,115.5649,0.7474,0.1683,0.0087
premium,27.2524,17.9937,5.9879,516.5153,0.5883,0.0,0.0803
family,36.7561,29.211,5.3854,255.9843,0.2553,0.4071,0.0619
family,40.0571,23.0709,8.3176,400.8821,0.1688,0.2796,0.1141
family,31.5223,13.0483,6.1758,306.0109,0.1142,0.3295,0.0517
price_sensitive,46.2709,14.759,8.9686,169.5336,0.3524,0.616,0.0639
price_sensitive,52.5993,20.3474,5.1283,137.3854,0.5445,0.3532,0.0514
family,40.7913,18.5375,7.2472,295.4165,0.3446,0.5156,0.015
digital,31.529,14.491,10.4297,193.1062,0.7827,0.3119,0.103
price_sensitive,54.9586,13.939,7.1657,47.241,0.4172,0.5463,0.0896
family,33.0883,32.5245,8.7297,249.1134,0.2611,0.1481,0.0487
family,38.2301,29.2883,8.609,354.5577,0.414,0.3006,0.113
family,29.8662,19.2658,8.1687,440.5456,0.3356,0.3196,0.084
premium,35.5668,31.2861,2.8556,527.4181,0.5113,0.0756,0.1106
family,34.9374,15.687,8.2557,381.5728,0.2634,0.3045,0.0365
family,28.9006,18.0361,8.9552,367.7104,0.4476,0.0641,0.0621
price_sensitive,36.2469,18.4824,7.6031,152.268,0.3428,0.6295,0.0618
family,32.1916,24.1675,5.8864,308.1664,0.4179,0.2154,0.0429
price_sensitive,19.4542,13.2569,5.9782,157.4206,0.2195,0.5461,0.0872
digital,30.714,22.3378,8.4744,188.6296,0.7708,0.1726,0.0885
price_sensitive,38.5397,13.6086,8.16,124.7617,0.4002,0.4619,0.0803
family,35.3958,22.5948,7.862,237.8149,0.4926,0.107,0.0507
price_sensitive,34.0435,14.1677,6.9924,192.4871,0.3849,0.4771,0.1076
premium,36.4178,45.5238,5.2924,593.6887,0.3012,0.1529,0.1118
family,35.6555,21.9574,7.7201,303.1569,0.2109,0.2658,0.0763
price_sensitive,18.0,14.8744,5.6662,113.4201,0.529,0.4559,0.1489
price_sensitive,38.8268,10.2977,4.73,142.8833,0.1486,0.3877,0.0549
premium,58.1022,18.721,6.4459,535.6355,0.4389,0.1175,0.0624
premium,33.9628,20.5518,4.8758,423.4849,0.6554,0.1755,0.0753
family,33.245,14.2099,6.78,468.8612,0.313,0.1739,0.058
price_sensitive,30.3304,11.7944,5.6151,237.6191,0.4793,0.5412,0.1814
family,49.7618,32.233,6.6243,238.6309,0.4142,0.4668,0.09
price_sensitive,28.9109,9.8892,5.8011,121.2812,0.4683,0.4002,0.0383
digital,36.0027,11.2654,12.1312,213.0714,0.7847,0.3783,0.1159
digital,37.5833,17.5877,5.78,135.4973,0.8782,0.1078,0.1622
premium,27.8377,31.762,3.5411,644.0617,0.3407,0.1399,0.0755
premium,37.0832,45.1162,8.0986,737.3101,0.4362,0.1578,0.0724
price_sensitive,35.6815,16.0791,7.5638,57.9006,0.5057,0.2794,0.1096
family,44.3248,14.9894,9.6784,171.1384,0.4109,0.4001,0.1062
premium,37.3172,17.2332,5.703,507.1821,0.6667,0.1841,0.0964
family,41.6638,21.1683,7.4087,363.6538,0.3316,0.2806,0.0817
price_sensitive,49.3432,14.0219,4.0815,144.773,0.4599,0.4088,0.0245
price_sensitive,36.4073,18.5608,5.8816,100.0206,0.4005,0.2873,0.126
premium,32.3182,21.1928,3.0601,406.0559,0.3302,0.2841,0.1071
family,25.8997,7.1627,9.0368,300.1329,0.5973,0.2956,0.0448
digital,28.5724,19.5295,6.014,232.5886,0.6244,0.2886,0.0944
digital,26.779,17.845,8.6432,170.218,0.5091,0.2661,0.1121
price_sensitive,28.1085,16.9387,7.8874,173.6442,0.5091,0.5455,0.1001
digital,28.8733,19.3559,9.3467,105.6815,0.7632,0.2979,0.1589
digital,31.8543,15.9819,9.952,324.5934,0.8277,0.0572,0.1431
digital,18.0,15.1179,8.3113,136.0695,0.8454,0.0707,0.1367
family,34.8702,23.1608,7.2376,178.0331,0.3475,0.4424,0.094
digital,40.8865,18.9391,9.8586,202.9174,0.6191,0.3457,0.1262
family,43.4741,19.3276,6.0707,268.9425,0.3991,0.3512,0.0468
digital,20.4436,26.6757,8.153,178.269,0.7811,0.4138,0.1066
premium,42.6828,35.1651,8.6639,452.5069,0.5042,0.1606,0.0619
family,32.4204,22.5835,9.2953,447.6902,0.2128,0.2339,0.0652
family,45.7511,29.8313,6.6077,324.1793,0.2716,0.2447,0.068
family,39.3594,18.2562,6.6139,359.8432,0.3252,0.3439,0.0591
price_sensitive,32.1798,16.7751,5.4342,102.3081,0.5312,0.3819,0.1126
price_sensitive,33.42,14.0793,5.5109,136.8684,0.4866,0.4728,0.0237
price_sensitive,35.6058,18.9396,6.6019,80.2051,0.4013,0.4498,0.1167
price_sensitive,43.8941,13.5776,6.2972,120.9712,0.4288,0.2481,0.0573
digital,22.6783,26.1314,8.2651,58.7045,0.9466,0.2607,0.0678
family,42.9511,23.1024,10.1123,285.4571,0.4885,0.3112,0.0155
premium,42.0055,24.0403,5.6161,577.6958,0.407,0.166,0.0677
digital,24.9465,5.4717,8.2717,153.2845,0.6522,0.0875,0.0688
price_sensitive,36.4456,11.5349,5.7022,143.6034,0.3826,0.3587,0.1454
premium,26.0762,35.9909,6.2099,750.5642,0.5026,0.0015,0.0659
price_sensitive,26.4477,23.4486,6.0718,131.6854,0.4901,0.3346,0.1324
price_sensitive,40.3945,7.9563,4.5317,131.5404,0.5452,0.4273,0.1631
digital,31.3381,21.3894,8.9899,234.2312,0.9266,0.1851,0.1097
price_sensitive,41.0543,17.8564,1.5903,179.2748,0.5023,0.3245,0.1154
premium,30.4427,24.4652,4.377,549.3283,0.4472,0.0612,0.083
digital,18.1496,16.5081,7.2119,223.191,0.5652,0.2205,0.188
family,44.0795,20.9456,3.4966,500.5153,0.386,0.3523,0.0484
family,29.334,21.8165,3.7686,193.1002,0.2787,0.4251,0.1013
premium,30.1583,30.0878,5.1492,549.4405,0.5037,0.1839,0.0285
digital,29.5831,11.0124,8.9655,163.2739,0.7919,0.2953,0.1479
premium,46.2826,33.2343,6.9702,389.0546,0.28,0.0321,0.081
premium,36.7894,44.8507,4.5955,485.3101,0.5772,0.192,0.1132
digital,33.2112,25.4499,6.5852,124.9548,0.5839,0.3442,0.0825
price_sensitive,39.0475,24.1105,1.8888,66.6807,0.5942,0.4439,0.0684
family,24.5068,28.9348,8.9302,113.9281,0.4807,0.4223,0.0491
price_sensitive,34.0472,20.24,5.9827,95.4095,0.3279,0.6781,0.1553
premium,37.5664,17.9109,7.6027,450.3141,0.4201,0.0945,0.1384
family,45.0901,29.4828,6.3889,322.352,0.5095,0.269,0.1058
digital,25.6814,9.5832,7.5921,227.7491,0.8094,0.2172,0.1629
premium,21.1753,28.0927,6.124,465.03,0.6416,0.1927,0.0665
price_sensitive,38.3843,20.168,6.4472,125.6879,0.4954,0.4536,0.1733
price_sensitive,32.9652,8.6169,4.0972,118.1021,0.4044,0.3386,0.0528
family,30.4903,21.9758,5.4895,264.5936,0.2124,0.177,0.0809
family,35.9458,17.4378,7.4994,278.0927,0.5855,0.168,0.0
price_sensitive,23.9969,10.4513,5.5672,171.4887,0.3522,0.465,0.0449
digital,33.159,17.8671,6.2953,129.2794,0.6492,0.0613,0.1252
family,28.9378,23.4041,4.5724,334.684,0.3646,0.4091,0.0804
digital,40.9397,24.3121,6.8691,242.5594,0.8809,0.2437,0.1164
digital,30.2073,22.6094,9.3229,205.5381,0.6327,0.0299,0.1106
premium,47.2606,45.5804,6.8366,364.1948,0.6211,0.1581,0.0647
family,31.3344,18.7402,5.9867,378.5406,0.3683,0.29,0.0543
family,43.7036,33.1439,7.9853,250.3714,0.3776,0.4201,0.0705
digital,21.3721,9.9853,9.0904,238.1172,0.7772,0.198,0.1771
family,30.3843,19.2725,8.7701,391.6076,0.4017,0.5214,0.0851
premium,40.14,47.8181,6.9444,679.0286,0.4718,0.1238,0.0963
price_sensitive,34.872,18.8791,6.9989,194.2243,0.4661,0.5972,0.1028
family,36.0087,21.6783,6.4966,338.604,0.416,0.2485,0.0494
family,24.0393,16.6623,6.6075,177.735,0.4182,0.3447,0.0539
family,29.4518,25.3427,6.1177,352.6198,0.3874,0.2817,0.077
family,53.1745,20.9309,7.1799,392.7049,0.1962,0.3426,0.0699
digital,18.0,14.4753,9.6573,208.0001,0.6668,0.1293,0.084
family,37.4446,24.4222,8.0534,375.8271,0.4574,0.3,0.0802
family,32.9023,18.1126,6.2716,305.7906,0.2044,0.4033,0.0181
digital,33.8783,10.5454,7.8226,25.0,0.8022,0.1684,0.0404
price_sensitive,31.2005,12.7653,5.9817,44.0669,0.2103,0.5348,0.0023
family,31.5656,16.4461,9.6048,257.5257,0.4532,0.0272,0.0717
premium,38.5265,39.1219,1.9305,487.4985,0.5127,0.2127,0.1004
family,28.3613,17.136,7.6288,269.4024,0.4157,0.1797,0.0431
digital,18.0,7.5759,11.1718,154.0629,0.6278,0.1875,0.0876
price_sensitive,33.9705,14.9015,3.7737,152.743,0.3908,0.573,0.1495
digital,33.6466,21.8041,7.2645,176.1581,0.8206,0.1628,0.0797
price_sensitive,29.4885,6.7937,8.0518,167.8428,0.3027,0.3403,0.0452
digital,18.5479,10.3947,9.3301,178.2716,0.6932,0.1864,0.0322
digital,29.7607,14.2668,8.1159,166.9304,0.766,0.217,0.12
price_sensitive,47.4737,10.4255,8.6361,125.097,0.4414,0.5554,0.0423
premium,38.682,28.8927,4.3149,689.2993,0.5609,0.1037,0.138
price_sensitive,33.9806,16.9647,8.8196,124.595,0.525,0.3558,0.0741
digital,35.7577,17.8257,8.7048,128.2012,0.555,0.2467,0.1143
price_sensitive,26.0485,14.6187,8.315,122.3253,0.5169,0.4378,0.0665
digital,36.2114,14.5999,6.7994,236.4596,0.6134,0.1981,0.1845
family,41.2056,18.7068,4.4097,229.3439,0.5192,0.3487,0.043
digital,27.3035,15.4595,5.6784,170.0181,0.9099,0.1958,0.1985
family,41.4918,29.1766,10.443,277.2242,0.3192,0.2198,0.1068
digital,32.0217,15.904,10.7487,238.2043,0.5703,0.4344,0.0913
price_sensitive,33.4568,14.6638,6.3804,186.0574,0.4371,0.4453,0.1082
premium,43.1675,35.9502,5.3728,661.7921,0.5016,0.0701,0.0755
price_sensitive,36.5622,18.8302,6.02,122.8373,0.3437,0.4045,0.0941
family,30.3942,21.7937,8.8681,246.2771,0.1868,0.2142,0.1112
digital,23.6392,15.8708,7.686,100.2192,0.6968,0.1409,0.1746
price_sensitive,30.5545,14.0742,5.0898,119.1946,0.5184,0.6516,0.0639
digital,20.9454,21.0136,8.1389,133.934,0.6667,0.0682,0.0676
digital,26.4488,20.5457,9.5635,230.6409,0.9116,0.2395,0.1695
family,35.6157,25.4032,6.0504,412.6001,0.3662,0.2259,0.0567
price_sensitive,29.9556,17.7412,5.2358,210.6063,0.4429,0.3652,0.0482
premium,38.6849,38.1053,6.5478,587.9761,0.5447,0.0936,0.1049
price_sensitive,33.9744,18.9768,6.8973,145.8831,0.4463,0.654,0.1376
premium,38.765,40.8518,5.5171,440.0039,0.5081,0.1926,0.0264
family,38.3593,21.7512,7.604,351.7875,0.1473,0.2399,0.0378
family,41.7738,23.105,7.7094,304.1313,0.5278,0.458,0.0961
digital,23.4993,19.6458,11.7491,106.5281,0.6692,0.2128,0.0783
digital,18.0,12.4044,11.0226,153.5825,0.6221,0.2901,0.1359
price_sensitive,37.4009,14.4004,4.8874,185.7536,0.3143,0.2505,0.0486
digital,36.5937,17.0494,8.2527,178.0189,0.8119,0.2325,0.0936
premium,37.3212,28.3973,5.772,520.9005,0.6106,0.1082,0.0
digital,24.4348,16.6943,9.0305,204.3169,0.7508,0.3012,0.08
family,38.4363,13.158,6.8692,321.7308,0.1724,0.3868,0.0716
family,32.5066,31.9625,5.6439,296.5374,0.151,0.1777,0.059
price_sensitive,33.201,12.6436,7.6874,143.2673,0.4982,0.3257,0.0518
price_sensitive,33.783,13.2085,3.6171,167.8269,0.2958,0.3242,0.0685
family,35.2281,22.744,7.5676,206.3007,0.2459,0.1127,0.0
premium,50.4203,30.0908,4.373,728.2555,0.2535,0.2213,0.0188
price_sensitive,35.5614,12.0803,8.2081,80.6827,0.5461,0.4184,0.0991
family,32.3374,25.5637,6.2343,352.4569,0.3218,0.3797,0.0223
price_sensitive,24.3908,14.8637,6.3473,198.9714,0.4763,0.3171,0.1138
family,34.7508,31.0183,5.6743,344.8098,0.2578,0.3197,0.0642
price_sensitive,45.5592,18.4738,4.447,116.8581,0.5364,0.6053,0.154
digital,30.5577,15.2916,9.2336,262.9394,0.7077,0.1048,0.1661
price_sensitive,45.0443,20.1758,6.7956,126.0903,0.5475,0.1547,0.0891
digital,35.4125,14.2046,7.4084,138.9299,0.7719,0.1332,0.1394
family,46.5336,22.3629,8.2649,388.5149,0.2862,0.4727,0.0913
price_sensitive,28.7252,7.9852,6.2283,95.8437,0.2205,0.4788,0.0896
family,31.8091,27.3039,8.3637,172.5908,0.4488,0.1685,0.0825
digital,27.6823,26.0222,10.4759,241.9005,0.6767,0.191,0.0765
digital,33.1436,10.8937,8.0302,90.9267,0.7543,0.209,0.0871
digital,26.7846,21.4334,6.2671,295.1977,0.712,0.2373,0.1059
digital,30.664,19.8475,8.445,218.3692,0.6598,0.0713,0.0633
digital,43.6752,20.7716,8.3796,258.9024,0.7847,0.1474,0.0458
digital,37.2729,28.8769,11.0682,255.7387,0.9133,0.3101,0.2405
family,34.1309,19.4179,6.2494,166.531,0.3685,0.319,0.0426
digital,23.8121,10.4245,9.8068,226.4369,0.8896,0.1315,0.0031
price_sensitive,32.4619,17.7058,7.1139,158.2445,0.3484,0.4595,0.0941
price_sensitive,40.2669,20.2179,7.8233,156.7641,0.6215,0.5409,0.0596
