opportunity_id,created_date,channel,industry,lead_score,deal_size_k,sales_cycle_days,touchpoints,owner_region,status
80120,2024-03-18,partner,healthcare,69.5,69.9,34.0,4,west,lost
81127,2023-07-13,event,healthcare,65.0,66.52,39.0,5,south,won
81108,2024-06-12,inbound,education,79.3,43.88,59.0,6,east,open
81132,2023-08-02,inbound,education,92.2,38.79,53.0,5,north,won
80019,2023-09-15,inbound,healthcare,66.5,41.84,55.0,9,south,won
80814,2023-08-28,event,manufacturing,,72.88,29.0,4,south,won
80716,2024-04-17,partner,healthcare,,42.36,61.0,9,north,lost
80059,2023-11-18,event,education,,73.13,35.0,13,north,lost
80791,2023-12-28,inbound,education,8.1,50.21,40.0,11,west,won
81175,2023-11-13,outbound,education,75.1,29.48,47.0,7,west,lost
80805,2023-09-04,event,,35.5,65.78,48.0,8,west,lost
80257,2023-10-25,outbound,healthcare,69.4,3.92,49.0,2,east,lost
80626,2024-04-05,outbound,manufacturing,,27.08,64.0,8,south,lost
80959,2024-01-17,partner,education,66.6,16.4,32.0,9,west,won
80544,2023-11-08,inbound,education,60.5,27.81,20.0,6,west,won
80450,2023-06-04,event,education,75.5,12.89,14.0,5,east,won
80588,2024-04-11,outbound,it,37.0,,65.0,8,east,open
81227,2024-06-21,event,it,77.3,1.52,49.0,6,west,lost
80868,2024-05-26,inbound,manufacturing,87.4,71.23,31.0,7,west,won
81272,2024-07-02,partner,healthcare,65.1,3.63,52.0,4,south,lost
80719,2024-07-18,outbound,retail,46.9,41.82,65.0,8,east,lost
80913,2024-01-08,inbound,education,76.2,16.77,46.0,9,west,open
80203,2024-04-29,outbound,retail,13.7,47.91,19.0,6,east,lost
81153,2024-05-10,partner,healthcare,50.1,40.31,55.0,5,east,open
80511,2024-05-24,inbound,retail,52.9,10.33,24.0,8,south,lost
80526,2024-02-20,partner,education,44.2,49.6,16.0,8,north,lost
80421,2024-04-12,inbound,healthcare,55.1,53.97,3.0,7,east,open
80147,2023-09-25,event,healthcare,92.4,36.35,47.0,4,east,open
81182,2024-05-07,partner,education,66.3,32.59,58.0,14,west,open
81090,2023-08-03,partner,,59.9,35.06,24.0,10,east,open
80154,2023-09-21,partner,manufacturing,60.5,1.0,71.0,6,north,lost
80931,2024-03-11,outbound,it,47.2,26.88,46.0,10,north,open
81216,2023-08-23,outbound,healthcare,68.1,20.7,43.0,12,north,open
80787,2023-07-18,outbound,healthcare,26.7,36.16,56.0,6,east,won
80085,2023-06-08,inbound,education,,67.35,59.0,6,south,lost
81045,2024-04-23,inbound,education,52.3,32.45,3.0,11,west,lost
80153,2024-03-03,event,manufacturing,36.4,42.58,66.0,9,east,lost
80250,2024-01-15,inbound,healthcare,23.5,44.49,42.0,8,south,won
80922,2024-04-30,outbound,healthcare,66.4,42.82,25.0,7,west,won
80371,2023-11-08,outbound,it,87.8,18.22,53.0,9,east,won
81189,2023-06-26,inbound,healthcare,39.8,24.02,35.0,6,south,open
80559,2024-01-30,event,manufacturing,84.2,32.14,53.0,6,north,open
80468,2023-10-02,event,retail,64.2,23.9,39.0,9,south,open
80509,2023-11-05,inbound,it,53.6,17.07,5.0,5,east,open
80876,2024-03-21,partner,healthcare,77.6,32.84,30.0,6,west,won
81001,2024-05-26,inbound,retail,55.5,46.94,71.0,10,south,won
80838,2023-11-08,outbound,retail,65.5,40.49,28.0,10,north,lost
80341,2023-06-06,inbound,healthcare,60.2,1.0,50.0,9,north,won
80492,2023-08-19,outbound,,81.7,47.81,49.0,6,south,open
81268,2024-07-20,inbound,education,60.3,22.68,57.0,5,north,open
80278,2024-07-10,inbound,healthcare,81.9,29.58,33.0,9,east,open
80539,2023-08-11,outbound,,,63.27,57.0,6,east,lost
80217,2023-08-24,outbound,retail,25.3,24.26,60.0,11,south,lost
80689,2024-05-03,event,manufacturing,,67.93,28.0,11,north,won
80004,2024-07-12,outbound,healthcare,67.4,42.46,33.0,5,north,lost
80091,2024-05-21,event,it,59.8,17.85,22.0,5,south,won
80534,2023-10-26,inbound,manufacturing,72.9,26.87,26.0,5,north,open
80266,2024-03-17,outbound,retail,52.5,43.45,8.0,9,west,lost
80361,2023-10-17,outbound,manufacturing,76.3,,37.0,9,south,lost
81017,2024-06-11,event,,44.5,46.61,39.0,6,south,lost
80803,2024-04-01,event,retail,56.4,35.81,48.0,9,west,open
80378,2023-07-12,inbound,healthcare,50.9,92.83,57.0,8,south,won
80529,2023-06-29,partner,healthcare,,51.08,46.0,12,east,open
80866,2024-07-14,event,healthcare,64.3,25.33,68.0,4,west,open
80383,2023-06-19,outbound,education,58.3,25.1,60.0,8,west,lost
80747,2024-06-28,event,education,65.4,40.39,51.0,8,north,won
80308,2024-05-23,event,manufacturing,66.8,73.56,40.0,13,south,won
80756,2024-04-07,partner,it,49.2,36.71,9.0,5,south,open
81282,2023-06-17,event,healthcare,61.0,67.65,52.0,3,north,lost
80768,2023-06-14,partner,education,48.7,56.99,46.0,10,south,lost
80191,2023-11-18,partner,manufacturing,100.0,47.45,51.0,8,south,won
81047,2024-02-29,event,retail,70.3,35.96,53.0,9,east,lost
81060,2023-09-14,outbound,retail,62.5,34.6,70.0,10,east,open
80856,2023-10-10,outbound,retail,86.7,34.27,3.0,5,east,lost
80873,2024-02-21,partner,retail,95.0,76.4,61.0,8,north,open
81041,2023-11-17,outbound,education,83.3,26.56,42.0,11,south,lost
81292,2024-05-11,outbound,it,35.7,,11.0,7,east,won
80373,2023-10-06,outbound,it,65.4,72.42,42.0,6,south,open
81171,2023-10-11,inbound,manufacturing,66.6,47.72,30.0,5,east,won
80711,2024-03-10,event,it,71.0,80.81,42.0,5,west,lost
80463,2024-06-28,inbound,,,41.2,5.0,4,west,open
