area_sqm,bedrooms,bathrooms,floor,building_age,distance_to_center_km,school_score,renovated,district,near_subway,price_k
182.0,5,1,9,28,6.06,5.5,no,suburb,yes,467.1
138.8,1,1,18,23,15.22,5.6,no,core,yes,376.07
103.3,4,1,3,10,14.22,7.1,no,inner_ring,yes,359.13
103.6,4,1,20,3,9.89,7.2,no,suburb,yes,374.56
109.3,4,3,32,32,8.76,6.6,no,core,no,456.7
101.3,3,1,10,28,10.24,7.8,no,core,yes,413.59
38.3,5,3,8,25,11.13,8.4,no,inner_ring,no,278.2
89.0,4,2,23,6,10.06,7.4,no,suburb,yes,362.54
63.5,1,1,25,18,8.19,6.0,yes,inner_ring,no,248.13
140.1,3,2,8,33,9.76,6.8,yes,core,no,443.25
147.4,5,1,20,11,10.95,7.7,no,core,yes,538.44
105.5,2,1,12,12,13.5,8.6,no,inner_ring,yes,370.53
61.4,1,1,15,30,0.5,7.9,yes,core,no,378.88
92.7,3,1,27,10,11.49,6.4,no,suburb,yes,340.98
103.6,3,2,24,33,13.76,6.5,yes,inner_ring,yes,343.85
98.9,1,1,22,28,11.24,7.1,yes,inner_ring,no,297.19
79.0,2,2,1,33,10.31,9.4,no,inner_ring,no,298.61
146.7,5,1,17,30,4.58,7.4,yes,suburb,yes,453.61
152.6,4,1,14,4,15.82,6.3,no,suburb,no,390.53
160.7,1,3,16,9,0.5,7.3,no,suburb,no,433.05
77.1,3,1,1,27,14.02,7.1,yes,suburb,yes,259.18
181.5,3,3,12,30,11.3,7.5,yes,suburb,no,447.44
40.1,1,1,9,4,10.33,7.9,yes,core,yes,339.42
146.2,4,3,22,1,13.53,6.0,no,suburb,yes,426.4
117.2,3,2,15,16,13.11,5.9,no,suburb,no,324.83
72.2,3,3,24,23,9.61,8.8,no,inner_ring,yes,361.07
59.9,2,1,3,18,5.43,6.5,no,inner_ring,yes,236.83
136.2,2,2,17,13,5.2,5.3,no,suburb,no,366.2
96.0,1,2,17,0,12.8,6.8,no,suburb,no,273.41
98.5,5,2,5,29,4.75,9.2,no,suburb,no,364.75
82.3,2,3,19,23,15.78,8.2,yes,inner_ring,yes,358.1
55.1,5,1,13,11,4.56,7.3,no,inner_ring,yes,393.91
95.4,4,3,8,11,6.33,7.3,yes,suburb,yes,389.93
78.3,3,1,21,11,11.35,4.8,yes,inner_ring,no,302.28
69.5,4,3,14,0,17.02,6.0,no,core,yes,371.15
90.8,5,2,15,11,9.86,7.0,yes,inner_ring,yes,455.61
121.5,2,2,26,14,3.84,7.4,no,core,yes,469.46
155.1,4,3,28,33,6.36,7.2,no,suburb,yes,488.55
104.1,5,1,10,17,3.88,5.4,no,suburb,yes,374.29
104.8,5,2,4,1,9.63,7.2,no,inner_ring,yes,407.09
118.8,3,2,15,31,4.48,6.6,no,core,no,436.45
125.9,1,3,16,8,4.27,8.7,no,inner_ring,no,429.23
35.0,2,3,19,3,9.53,7.0,no,suburb,no,228.66
91.0,2,2,26,18,8.68,7.4,no,core,yes,405.66
162.0,3,1,14,0,7.06,6.6,yes,inner_ring,yes,534.08
126.5,5,1,17,27,3.93,7.5,no,inner_ring,yes,469.83
61.9,1,1,10,11,20.07,6.1,yes,core,no,241.46
99.5,4,1,9,11,6.2,5.9,no,suburb,no,345.05
150.3,2,3,28,31,9.53,8.2,no,inner_ring,no,408.43
170.1,4,1,29,13,14.63,9.5,yes,inner_ring,no,542.42
131.0,5,3,32,22,12.52,6.8,no,core,yes,456.54
183.0,5,1,4,3,12.42,8.1,yes,inner_ring,yes,526.41
103.8,4,1,6,21,12.55,5.0,no,core,yes,354.04
108.1,2,3,15,24,12.81,7.0,no,core,no,396.57
120.4,1,3,6,28,12.28,6.4,no,suburb,yes,303.14
114.5,2,3,13,22,15.19,8.4,yes,core,yes,396.29
98.7,3,3,26,25,9.72,6.5,no,core,yes,392.3
154.6,2,2,7,8,0.5,7.5,no,suburb,no,435.13
39.9,2,2,11,25,9.57,7.8,no,inner_ring,yes,237.34
106.3,3,1,32,34,8.95,7.8,no,suburb,no,299.07
139.7,1,3,13,2,12.8,6.7,yes,core,no,434.7
156.5,2,3,20,6,11.37,7.7,yes,inner_ring,yes,487.48
136.3,3,1,4,5,14.76,6.1,no,inner_ring,no,348.68
109.1,5,1,5,28,13.86,8.5,yes,inner_ring,yes,419.59
133.8,4,1,23,28,9.28,7.7,no,core,yes,478.0
65.9,2,2,9,15,4.19,6.8,no,core,yes,376.76
103.0,4,1,29,5,13.4,6.7,no,suburb,no,309.55
136.2,4,1,26,1,6.86,7.6,no,core,no,492.77
92.4,3,2,28,1,9.06,6.6,no,suburb,yes,351.98
123.5,2,3,19,14,2.8,8.8,no,inner_ring,yes,429.19
130.6,3,2,26,9,11.1,6.8,no,suburb,no,351.0
147.4,2,3,12,0,9.29,4.6,no,suburb,no,348.05
102.4,5,2,23,24,15.75,6.7,no,inner_ring,yes,389.67
99.1,3,1,11,0,3.34,7.3,no,suburb,yes,381.73
167.8,5,3,13,27,6.29,7.0,no,core,no,522.47
91.8,1,1,16,28,16.04,5.4,yes,inner_ring,yes,256.91
83.5,4,2,1,1,3.53,8.1,no,core,yes,460.06
141.7,2,1,9,14,3.1,7.2,yes,core,yes,473.22
50.7,4,3,2,6,8.44,8.2,no,inner_ring,yes,331.05
140.1,3,1,12,1,5.8,5.3,no,inner_ring,yes,432.84
98.7,1,3,31,4,17.25,6.0,no,inner_ring,yes,338.37
130.5,4,3,23,14,5.76,6.8,yes,suburb,no,437.49
100.1,1,2,4,1,7.39,8.9,no,suburb,no,338.86
134.2,3,1,4,33,20.57,7.8,yes,inner_ring,yes,369.0
118.0,5,3,10,1,3.54,7.8,yes,core,yes,539.34
110.8,5,1,10,9,5.7,5.9,yes,inner_ring,no,397.57
85.4,4,2,30,22,4.85,8.3,yes,suburb,no,379.57
65.5,3,2,12,18,14.55,7.9,yes,suburb,yes,279.65
109.3,2,3,10,11,2.49,7.1,no,core,yes,447.01
90.6,1,3,13,11,3.89,6.7,no,suburb,no,296.19
139.2,3,3,4,6,6.53,6.9,no,core,yes,524.84
115.6,5,2,9,3,11.18,7.3,no,inner_ring,yes,440.72
51.5,1,2,26,14,14.97,7.4,yes,core,no,278.19
88.7,4,2,16,29,14.23,5.2,no,inner_ring,no,272.2
61.5,1,3,4,26,13.6,7.2,yes,inner_ring,yes,269.02
117.8,5,2,32,32,12.41,8.1,yes,core,yes,489.12
168.8,5,1,6,29,13.39,7.2,yes,suburb,yes,488.79
161.5,1,1,13,7,8.19,7.4,no,inner_ring,no,430.48
74.4,1,2,9,7,11.62,7.2,no,inner_ring,yes,310.07
89.0,5,1,24,9,11.14,6.7,no,suburb,yes,333.29
70.6,2,1,18,29,7.01,6.5,no,suburb,yes,257.05
108.3,3,3,14,3,5.81,7.1,yes,inner_ring,yes,452.08
65.7,4,1,28,25,11.17,6.8,yes,core,no,372.11
80.7,4,1,20,4,4.9,6.4,no,suburb,yes,346.56
103.6,3,3,14,3,12.1,8.2,no,suburb,yes,387.9
125.1,5,3,23,4,16.21,8.5,yes,suburb,yes,463.75
96.3,2,2,24,1,5.89,8.5,no,suburb,yes,406.26
162.1,2,3,6,34,7.19,8.5,no,core,yes,485.55
128.4,4,2,31,23,0.83,8.2,no,core,no,501.08
165.8,2,1,13,24,13.26,5.5,no,suburb,no,322.26
142.6,2,2,12,1,15.87,4.5,no,core,yes,399.85
60.4,5,3,17,12,3.73,7.6,no,suburb,no,337.46
191.4,1,3,4,0,8.75,7.7,yes,suburb,no,487.87
81.9,4,2,18,17,10.55,7.0,no,inner_ring,yes,336.29
129.0,2,2,6,32,8.53,6.7,no,core,yes,432.17
76.7,1,2,17,30,3.26,8.3,no,inner_ring,yes,319.12
100.4,4,2,7,24,10.04,6.8,yes,inner_ring,yes,395.77
186.8,1,3,28,0,7.9,6.0,yes,suburb,yes,494.57
161.6,1,3,12,32,7.99,7.8,no,core,no,447.72
106.8,4,3,1,17,18.13,5.5,no,inner_ring,yes,305.85
119.5,2,1,6,18,11.07,7.2,no,inner_ring,yes,366.4
160.8,3,2,7,16,2.91,7.3,no,core,no,523.42
43.4,4,2,28,2,8.91,7.7,no,core,yes,400.15
78.4,2,1,6,16,9.4,8.1,no,inner_ring,yes,329.71
138.7,1,1,21,26,7.56,6.0,no,core,yes,396.94
95.3,5,2,21,12,5.97,4.2,no,suburb,no,307.9
49.0,3,3,19,30,3.85,5.6,yes,suburb,yes,313.38
77.9,4,1,23,5,3.58,6.7,yes,suburb,yes,366.08
112.2,1,3,24,21,7.36,6.4,no,inner_ring,yes,369.5
162.0,4,2,3,15,5.15,6.2,no,inner_ring,yes,467.11
164.3,2,3,19,32,7.91,7.6,no,core,yes,518.2
68.3,4,1,30,4,5.42,7.7,yes,inner_ring,yes,414.11
116.0,1,1,17,11,16.48,4.8,no,core,no,352.84
41.2,4,3,6,23,14.8,7.0,no,core,yes,304.57
125.1,1,2,25,25,7.09,6.5,no,core,no,368.01
60.2,2,2,5,9,9.39,6.0,no,suburb,yes,275.04
97.7,2,2,30,25,9.0,6.0,no,core,yes,424.98
176.7,4,2,13,12,9.63,9.0,yes,core,no,570.91
131.8,4,2,28,12,15.31,7.3,yes,inner_ring,yes,459.76
111.8,5,1,30,5,9.88,6.0,no,inner_ring,yes,417.5
83.7,4,3,24,24,15.1,6.8,no,suburb,no,272.91
62.6,3,2,7,21,11.56,7.9,no,inner_ring,no,241.53
133.4,4,3,19,34,2.08,6.2,yes,core,yes,523.55
35.0,1,2,14,27,13.53,6.7,yes,core,no,258.12
