monthly_income_k,debt_ratio,loan_amount_k,credit_history_months,overdue_count,employment_years,home_ownership,loan_purpose,region,default_risk
14.73,0.218,18.06,138,1,4.9,mortgage,car,south,low
19.38,0.176,22.38,50,1,8.0,mortgage,working_capital,west,low
26.65,0.25,17.36,133,1,8.8,mortgage,car,west,low
18.76,0.494,22.17,3,0,3.4,mortgage,education,south,low
25.91,0.02,30.13,26,0,6.2,rent,car,west,high
11.58,0.459,26.8,118,2,5.4,rent,medical,north,low
12.9,0.227,8.74,237,1,0.0,rent,medical,east,low
24.4,0.187,9.36,158,0,1.8,rent,medical,east,low
22.49,0.387,10.7,30,0,1.3,rent,education,south,high
17.73,0.679,21.47,130,0,7.3,mortgage,working_capital,west,low
9.46,0.23,22.41,34,0,12.7,rent,car,west,high
9.93,0.293,31.47,231,1,9.4,rent,car,west,low
13.09,0.462,2.0,3,2,3.7,rent,car,west,low
12.36,0.421,26.03,48,0,9.6,mortgage,working_capital,south,low
25.05,0.982,28.9,92,0,9.1,rent,car,east,high
13.65,0.052,27.43,66,1,1.2,mortgage,education,west,low
13.4,0.173,20.17,110,3,0.0,rent,education,north,low
10.92,0.573,7.28,143,0,5.2,mortgage,education,east,low
21.53,0.468,40.85,222,0,9.2,rent,working_capital,north,low
27.42,0.348,27.41,77,1,10.8,mortgage,medical,south,low
23.44,0.5,29.34,28,2,2.7,rent,consumer,east,low
6.27,0.307,19.37,168,1,0.0,rent,education,east,low
23.12,0.285,13.3,18,1,6.7,rent,car,south,low
31.8,0.248,15.32,79,5,3.5,rent,working_capital,north,low
20.41,0.42,29.93,40,1,5.5,rent,consumer,east,low
16.06,0.202,20.94,74,0,7.4,mortgage,working_capital,south,low
9.05,0.68,18.53,104,0,6.5,rent,working_capital,east,low
5.0,0.283,42.56,163,1,1.5,mortgage,education,north,low
9.82,0.61,26.9,208,1,10.2,rent,education,west,high
30.0,0.323,28.42,186,0,8.2,rent,car,north,low
26.26,0.343,32.87,105,0,7.9,rent,car,north,high
13.21,0.305,6.14,215,1,10.5,mortgage,working_capital,south,low
19.44,0.411,17.05,55,3,16.4,rent,education,north,low
27.2,0.476,25.32,189,2,3.0,rent,working_capital,west,low
17.85,0.45,15.94,139,0,8.9,own,car,north,low
19.05,0.538,8.83,222,0,9.6,rent,working_capital,north,low
3.5,0.323,28.95,103,0,4.0,rent,education,east,low
16.76,0.323,19.98,167,0,0.0,rent,medical,south,low
16.02,0.335,25.49,130,3,0.9,mortgage,consumer,west,high
21.29,0.432,11.86,114,0,3.8,rent,education,east,low
6.12,0.738,12.91,73,1,8.7,rent,consumer,south,high
13.54,0.275,28.61,96,0,3.3,mortgage,medical,west,low
17.86,0.476,39.46,120,2,10.7,own,consumer,north,high
27.76,0.322,19.74,164,1,0.0,rent,car,south,high
18.03,0.076,17.77,21,0,2.6,mortgage,medical,east,low
17.33,0.372,10.93,113,0,1.7,mortgage,medical,east,low
13.61,0.249,4.98,210,1,7.0,rent,car,west,low
12.44,0.392,20.79,131,2,9.8,mortgage,consumer,west,low
18.5,0.399,17.9,77,2,9.0,rent,education,west,low
7.94,0.489,34.85,125,2,5.7,rent,medical,north,high
18.99,0.427,11.21,224,1,0.0,mortgage,car,north,low
10.77,0.351,11.61,177,0,0.0,own,education,south,low
24.59,0.562,16.46,239,0,1.5,rent,consumer,north,low
9.31,0.344,27.68,167,2,7.5,mortgage,car,south,low
16.41,0.264,26.97,149,0,9.2,mortgage,consumer,north,low
14.17,0.456,26.54,26,4,2.8,mortgage,working_capital,south,low
12.2,0.831,34.68,169,1,10.2,rent,working_capital,south,high
21.98,0.364,17.5,84,0,8.5,rent,medical,north,low
27.97,0.453,7.27,228,1,7.6,mortgage,education,south,low
4.41,0.699,23.18,52,0,2.9,mortgage,consumer,east,low
16.54,0.252,30.74,199,0,6.6,mortgage,consumer,west,low
17.75,0.595,21.37,123,2,3.4,mortgage,car,west,high
16.31,0.632,42.29,168,1,4.6,mortgage,car,north,low
23.41,0.078,32.66,117,0,8.4,mortgage,working_capital,north,low
26.52,0.436,29.32,154,2,4.6,rent,consumer,west,low
16.88,0.36,30.12,76,2,2.6,rent,car,east,low
16.21,0.557,15.49,176,0,8.1,mortgage,consumer,south,low
14.31,0.484,17.91,200,1,8.4,mortgage,education,south,low
3.5,0.465,25.57,109,4,0.5,rent,medical,south,high
24.64,0.647,18.94,146,1,7.6,rent,education,north,low
19.91,0.414,32.93,99,2,12.7,mortgage,working_capital,south,low
20.23,0.02,37.57,171,1,9.9,rent,education,north,low
14.92,0.365,16.13,156,1,3.0,rent,consumer,south,high
15.94,0.332,40.71,237,2,8.5,own,car,south,high
16.33,0.295,34.27,67,3,8.8,rent,medical,south,high
27.79,0.315,19.67,54,2,16.1,rent,working_capital,south,low
15.56,0.02,41.3,158,1,3.8,rent,car,north,low
9.41,0.405,38.55,227,0,0.9,rent,consumer,north,low
6.49,0.533,23.34,24,2,0.0,rent,car,east,low
15.74,0.726,27.63,192,1,3.4,rent,education,south,low
29.13,0.144,13.35,171,1,12.2,rent,working_capital,north,low
9.43,0.034,43.57,108,1,0.5,mortgage,consumer,north,high
15.03,0.45,34.54,23,0,2.1,mortgage,working_capital,east,low
26.95,0.415,26.72,175,1,10.9,rent,medical,west,low
13.38,0.337,22.41,188,1,7.3,rent,consumer,east,low
19.6,0.496,21.68,130,1,10.2,rent,education,east,low
10.35,0.312,28.56,3,1,0.8,mortgage,medical,north,low
28.61,0.26,2.0,200,1,2.5,rent,car,south,low
15.76,0.428,12.14,44,0,6.0,rent,car,south,low
7.17,0.56,24.96,51,1,1.2,mortgage,working_capital,north,low
4.47,0.511,28.92,69,2,1.5,rent,consumer,east,high
12.75,0.371,29.75,129,0,11.3,own,car,north,low
13.46,0.455,30.45,7,1,12.3,rent,education,south,low
28.91,0.39,28.63,84,1,3.6,rent,consumer,west,low
9.32,0.353,12.69,86,1,1.5,rent,car,south,low
16.25,0.027,34.91,180,1,3.6,rent,consumer,east,low
28.73,0.266,14.73,116,0,8.8,rent,car,east,low
17.71,0.309,10.98,77,1,10.3,mortgage,education,north,high
17.43,0.49,30.0,97,0,11.6,rent,medical,west,high
3.5,0.623,28.72,218,1,14.0,mortgage,working_capital,south,low
25.05,0.35,18.07,68,0,8.5,mortgage,consumer,south,low
14.64,0.162,21.46,81,0,5.8,rent,consumer,south,low
15.26,0.436,19.93,35,0,4.3,rent,education,north,low
20.64,0.647,8.34,87,0,4.0,own,consumer,south,low
14.11,0.027,21.64,235,0,0.0,rent,education,east,low
23.21,0.632,24.52,28,2,8.3,rent,working_capital,west,high
22.92,0.227,23.26,30,3,4.0,mortgage,consumer,west,high
16.84,0.528,23.83,186,1,3.8,mortgage,medical,east,low
21.03,0.361,17.02,65,1,8.1,mortgage,education,south,low
6.9,0.322,21.25,38,2,3.7,own,working_capital,north,low
15.36,0.286,26.67,161,2,3.6,rent,medical,south,low
20.13,0.807,33.13,31,0,0.0,rent,education,south,low
22.01,0.478,18.64,103,1,1.7,mortgage,working_capital,south,low
17.04,0.147,27.68,194,1,9.4,rent,car,north,low
30.04,0.464,2.0,58,0,4.7,mortgage,education,north,low
17.9,0.376,19.49,219,0,9.4,mortgage,working_capital,south,low
12.61,0.744,31.44,88,1,14.4,mortgage,car,west,low
29.29,0.255,27.46,148,1,6.5,mortgage,consumer,west,low
23.29,0.424,27.72,96,0,0.0,mortgage,working_capital,south,low
12.95,0.455,16.49,238,1,3.8,rent,education,west,low
19.55,0.255,18.92,41,1,6.4,rent,consumer,north,low
28.72,0.737,23.19,231,1,5.3,rent,car,east,low
18.5,0.415,26.47,179,0,11.7,mortgage,working_capital,north,low
17.81,0.425,17.61,189,1,0.2,mortgage,car,north,low
17.62,0.233,21.99,9,0,7.6,mortgage,medical,south,low
9.57,0.265,11.75,233,1,0.0,rent,consumer,west,low
8.84,0.475,23.04,171,1,8.7,mortgage,working_capital,west,low
31.55,0.392,34.26,177,3,11.1,rent,medical,west,low
24.82,0.84,26.08,20,2,5.0,rent,consumer,south,low
11.13,0.612,33.62,151,1,9.1,mortgage,consumer,east,low
25.6,0.479,18.48,89,0,0.8,mortgage,consumer,north,high
24.74,0.461,24.8,93,0,8.1,mortgage,medical,west,low
16.69,0.657,30.2,163,0,8.2,mortgage,medical,south,low
27.89,0.406,24.34,237,0,9.5,rent,consumer,north,low
23.57,0.3,5.4,160,2,3.3,mortgage,consumer,east,low
19.06,0.617,9.26,99,0,9.1,rent,consumer,east,low
13.92,0.194,15.49,101,2,0.0,rent,consumer,north,low
21.85,0.257,25.15,131,1,14.6,rent,car,south,low
21.48,0.316,2.94,35,0,7.3,mortgage,medical,south,low
24.76,0.207,22.67,222,1,7.1,own,education,south,low
25.7,0.457,22.83,210,2,17.5,mortgage,medical,south,low
17.01,0.221,30.2,162,1,3.4,rent,car,south,low
18.42,0.49,24.31,233,2,12.7,mortgage,working_capital,north,low
22.68,0.156,21.15,204,3,0.0,mortgage,working_capital,south,low
14.25,0.267,29.55,176,2,9.3,mortgage,car,north,low
19.95,0.4,26.18,29,1,8.3,own,car,south,high
13.16,0.519,22.45,50,4,1.6,rent,car,south,high
27.75,0.057,38.97,46,0,0.0,rent,medical,west,high
24.17,0.238,25.77,239,0,16.0,rent,education,north,low
15.95,0.323,15.64,98,1,0.0,own,consumer,south,low
37.17,0.354,17.14,37,2,5.4,own,working_capital,north,low
16.48,0.269,16.97,134,1,13.3,mortgage,car,north,low
23.93,0.182,26.51,102,2,10.9,mortgage,consumer,south,low
20.04,0.256,24.19,166,2,0.7,mortgage,education,east,high
15.1,0.436,18.18,83,0,10.8,own,working_capital,west,low
28.08,0.107,26.25,18,1,3.7,mortgage,consumer,south,low
16.85,0.396,14.27,239,2,5.5,rent,medical,east,low
23.68,0.523,22.4,159,1,8.6,rent,medical,east,high
30.11,0.267,14.53,236,0,3.8,mortgage,medical,west,low
13.3,0.326,44.09,130,2,2.3,rent,medical,north,low
16.38,0.867,17.33,198,1,8.8,rent,consumer,south,low
11.83,0.469,26.44,36,2,13.1,mortgage,working_capital,west,low
18.5,0.223,16.66,231,1,0.9,rent,working_capital,north,low
15.06,0.218,19.09,186,1,0.0,rent,consumer,east,low
9.12,0.723,21.02,116,2,7.6,mortgage,car,north,low
18.1,0.579,32.87,165,0,7.1,rent,education,east,low
18.79,0.465,24.18,139,0,7.2,rent,consumer,east,low
17.22,0.287,25.36,118,2,0.2,rent,car,west,low
13.76,0.148,29.21,165,0,6.7,rent,consumer,west,low
14.07,0.444,10.58,159,2,10.7,mortgage,car,south,low
15.2,0.112,29.32,176,1,3.6,mortgage,working_capital,west,low
12.08,0.346,2.0,211,0,4.1,own,medical,west,low
29.95,0.238,17.23,82,0,6.5,rent,medical,west,low
19.23,0.244,33.18,37,0,8.8,mortgage,consumer,east,low
18.71,0.467,15.44,115,0,8.3,own,consumer,south,low
29.42,0.26,34.08,238,1,5.6,mortgage,consumer,east,low
23.83,0.609,13.14,200,0,5.4,rent,car,south,low
11.69,0.497,28.21,158,1,7.8,own,medical,east,low
17.21,0.676,19.98,170,0,3.5,rent,car,east,low
29.62,0.395,32.79,79,0,1.0,mortgage,education,west,low
19.18,0.409,16.29,57,2,1.8,rent,medical,west,low
3.5,0.361,18.41,197,0,4.1,rent,medical,north,low
16.81,0.737,29.15,228,0,6.8,own,working_capital,north,low
15.48,0.515,9.27,59,0,13.2,rent,car,north,low
17.51,0.509,34.82,40,2,5.9,mortgage,education,west,low
9.48,0.283,30.03,67,0,11.2,mortgage,working_capital,south,low
15.09,0.651,14.36,27,0,9.7,rent,medical,east,high
15.44,0.461,26.31,29,2,0.0,rent,medical,west,high
15.04,0.278,24.07,220,1,5.9,mortgage,working_capital,north,low
3.5,0.283,30.79,54,1,3.7,rent,medical,south,high
9.65,0.378,20.46,236,3,12.1,rent,medical,south,low
17.82,0.246,35.02,237,2,10.5,own,car,south,low
18.19,0.562,27.34,18,0,2.7,own,consumer,south,low
17.4,0.243,15.76,92,0,13.5,mortgage,car,north,low
11.93,0.236,13.63,22,0,10.0,own,education,north,low
24.42,0.365,11.39,47,1,10.1,mortgage,education,south,low
33.44,0.314,30.14,128,1,16.8,rent,consumer,west,low
13.74,0.312,26.75,157,0,6.8,rent,working_capital,east,low
23.2,0.145,11.35,118,0,12.6,rent,consumer,north,low
27.89,0.514,7.41,219,3,4.6,mortgage,education,east,low
24.31,0.255,7.91,181,2,9.1,rent,consumer,east,low
14.18,0.076,21.89,138,0,0.6,mortgage,medical,south,low
17.62,0.743,43.13,144,2,0.0,rent,education,east,high
26.92,0.834,27.05,132,0,0.0,own,working_capital,west,low
17.79,0.417,41.66,9,0,1.5,own,medical,north,low
16.41,0.587,26.94,86,1,6.3,own,education,east,low
13.03,0.036,6.62,37,0,0.0,mortgage,education,east,high
14.73,0.125,31.44,202,0,10.6,rent,working_capital,south,low
12.37,0.323,6.04,87,2,8.3,mortgage,consumer,west,low
24.66,0.485,41.25,51,1,0.7,own,working_capital,east,low
9.78,0.02,21.55,133,1,7.7,mortgage,medical,west,low
20.43,0.189,18.66,62,0,5.1,mortgage,working_capital,west,low
8.65,0.552,20.76,191,0,7.6,mortgage,car,west,low
24.78,0.417,19.01,52,0,5.3,rent,car,north,low
15.36,0.226,16.6,98,0,9.2,mortgage,working_capital,west,low
18.09,0.257,17.33,74,1,7.5,mortgage,consumer,north,high
26.22,0.288,10.44,214,1,0.0,rent,medical,west,low
13.23,0.572,34.97,44,0,0.0,rent,car,east,high
27.12,0.343,18.98,36,1,9.9,mortgage,medical,east,low
21.39,0.481,30.19,13,1,12.6,mortgage,consumer,west,high
17.3,0.516,34.5,4,2,11.3,rent,car,north,high
30.16,0.293,33.21,71,1,7.9,mortgage,consumer,east,low
7.68,0.633,14.77,56,1,10.2,own,working_capital,north,low
7.95,0.344,20.29,185,0,8.9,rent,medical,south,low
20.23,0.272,26.67,183,0,4.9,rent,working_capital,south,low
24.59,0.45,21.79,172,0,8.8,mortgage,medical,west,low
17.67,0.444,21.72,22,0,0.0,rent,consumer,north,low
9.33,0.423,32.84,198,0,3.2,mortgage,working_capital,north,low
18.69,0.259,29.15,180,0,4.9,rent,car,north,low
16.47,0.259,21.1,87,1,10.0,mortgage,consumer,east,low
22.88,0.333,25.16,51,0,7.2,rent,car,east,low
13.12,0.29,22.28,6,1,7.8,mortgage,education,north,low
25.11,0.137,20.92,90,1,9.0,mortgage,working_capital,north,low
22.03,0.374,33.69,163,1,4.9,mortgage,car,south,low
15.46,0.635,17.42,195,0,8.4,rent,education,south,low
13.59,0.358,19.12,57,0,6.4,mortgage,car,west,low
13.98,0.36,11.83,24,1,3.5,own,consumer,east,low
17.27,0.406,31.92,235,2,7.4,mortgage,education,west,low
18.21,0.216,39.55,13,2,7.3,rent,working_capital,east,high
19.74,0.632,30.27,123,0,4.0,rent,car,south,low
15.88,0.295,32.12,85,1,0.0,rent,medical,west,low
18.32,0.658,17.85,236,0,0.0,mortgage,working_capital,south,low
31.45,0.147,13.96,96,0,12.4,rent,medical,east,low
6.75,0.42,9.35,3,0,11.8,mortgage,consumer,east,high
8.05,0.584,23.88,24,3,2.4,mortgage,education,west,high
11.03,0.457,14.92,170,0,4.3,mortgage,education,east,low
30.88,0.045,15.37,31,1,12.4,mortgage,consumer,south,low
20.44,0.02,6.87,213,1,5.9,mortgage,education,east,low
22.29,0.395,13.22,119,0,6.0,mortgage,car,south,low
17.1,0.366,31.23,216,2,8.1,own,working_capital,south,low
20.59,0.308,28.66,182,0,4.0,mortgage,working_capital,west,low
12.83,0.279,9.13,125,1,4.5,rent,working_capital,east,low
13.86,0.535,32.08,12,3,3.9,mortgage,working_capital,east,high
13.89,0.48,19.12,63,0,6.2,mortgage,car,west,low
9.25,0.627,19.36,93,0,2.8,rent,medical,south,high
13.03,0.02,22.36,123,0,11.2,rent,consumer,east,low
18.54,0.595,23.17,8,0,2.5,mortgage,car,east,low
27.03,0.192,32.07,129,2,4.9,own,working_capital,east,low
5.11,0.397,16.06,207,0,7.7,mortgage,medical,west,low
20.83,0.423,38.49,205,1,3.9,mortgage,medical,south,low
30.96,0.426,22.23,239,1,5.5,own,education,east,low
16.08,0.535,2.87,110,1,11.0,mortgage,education,south,high
14.66,0.46,16.89,70,0,11.8,rent,education,east,high
16.52,0.065,23.08,80,1,6.0,mortgage,car,north,low
13.48,0.574,21.91,122,0,4.7,mortgage,consumer,east,low
9.61,0.291,40.65,73,1,7.6,rent,car,south,low
16.61,0.345,29.96,22,0,9.2,rent,medical,west,high
15.69,0.382,13.12,124,1,0.0,rent,car,west,low
21.95,0.231,29.95,218,1,8.5,mortgage,medical,south,low
18.91,0.035,16.46,143,0,1.4,mortgage,medical,south,low
21.76,0.301,13.43,225,1,8.3,mortgage,working_capital,north,low
18.14,0.309,30.16,71,3,12.4,mortgage,medical,south,low
6.26,0.096,27.59,83,0,1.4,mortgage,medical,west,low
13.02,0.131,5.33,15,1,0.0,rent,car,east,high
25.35,0.479,21.71,212,0,1.1,rent,education,north,low
18.23,0.518,31.28,184,0,15.2,rent,medical,west,low
9.84,0.411,15.67,205,1,14.3,mortgage,education,east,low
10.41,0.256,18.21,158,0,11.5,own,working_capital,north,low
28.2,0.458,35.43,46,2,0.0,mortgage,consumer,east,low
21.62,0.459,7.73,202,0,4.6,mortgage,car,south,low
15.51,0.571,12.93,183,1,8.7,rent,working_capital,north,low
6.69,0.357,23.06,141,1,3.5,mortgage,working_capital,east,low
29.92,0.253,29.84,102,0,1.1,rent,car,north,low
9.3,0.27,19.08,210,0,1.5,rent,working_capital,north,low
13.86,0.297,30.67,65,1,8.0,mortgage,education,north,low
23.47,0.348,12.64,58,0,1.2,rent,car,south,high
25.03,0.752,15.05,101,1,7.1,rent,working_capital,west,low
18.85,0.228,13.96,181,0,4.4,mortgage,consumer,south,low
10.17,0.275,32.77,208,2,12.4,own,car,south,low
17.14,0.163,23.86,194,0,11.6,own,education,east,low
3.5,0.503,11.94,149,1,6.7,rent,consumer,east,low
27.1,0.313,20.22,201,0,7.1,mortgage,car,north,low
13.8,0.31,23.91,192,0,2.8,rent,consumer,south,low
25.98,0.634,28.08,81,1,4.8,mortgage,car,south,low
28.03,0.316,20.87,239,3,5.5,own,medical,west,low
25.13,0.484,36.22,45,1,0.0,rent,consumer,south,low
25.93,0.35,2.0,231,0,5.7,mortgage,working_capital,south,low
18.67,0.2,8.82,127,1,7.8,rent,car,east,low
31.51,0.216,36.84,169,1,0.0,rent,car,south,low
21.44,0.375,15.84,76,0,14.4,own,medical,north,low
15.72,0.344,20.91,142,2,0.0,mortgage,medical,west,low
17.49,0.465,2.0,203,1,1.4,rent,medical,south,low
16.02,0.201,21.51,20,0,7.4,mortgage,medical,east,low
20.36,0.451,26.51,109,2,5.4,rent,car,north,low
12.93,0.859,17.58,55,0,5.1,mortgage,working_capital,east,high
22.34,0.336,18.24,204,1,5.1,rent,medical,east,low
29.8,0.309,34.34,59,2,11.1,mortgage,working_capital,east,low
11.82,0.428,13.31,229,2,10.3,mortgage,education,north,low
18.84,0.594,33.67,202,3,1.8,rent,education,north,low
21.5,0.401,2.0,131,0,9.6,rent,working_capital,west,low
24.67,0.361,6.79,3,0,2.5,rent,consumer,east,low
23.6,0.418,21.06,29,0,7.8,rent,consumer,north,low
14.08,0.421,15.25,149,0,4.4,own,consumer,north,low
13.72,0.417,22.48,193,1,13.2,rent,car,west,low
21.52,0.575,14.22,151,1,4.9,rent,car,south,low
25.39,0.454,2.0,176,1,1.6,mortgage,consumer,north,low
14.48,0.371,19.02,83,1,6.6,mortgage,medical,east,low
17.89,0.601,14.84,219,1,6.4,mortgage,medical,west,low
21.01,0.548,27.65,157,1,0.0,mortgage,consumer,east,high
20.5,0.325,15.31,208,0,4.9,rent,education,north,low
13.61,0.399,47.94,64,0,5.4,mortgage,consumer,south,low
13.5,0.486,16.86,23,1,3.5,rent,working_capital,north,high
21.01,0.534,38.07,19,0,10.7,mortgage,working_capital,east,low
21.58,0.233,12.47,188,0,4.4,rent,working_capital,south,low
14.85,0.049,26.19,72,3,0.0,rent,consumer,west,high
9.64,0.508,42.1,137,0,0.8,rent,working_capital,south,low
13.99,0.417,17.39,103,0,6.2,mortgage,medical,north,low
28.19,0.593,10.13,123,0,13.8,rent,working_capital,north,low
34.43,0.256,28.7,139,1,8.7,rent,working_capital,south,low
5.01,0.286,18.24,164,0,0.0,mortgage,consumer,west,low
15.37,0.522,18.41,173,0,6.7,own,consumer,south,low
6.61,0.347,25.05,177,1,3.2,own,car,south,high
13.35,0.381,19.15,29,3,8.1,mortgage,education,south,high
26.07,0.407,25.06,159,0,2.8,rent,consumer,east,low
12.71,0.28,24.69,63,0,4.2,own,medical,west,low
11.5,0.337,8.24,137,0,5.6,rent,medical,south,low
15.71,0.384,49.61,171,1,18.4,mortgage,education,east,low
15.51,0.562,14.83,68,0,5.7,rent,consumer,east,low
7.73,0.267,5.61,106,1,9.4,rent,education,east,high
