tenure_months,monthly_fee,support_calls_90d,data_usage_gb,payment_delay_days,satisfaction_score,contract_type,internet_type,city_tier,auto_pay,senior_customer,churn
17,121.63,1,201.54,3,7.28,month_to_month,mobile,tier_2,no,no,yes
68,94.06,0,145.35,5,8.2,one_year,fiber,tier_3,yes,no,yes
54,80.19,1,77.68,0,10.0,month_to_month,fiber,tier_2,no,no,no
46,60.92,0,180.24,1,3.94,two_year,mobile,tier_2,no,no,no
22,100.2,0,53.27,3,5.36,two_year,fiber,tier_1,yes,no,no
47,115.47,1,117.55,1,7.2,one_year,fiber,tier_2,no,no,no
71,146.44,5,156.97,1,5.74,month_to_month,fiber,tier_2,yes,no,yes
35,81.63,0,166.72,3,4.54,month_to_month,fiber,tier_1,yes,no,no
24,95.15,0,76.15,1,3.16,month_to_month,fiber,tier_1,yes,no,yes
49,87.79,2,200.0,3,8.57,month_to_month,broadband,tier_2,yes,yes,yes
57,75.03,3,129.56,5,5.68,month_to_month,fiber,tier_2,yes,no,no
22,75.04,2,125.64,1,5.8,month_to_month,broadband,tier_2,no,no,yes
51,70.15,3,188.11,1,4.5,month_to_month,broadband,tier_1,yes,no,no
1,50.48,2,202.46,2,4.28,one_year,fiber,tier_2,no,yes,yes
67,77.52,0,160.45,2,8.57,month_to_month,fiber,tier_2,no,no,no
41,89.36,3,77.98,2,7.8,month_to_month,fiber,tier_2,no,no,no
61,97.66,0,119.5,2,8.33,month_to_month,broadband,tier_1,yes,no,no
6,80.83,4,34.87,1,8.38,month_to_month,fiber,tier_3,yes,no,yes
67,66.64,1,147.56,3,5.56,one_year,broadband,tier_1,yes,no,no
36,125.07,2,147.84,3,8.13,month_to_month,mobile,tier_3,no,no,no
29,54.55,3,154.35,3,4.96,month_to_month,fiber,tier_2,yes,no,yes
57,113.13,3,169.9,0,3.94,one_year,fiber,tier_2,yes,no,yes
23,99.73,2,108.85,3,3.01,two_year,mobile,tier_1,yes,no,yes
68,91.12,3,117.29,1,4.63,one_year,broadband,tier_1,yes,no,no
5,63.36,2,168.49,4,8.99,month_to_month,broadband,tier_2,yes,no,yes
66,80.18,3,127.12,1,7.33,month_to_month,fiber,tier_1,yes,yes,no
1,114.98,2,48.69,4,5.05,month_to_month,mobile,tier_2,no,no,no
63,64.48,0,74.43,4,10.0,two_year,fiber,tier_3,no,no,no
22,85.63,3,130.53,3,6.68,month_to_month,fiber,tier_3,yes,no,no
15,91.09,1,173.71,3,5.55,month_to_month,broadband,tier_1,yes,no,yes
33,87.69,3,129.83,0,9.74,month_to_month,fiber,tier_2,yes,no,no
28,30.71,2,144.63,2,6.75,month_to_month,broadband,tier_3,no,no,no
37,83.78,1,71.07,2,6.19,month_to_month,fiber,tier_1,yes,no,no
16,91.49,5,203.32,6,5.53,two_year,broadband,tier_3,yes,no,no
69,87.95,1,198.14,2,7.45,month_to_month,broadband,tier_1,yes,yes,no
23,101.66,2,185.66,6,6.92,month_to_month,mobile,tier_2,no,yes,no
52,61.35,2,196.02,3,4.46,month_to_month,broadband,tier_2,no,no,no
12,118.24,0,162.13,2,3.98,two_year,broadband,tier_1,no,no,yes
58,96.94,3,108.16,0,2.71,month_to_month,fiber,tier_1,no,no,no
6,115.9,1,90.18,0,8.99,month_to_month,broadband,tier_2,yes,no,yes
18,53.33,1,176.6,1,5.49,one_year,broadband,tier_1,yes,no,no
52,52.59,0,189.73,6,4.75,one_year,mobile,tier_1,yes,no,yes
22,86.59,1,182.59,1,6.37,month_to_month,mobile,tier_3,yes,no,no
68,78.15,2,168.69,6,5.95,one_year,broadband,tier_1,yes,yes,no
63,63.96,3,167.39,4,6.66,two_year,fiber,tier_2,yes,no,no
40,75.74,2,128.16,4,5.74,month_to_month,fiber,tier_2,yes,no,yes
14,134.51,3,198.74,3,6.91,month_to_month,broadband,tier_2,yes,yes,yes
10,80.72,1,156.11,3,5.82,one_year,fiber,tier_2,yes,yes,no
66,93.6,2,111.13,5,3.71,one_year,fiber,tier_2,yes,yes,no
6,77.87,6,55.73,5,8.19,month_to_month,mobile,tier_2,no,yes,yes
45,98.49,3,110.94,4,6.67,month_to_month,fiber,tier_1,yes,yes,no
30,50.51,0,201.7,4,7.17,month_to_month,fiber,tier_1,yes,yes,no
59,132.93,1,144.39,2,7.24,month_to_month,broadband,tier_2,yes,yes,no
34,86.1,2,202.31,2,8.49,month_to_month,fiber,tier_2,yes,yes,no
62,70.89,1,114.16,3,6.45,one_year,fiber,tier_2,no,no,no
67,84.12,3,98.19,2,5.08,two_year,fiber,tier_2,yes,no,no
14,91.98,4,145.57,1,7.49,two_year,mobile,tier_2,no,no,yes
56,96.03,1,49.71,2,9.47,two_year,broadband,tier_1,yes,no,no
14,137.28,0,110.8,0,6.95,month_to_month,fiber,tier_3,no,no,no
42,50.64,0,216.64,4,9.01,month_to_month,broadband,tier_2,yes,no,no
37,105.39,0,77.41,0,6.5,month_to_month,fiber,tier_3,yes,no,yes
66,57.26,3,176.81,4,7.17,month_to_month,mobile,tier_3,no,no,yes
13,148.93,2,121.67,1,2.45,month_to_month,fiber,tier_1,yes,no,yes
47,72.37,1,129.96,1,5.81,one_year,broadband,tier_3,no,no,no
10,95.9,2,131.56,1,7.64,one_year,broadband,tier_2,no,no,yes
13,74.57,2,81.34,1,7.54,month_to_month,broadband,tier_3,yes,no,no
67,60.64,0,83.7,1,6.21,one_year,fiber,tier_3,no,no,no
56,74.2,3,138.1,0,4.76,one_year,fiber,tier_2,no,no,yes
5,95.31,2,91.64,3,6.92,month_to_month,mobile,tier_2,no,no,no
60,118.47,1,98.18,1,7.96,two_year,mobile,tier_1,yes,yes,no
21,86.72,1,199.23,2,4.37,one_year,fiber,tier_3,no,yes,yes
44,79.79,1,166.61,3,8.89,two_year,broadband,tier_3,yes,no,no
70,81.29,0,125.62,9,5.29,month_to_month,mobile,tier_2,yes,yes,no
14,93.72,3,113.18,3,5.2,month_to_month,mobile,tier_3,no,no,yes
51,72.07,0,114.27,4,6.27,one_year,broadband,tier_1,no,no,no
39,106.35,2,47.54,3,5.42,month_to_month,broadband,tier_2,no,no,no
40,60.01,1,73.37,1,8.3,one_year,mobile,tier_3,yes,no,no
44,120.82,5,143.05,2,6.21,month_to_month,broadband,tier_1,yes,no,no
70,87.98,1,72.12,3,5.7,one_year,fiber,tier_2,yes,no,no
51,103.31,2,182.3,1,5.55,one_year,broadband,tier_3,no,no,yes
39,101.1,1,68.98,2,4.56,one_year,mobile,tier_1,no,yes,yes
24,89.15,1,153.38,3,7.76,month_to_month,mobile,tier_3,yes,no,yes
22,83.97,1,138.65,2,4.09,month_to_month,broadband,tier_1,no,no,no
63,96.43,3,132.63,3,6.72,month_to_month,fiber,tier_3,yes,no,no
65,68.18,3,84.4,1,3.36,month_to_month,mobile,tier_3,yes,no,no
31,99.86,0,111.79,2,9.01,month_to_month,broadband,tier_3,yes,yes,no
30,98.75,1,189.17,6,6.84,month_to_month,broadband,tier_1,yes,no,yes
27,90.19,0,72.95,6,4.55,month_to_month,fiber,tier_3,yes,no,no
60,115.99,3,34.27,3,8.53,two_year,fiber,tier_3,yes,no,no
10,61.95,1,111.82,1,6.82,two_year,broadband,tier_1,yes,no,no
13,91.16,1,114.67,0,5.93,two_year,broadband,tier_3,yes,no,yes
66,123.65,1,180.34,2,6.14,one_year,broadband,tier_1,yes,no,yes
27,121.98,4,77.9,1,7.35,month_to_month,fiber,tier_3,yes,no,no
15,102.91,4,77.19,0,7.72,one_year,mobile,tier_1,no,no,no
40,97.21,2,79.99,3,4.47,month_to_month,broadband,tier_3,yes,yes,yes
35,85.88,0,215.25,2,8.37,one_year,fiber,tier_1,no,no,no
3,85.42,4,169.09,1,8.2,one_year,fiber,tier_3,no,no,yes
14,58.56,2,123.79,2,7.26,month_to_month,broadband,tier_2,yes,yes,no
23,94.4,0,136.98,1,6.24,month_to_month,fiber,tier_2,no,no,yes
23,88.74,0,127.39,3,5.19,month_to_month,broadband,tier_2,yes,no,no
26,74.98,1,84.71,3,5.57,one_year,fiber,tier_1,no,no,no
49,56.76,3,71.86,3,5.75,two_year,mobile,tier_2,yes,no,no
33,66.41,3,182.01,1,4.53,month_to_month,mobile,tier_1,no,yes,yes
43,127.7,0,181.83,0,4.37,two_year,mobile,tier_2,yes,no,no
24,73.84,2,213.37,2,5.99,month_to_month,broadband,tier_2,yes,no,no
50,69.3,3,175.91,4,4.9,month_to_month,broadband,tier_1,yes,no,no
37,84.39,1,128.1,0,5.83,two_year,broadband,tier_3,no,no,no
53,93.01,2,112.46,0,4.29,month_to_month,fiber,tier_1,yes,no,no
61,100.67,0,131.59,0,5.5,month_to_month,mobile,tier_2,no,no,no
55,68.95,0,186.7,2,4.15,one_year,mobile,tier_2,yes,no,no
20,113.83,0,154.83,2,5.36,two_year,fiber,tier_2,no,no,yes
25,94.51,1,146.05,1,7.0,month_to_month,fiber,tier_3,no,no,no
66,78.81,6,134.31,3,5.42,one_year,broadband,tier_3,yes,no,no
8,93.46,1,140.35,1,6.15,month_to_month,mobile,tier_2,yes,no,yes
6,101.94,3,81.14,3,5.57,month_to_month,broadband,tier_2,yes,no,yes
31,79.99,1,226.93,2,6.56,month_to_month,fiber,tier_3,no,no,no
28,93.14,2,118.5,1,4.04,month_to_month,fiber,tier_2,yes,no,no
69,62.64,1,184.83,0,8.09,month_to_month,fiber,tier_1,no,no,no
51,112.83,2,147.07,3,4.92,month_to_month,fiber,tier_2,no,no,yes
31,83.58,2,109.39,2,7.47,month_to_month,broadband,tier_2,no,no,no
30,92.69,3,104.32,4,6.62,month_to_month,broadband,tier_2,no,no,yes
30,71.46,3,207.44,3,9.39,one_year,fiber,tier_3,no,yes,no
26,71.98,2,109.28,3,8.07,month_to_month,fiber,tier_3,yes,no,no
16,84.56,1,101.98,4,5.42,month_to_month,fiber,tier_3,yes,no,no
66,81.42,2,126.91,3,8.46,month_to_month,broadband,tier_3,no,no,no
29,63.66,1,113.98,1,5.12,month_to_month,fiber,tier_3,no,no,yes
38,88.3,2,160.57,4,7.61,month_to_month,broadband,tier_3,yes,no,no
38,89.85,0,151.87,2,7.87,month_to_month,fiber,tier_3,no,no,yes
38,83.1,3,180.9,0,5.75,month_to_month,broadband,tier_1,no,no,yes
33,128.13,1,33.24,4,7.68,month_to_month,broadband,tier_2,yes,no,no
43,88.34,0,59.98,1,5.0,month_to_month,fiber,tier_2,no,no,yes
34,91.42,0,106.58,2,6.55,month_to_month,broadband,tier_3,no,yes,yes
18,106.89,2,122.32,1,5.66,month_to_month,broadband,tier_1,yes,no,no
24,66.41,0,92.83,2,6.33,month_to_month,broadband,tier_1,no,no,no
9,70.48,1,172.92,3,7.51,month_to_month,mobile,tier_3,yes,no,yes
69,113.4,1,188.16,3,7.91,month_to_month,broadband,tier_3,yes,yes,no
15,92.24,4,145.77,3,7.19,month_to_month,broadband,tier_2,no,no,yes
58,135.59,3,204.69,5,8.86,month_to_month,fiber,tier_3,no,no,no
66,96.44,1,60.64,3,4.86,two_year,broadband,tier_2,yes,no,yes
35,78.52,1,135.8,2,5.02,two_year,mobile,tier_2,yes,no,no
30,95.89,3,116.67,3,7.81,one_year,broadband,tier_2,yes,yes,no
1,101.9,1,131.27,0,4.58,month_to_month,fiber,tier_1,no,no,yes
55,97.47,2,37.28,3,5.21,month_to_month,broadband,tier_2,no,yes,no
57,71.02,3,95.25,4,7.81,one_year,fiber,tier_2,no,no,yes
70,109.0,1,54.97,3,7.0,month_to_month,fiber,tier_1,yes,no,no
10,115.8,0,152.77,2,5.72,month_to_month,fiber,tier_2,no,yes,yes
19,100.23,3,95.93,2,7.86,month_to_month,fiber,tier_1,yes,yes,yes
67,82.33,2,115.49,1,7.72,one_year,fiber,tier_1,no,yes,yes
18,96.53,3,130.76,2,6.38,two_year,mobile,tier_1,yes,yes,yes
29,97.34,3,163.54,1,6.43,month_to_month,fiber,tier_1,yes,yes,no
64,91.64,4,209.31,4,7.07,month_to_month,fiber,tier_3,yes,no,yes
28,70.5,1,130.17,2,4.63,month_to_month,fiber,tier_1,no,yes,no
18,89.3,2,142.23,5,8.68,two_year,fiber,tier_3,no,no,no
35,97.64,4,113.24,3,5.54,one_year,mobile,tier_2,yes,yes,yes
25,79.25,3,177.32,5,4.12,month_to_month,broadband,tier_3,no,no,yes
11,72.51,0,117.28,1,8.64,month_to_month,mobile,tier_1,yes,no,no
69,87.12,2,116.15,1,7.62,month_to_month,fiber,tier_2,no,yes,no
12,73.75,2,57.22,3,2.75,one_year,mobile,tier_2,yes,yes,no
62,110.32,3,184.44,2,5.26,one_year,mobile,tier_2,yes,no,no
38,97.24,3,133.91,2,7.74,month_to_month,fiber,tier_2,yes,yes,no
35,77.49,2,149.66,3,4.58,one_year,fiber,tier_2,no,yes,no
28,95.05,3,94.64,2,7.72,one_year,fiber,tier_3,yes,no,no
6,63.98,2,175.81,4,8.05,month_to_month,fiber,tier_3,no,yes,yes
36,104.69,3,122.02,2,7.96,one_year,fiber,tier_3,no,no,yes
11,75.19,1,159.29,2,4.48,one_year,fiber,tier_3,yes,no,no
8,123.56,2,97.23,0,6.09,month_to_month,mobile,tier_1,no,no,no
45,86.18,2,176.59,3,7.34,one_year,mobile,tier_2,no,no,yes
12,88.06,2,123.99,3,4.99,two_year,fiber,tier_2,no,no,no
35,77.38,2,148.41,2,5.26,one_year,broadband,tier_3,yes,no,yes
39,113.91,0,144.24,4,5.47,month_to_month,fiber,tier_2,yes,no,yes
20,117.83,1,151.84,3,8.51,month_to_month,fiber,tier_2,yes,no,no
3,86.07,4,180.89,5,5.96,month_to_month,fiber,tier_1,no,no,yes
25,53.19,2,132.75,5,6.25,month_to_month,fiber,tier_2,yes,no,yes
25,100.62,1,78.93,1,6.16,one_year,fiber,tier_2,no,yes,yes
12,104.36,2,113.69,1,8.72,two_year,fiber,tier_2,no,no,no
20,85.13,3,231.04,2,5.06,month_to_month,fiber,tier_2,yes,no,no
69,67.04,1,92.35,1,6.6,two_year,fiber,tier_2,yes,no,no
66,95.93,1,164.58,2,8.23,two_year,mobile,tier_2,no,no,no
35,87.87,2,134.59,2,6.05,month_to_month,fiber,tier_2,no,no,no
62,43.37,1,131.61,2,4.9,month_to_month,fiber,tier_1,yes,no,no
68,78.28,2,168.32,0,5.48,month_to_month,broadband,tier_1,no,no,no
26,67.42,2,131.69,3,5.77,month_to_month,mobile,tier_2,yes,no,no
34,107.2,5,138.76,1,5.61,month_to_month,mobile,tier_2,no,no,yes
67,55.63,2,110.86,2,4.16,month_to_month,fiber,tier_1,no,no,yes
66,96.72,1,170.84,4,7.49,two_year,mobile,tier_3,no,yes,no
28,65.31,1,98.96,0,5.78,one_year,broadband,tier_2,yes,no,yes
23,75.63,1,89.44,2,9.37,month_to_month,broadband,tier_3,yes,no,yes
16,100.89,2,63.48,3,9.02,month_to_month,broadband,tier_1,no,no,yes
36,67.08,2,143.8,3,7.67,month_to_month,broadband,tier_2,yes,no,yes
11,50.35,2,89.58,2,8.65,one_year,broadband,tier_3,no,no,no
10,91.21,4,167.39,0,8.62,month_to_month,fiber,tier_2,no,no,yes
8,59.8,0,93.19,4,7.29,one_year,mobile,tier_1,yes,no,no
67,81.23,1,155.08,2,7.4,one_year,fiber,tier_3,yes,no,no
16,85.22,0,166.84,5,5.16,month_to_month,fiber,tier_2,yes,yes,no
57,109.03,1,216.93,1,6.71,month_to_month,fiber,tier_2,no,no,yes
22,104.88,2,137.09,2,6.68,one_year,mobile,tier_1,no,no,no
26,51.12,1,104.12,2,4.15,month_to_month,fiber,tier_1,no,no,no
54,102.02,0,127.41,3,5.22,month_to_month,mobile,tier_2,yes,no,no
35,98.01,3,167.25,2,6.09,month_to_month,broadband,tier_2,no,no,yes
50,45.96,1,105.26,3,6.4,one_year,fiber,tier_3,no,no,yes
22,80.4,0,165.21,2,4.94,month_to_month,fiber,tier_3,yes,no,no
2,91.44,2,140.12,6,6.08,month_to_month,broadband,tier_3,no,no,yes
66,103.28,0,121.61,1,6.44,two_year,broadband,tier_3,no,no,no
65,82.69,1,229.44,3,7.62,two_year,fiber,tier_1,no,yes,no
7,78.31,2,154.57,1,7.93,month_to_month,fiber,tier_2,yes,no,no
52,81.1,3,180.64,1,6.58,month_to_month,mobile,tier_3,yes,no,no
10,75.75,1,178.06,1,6.62,month_to_month,fiber,tier_3,yes,no,no
32,114.13,1,149.96,1,6.0,month_to_month,mobile,tier_2,yes,no,yes
33,75.01,0,68.66,2,7.76,two_year,fiber,tier_3,yes,yes,no
63,64.73,1,96.7,3,5.71,one_year,broadband,tier_2,no,no,no
55,88.64,1,156.15,1,4.1,one_year,mobile,tier_1,yes,no,no
39,111.38,2,157.86,2,8.17,two_year,broadband,tier_2,yes,no,no
67,84.36,1,162.03,3,5.96,month_to_month,broadband,tier_1,no,no,no
56,94.24,3,181.53,2,5.12,two_year,fiber,tier_3,yes,no,yes
6,81.54,4,69.64,5,10.0,month_to_month,broadband,tier_3,no,no,yes
46,72.08,1,189.37,2,6.32,month_to_month,broadband,tier_2,no,no,no
20,88.43,2,196.2,1,7.49,one_year,fiber,tier_2,no,no,no
40,119.64,1,160.96,2,5.34,one_year,broadband,tier_2,yes,no,no
61,63.87,3,94.8,3,6.56,month_to_month,broadband,tier_3,no,no,no
66,88.28,1,127.29,3,3.77,two_year,broadband,tier_2,yes,no,no
57,99.66,2,104.66,5,5.36,month_to_month,fiber,tier_2,no,no,yes
28,85.47,1,146.49,4,4.73,one_year,fiber,tier_2,no,no,no
67,65.93,6,108.34,1,9.76,two_year,fiber,tier_3,yes,no,no
59,92.69,2,91.18,4,6.6,month_to_month,fiber,tier_1,yes,no,no
44,90.66,1,155.87,3,4.95,two_year,broadband,tier_1,no,no,no
12,77.19,2,150.48,1,4.95,month_to_month,fiber,tier_1,no,yes,yes
41,107.89,2,59.75,2,4.3,one_year,broadband,tier_1,yes,yes,no
39,91.33,0,125.81,0,5.42,two_year,fiber,tier_3,no,yes,yes
58,77.34,1,175.29,3,7.22,two_year,fiber,tier_3,no,no,yes
59,53.89,2,185.83,5,4.18,month_to_month,broadband,tier_1,no,no,no
26,91.23,3,171.98,3,7.87,one_year,mobile,tier_2,no,no,no
16,103.66,3,131.81,2,5.59,month_to_month,broadband,tier_3,yes,no,yes
47,97.17,1,131.59,3,7.43,one_year,mobile,tier_3,yes,no,no
33,95.17,3,114.7,3,8.02,one_year,fiber,tier_2,yes,no,yes
3,74.92,4,44.35,4,3.39,one_year,fiber,tier_2,no,no,yes
18,126.96,1,252.24,1,6.17,month_to_month,mobile,tier_2,no,yes,no
13,100.46,6,127.63,1,6.18,month_to_month,mobile,tier_3,yes,no,yes
28,51.63,2,114.26,5,4.99,month_to_month,fiber,tier_2,no,no,no
69,85.54,0,147.06,3,5.96,month_to_month,mobile,tier_2,yes,yes,no
47,67.84,2,176.16,2,4.62,month_to_month,fiber,tier_3,yes,yes,yes
38,81.22,1,130.66,0,8.03,two_year,mobile,tier_3,yes,yes,no
1,84.93,1,74.83,4,7.18,month_to_month,broadband,tier_2,no,yes,yes
28,133.33,5,123.33,1,7.25,month_to_month,fiber,tier_3,yes,no,yes
4,72.1,0,102.14,1,4.36,month_to_month,fiber,tier_2,no,no,yes
59,57.32,0,65.61,3,7.55,one_year,mobile,tier_2,no,no,no
9,63.74,0,142.34,4,5.12,month_to_month,broadband,tier_3,yes,no,yes
33,60.22,2,89.02,4,5.12,month_to_month,broadband,tier_2,no,no,no
2,60.69,2,127.9,1,4.83,one_year,fiber,tier_1,no,yes,yes
59,84.05,0,142.11,3,5.15,month_to_month,mobile,tier_2,yes,no,yes
31,85.78,1,157.07,0,6.31,month_to_month,fiber,tier_2,yes,no,no
64,70.77,1,66.72,3,4.78,month_to_month,fiber,tier_2,no,yes,no
18,57.83,5,121.74,2,7.62,month_to_month,mobile,tier_3,yes,no,yes
48,101.43,1,44.12,1,6.22,month_to_month,broadband,tier_3,yes,yes,no
37,81.79,2,130.45,2,6.38,month_to_month,fiber,tier_1,yes,no,no
13,104.93,2,163.93,3,10.0,one_year,fiber,tier_2,yes,no,yes
61,98.64,4,189.48,5,6.12,month_to_month,fiber,tier_2,yes,no,yes
6,82.56,2,103.36,6,6.94,month_to_month,fiber,tier_2,no,no,yes
33,122.21,3,219.26,2,4.42,month_to_month,fiber,tier_3,yes,no,yes
60,83.95,3,199.35,4,5.13,two_year,broadband,tier_3,yes,no,yes
13,95.58,2,36.61,1,5.36,month_to_month,broadband,tier_3,yes,yes,no
58,88.97,3,135.36,3,6.61,two_year,fiber,tier_3,yes,no,no
3,70.21,1,114.81,1,5.82,two_year,mobile,tier_3,yes,no,no
1,65.33,1,107.7,2,5.25,month_to_month,broadband,tier_2,no,no,yes
47,51.28,1,182.65,4,5.57,month_to_month,mobile,tier_2,yes,no,no
54,79.28,2,179.41,0,5.96,two_year,mobile,tier_3,no,no,no
18,115.25,2,156.72,0,7.11,two_year,fiber,tier_2,yes,no,no
38,38.29,2,185.67,3,5.97,two_year,broadband,tier_1,no,no,no
55,46.22,0,74.34,0,6.09,two_year,fiber,tier_2,yes,yes,yes
5,81.07,1,154.38,4,7.19,month_to_month,mobile,tier_3,yes,no,no
56,74.4,2,131.86,3,6.06,month_to_month,mobile,tier_2,yes,yes,no
31,104.82,0,162.05,5,6.35,one_year,fiber,tier_1,yes,no,no
13,55.51,3,111.21,3,7.75,month_to_month,fiber,tier_3,yes,yes,no
6,118.28,2,166.52,0,7.44,month_to_month,mobile,tier_2,no,no,yes
19,59.1,1,122.88,3,6.41,month_to_month,broadband,tier_1,yes,no,no
47,58.5,0,80.02,4,9.38,two_year,fiber,tier_3,yes,no,no
34,85.27,3,32.55,1,3.82,one_year,broadband,tier_1,no,yes,yes
2,83.82,2,161.95,3,7.29,month_to_month,fiber,tier_2,yes,yes,yes
61,66.25,2,156.23,2,4.12,one_year,fiber,tier_2,no,no,yes
34,99.47,2,202.71,1,6.69,two_year,fiber,tier_3,no,yes,no
46,87.16,1,47.41,1,5.15,two_year,broadband,tier_2,yes,no,yes
27,91.66,2,132.87,3,7.21,one_year,fiber,tier_2,no,yes,yes
5,114.52,2,99.89,2,7.16,month_to_month,fiber,tier_3,yes,no,yes
35,62.55,1,73.4,2,8.71,two_year,mobile,tier_3,yes,yes,no
2,56.63,1,173.81,2,6.5,two_year,fiber,tier_2,no,no,no
59,74.72,2,141.22,2,7.87,two_year,broadband,tier_2,no,yes,yes
56,58.5,1,180.14,3,6.37,month_to_month,mobile,tier_2,no,no,no
70,72.44,0,108.3,2,5.69,one_year,fiber,tier_2,yes,no,no
32,62.36,0,97.29,4,5.48,month_to_month,mobile,tier_1,no,no,yes
68,91.02,2,56.28,2,4.89,month_to_month,fiber,tier_3,no,yes,yes
25,101.34,1,179.85,3,5.64,month_to_month,broadband,tier_2,yes,yes,yes
31,60.44,1,132.66,4,4.15,month_to_month,fiber,tier_3,no,no,yes
45,98.78,3,170.46,4,5.46,month_to_month,fiber,tier_2,yes,no,yes
70,106.21,0,75.82,2,4.87,month_to_month,mobile,tier_1,no,no,no
33,81.45,0,105.28,0,6.78,month_to_month,fiber,tier_2,yes,no,no
63,112.38,2,166.78,5,5.87,two_year,fiber,tier_3,no,no,yes
62,69.92,4,95.34,1,5.32,month_to_month,mobile,tier_3,no,no,no
69,107.14,3,98.84,0,8.77,two_year,mobile,tier_2,yes,no,no
64,55.21,3,127.25,0,6.75,one_year,fiber,tier_3,yes,no,no
15,67.14,1,75.85,4,6.44,month_to_month,fiber,tier_3,yes,no,yes
19,99.24,2,98.78,1,5.01,one_year,fiber,tier_2,yes,no,yes
26,49.84,1,84.43,4,4.71,month_to_month,mobile,tier_3,yes,no,yes
65,28.98,1,84.69,3,7.57,two_year,fiber,tier_2,yes,no,no
54,71.52,1,165.19,1,5.17,month_to_month,mobile,tier_3,no,no,no
29,80.75,0,50.6,3,7.49,two_year,broadband,tier_2,yes,no,no
48,114.93,0,125.46,1,6.74,month_to_month,fiber,tier_2,yes,no,no
31,65.76,2,104.77,2,4.66,month_to_month,broadband,tier_3,yes,no,no
61,92.29,4,179.35,3,4.01,one_year,fiber,tier_3,yes,no,no
51,73.11,0,136.02,3,5.58,month_to_month,broadband,tier_2,no,no,no
43,98.04,0,128.49,2,6.65,month_to_month,fiber,tier_2,no,no,no
59,86.06,1,164.65,2,2.96,one_year,fiber,tier_2,yes,no,yes
13,106.29,5,214.6,1,7.02,month_to_month,broadband,tier_2,yes,no,yes
38,62.44,2,116.55,5,6.56,month_to_month,broadband,tier_2,yes,yes,no
42,70.36,3,104.23,6,3.41,month_to_month,broadband,tier_1,no,no,yes
54,78.69,0,217.24,6,8.12,one_year,broadband,tier_3,yes,yes,no
58,116.93,4,90.99,2,7.17,month_to_month,broadband,tier_2,yes,no,yes
45,119.68,3,167.67,3,5.73,month_to_month,fiber,tier_3,yes,no,yes
63,90.49,1,246.81,2,6.87,one_year,broadband,tier_2,yes,no,no
