近30天登录天数,核心功能使用次数,团队成员数,当前套餐,客服咨询次数,月活跃时长_小时,自动化流程数,所属行业,数据量_GB,升级建议
9,26,9,基础版,1,10.8,6,医疗,36.82,保留当前套餐
7,20,6,免费版,1,11.4,0,电商,10.79,保留当前套餐
28,25,23,免费版,0,17.3,3,电商,22.08,升级企业版
11,24,4,基础版,3,32.4,1,电商,0.5,保留当前套餐
8,19,5,专业版,2,34.6,8,医疗,14.75,保留当前套餐
1,23,3,免费版,2,19.9,6,教育,18.11,保留当前套餐
28,23,23,免费版,1,23.7,2,制造,8.71,升级专业版
14,23,9,基础版,0,32.0,2,医疗,7.89,保留当前套餐
6,22,4,免费版,0,13.9,4,电商,10.56,保留当前套餐
14,18,16,专业版,0,6.1,4,教育,11.88,保留当前套餐
23,20,23,免费版,1,31.1,3,教育,11.14,升级专业版
30,23,4,免费版,1,18.4,4,制造,24.79,升级专业版
2,30,20,免费版,1,31.2,3,电商,18.41,保留当前套餐
27,16,15,免费版,0,12.2,2,电商,34.05,升级专业版
28,26,4,基础版,2,11.8,6,咨询服务,18.86,升级专业版
4,21,11,基础版,4,21.6,4,咨询服务,13.34,保留当前套餐
18,22,16,免费版,0,13.5,7,制造,26.13,升级专业版
27,23,4,免费版,2,23.8,5,咨询服务,18.59,升级专业版
15,14,8,免费版,3,21.6,2,制造,22.01,保留当前套餐
19,20,10,专业版,0,8.7,5,咨询服务,14.14,保留当前套餐
25,22,2,基础版,1,19.6,1,咨询服务,29.43,保留当前套餐
25,23,10,免费版,3,24.4,5,医疗,0.5,升级专业版
1,28,7,免费版,3,5.2,5,制造,18.18,保留当前套餐
26,31,16,基础版,0,19.8,3,医疗,0.5,升级专业版
19,23,5,基础版,3,29.1,4,电商,17.69,保留当前套餐
20,27,6,免费版,1,27.1,3,制造,21.21,保留当前套餐
24,19,5,免费版,2,23.5,5,制造,27.68,升级专业版
4,18,9,免费版,2,14.2,5,制造,26.02,保留当前套餐
30,25,4,基础版,0,24.6,6,医疗,10.98,升级专业版
23,22,4,基础版,2,1.0,2,咨询服务,12.36,保留当前套餐
24,24,4,基础版,2,26.7,5,制造,13.07,升级专业版
11,25,46,专业版,3,15.2,2,电商,18.66,保留当前套餐
25,25,11,专业版,2,22.1,4,咨询服务,0.5,保留当前套餐
15,32,4,免费版,2,19.8,6,制造,32.08,升级专业版
19,24,5,免费版,2,24.3,5,咨询服务,30.87,升级专业版
10,16,12,专业版,1,23.0,5,医疗,10.34,保留当前套餐
25,28,5,基础版,4,7.8,6,教育,2.48,保留当前套餐
14,22,11,基础版,2,10.0,5,咨询服务,8.02,保留当前套餐
1,19,9,基础版,1,21.4,7,医疗,23.33,保留当前套餐
4,22,9,免费版,1,8.3,2,电商,7.16,保留当前套餐
19,25,8,专业版,1,20.3,3,咨询服务,22.57,保留当前套餐
2,27,4,基础版,0,25.7,5,教育,31.02,保留当前套餐
7,21,64,免费版,0,22.4,5,教育,18.2,保留当前套餐
4,26,17,基础版,1,16.0,3,电商,9.83,保留当前套餐
24,26,6,免费版,1,21.0,3,制造,23.42,升级专业版
8,21,5,基础版,2,30.1,9,电商,31.68,保留当前套餐
24,22,10,专业版,2,7.3,8,电商,5.75,保留当前套餐
6,22,8,基础版,3,25.4,2,咨询服务,27.57,保留当前套餐
10,26,10,免费版,3,22.3,2,制造,27.02,保留当前套餐
11,24,6,基础版,1,20.8,4,电商,33.07,保留当前套餐
8,23,7,基础版,1,10.0,4,制造,22.13,保留当前套餐
23,25,7,免费版,1,11.4,7,医疗,20.68,升级专业版
16,23,11,专业版,2,20.9,4,制造,19.3,保留当前套餐
14,31,38,免费版,0,18.5,3,医疗,2.46,保留当前套餐
29,21,3,免费版,1,10.1,7,教育,38.43,升级企业版
6,25,5,基础版,3,18.1,2,制造,13.19,保留当前套餐
25,20,4,基础版,0,23.4,3,医疗,14.99,保留当前套餐
20,19,8,专业版,2,5.2,2,电商,20.97,保留当前套餐
26,17,8,免费版,1,19.9,5,教育,14.83,升级专业版
25,22,8,免费版,0,30.2,7,制造,12.77,升级专业版
11,18,12,免费版,0,24.8,3,教育,27.06,保留当前套餐
27,22,13,专业版,3,31.6,6,医疗,32.3,升级专业版
25,24,14,专业版,1,14.5,4,制造,22.39,升级专业版
6,28,20,免费版,2,28.5,4,咨询服务,0.5,保留当前套餐
18,16,11,专业版,2,20.5,3,医疗,28.58,保留当前套餐
30,20,16,基础版,1,9.1,3,医疗,22.02,升级专业版
17,24,8,免费版,0,32.1,2,咨询服务,26.78,升级专业版
15,34,1,免费版,4,8.7,10,制造,14.47,保留当前套餐
30,19,24,基础版,2,10.1,4,电商,31.1,升级专业版
16,33,3,基础版,2,14.8,5,教育,11.73,保留当前套餐
20,33,3,免费版,1,22.1,2,制造,30.87,升级专业版
21,20,3,免费版,3,34.3,10,医疗,3.25,升级专业版
23,25,9,基础版,1,9.2,7,教育,32.55,升级专业版
17,32,6,专业版,3,29.8,7,咨询服务,32.98,升级专业版
1,25,13,免费版,2,26.3,5,制造,22.29,保留当前套餐
21,21,5,专业版,2,22.5,2,制造,18.48,保留当前套餐
29,32,7,基础版,2,19.4,9,制造,3.31,升级专业版
2,23,3,基础版,1,30.7,5,咨询服务,16.52,保留当前套餐
4,20,36,专业版,1,20.2,1,教育,28.1,保留当前套餐
1,20,7,基础版,3,21.2,4,咨询服务,24.29,保留当前套餐
27,24,14,基础版,1,16.3,5,咨询服务,0.5,升级专业版
3,29,5,专业版,0,16.8,1,电商,13.6,保留当前套餐
12,22,17,基础版,1,35.3,3,医疗,35.03,保留当前套餐
12,19,13,基础版,4,28.6,7,电商,10.49,保留当前套餐
21,27,8,免费版,1,29.3,5,咨询服务,25.04,升级专业版
16,13,37,免费版,0,18.7,7,咨询服务,20.87,升级专业版
2,19,36,基础版,3,7.9,3,制造,31.57,保留当前套餐
15,26,27,基础版,4,21.0,2,咨询服务,30.06,保留当前套餐
24,25,20,基础版,0,22.1,6,医疗,41.31,升级专业版
20,19,13,基础版,4,25.4,8,咨询服务,16.21,保留当前套餐
19,24,11,基础版,3,33.7,5,医疗,0.53,保留当前套餐
8,18,9,专业版,2,23.7,3,教育,10.64,保留当前套餐
10,24,13,基础版,4,11.1,2,教育,18.34,保留当前套餐
20,24,2,免费版,0,14.1,4,教育,8.31,保留当前套餐
3,16,7,专业版,4,9.4,5,制造,11.33,保留当前套餐
22,22,13,基础版,0,36.8,1,咨询服务,10.61,升级专业版
5,21,7,免费版,5,19.6,4,制造,34.95,保留当前套餐
11,18,5,基础版,3,1.0,5,教育,15.95,保留当前套餐
26,24,6,基础版,3,16.8,5,电商,8.41,保留当前套餐
21,24,10,专业版,1,1.0,8,电商,37.06,保留当前套餐
13,30,4,基础版,4,38.7,5,制造,9.26,保留当前套餐
17,27,13,专业版,2,9.7,4,电商,29.36,保留当前套餐
2,29,14,基础版,0,12.2,3,医疗,0.5,保留当前套餐
24,19,6,免费版,5,10.4,3,制造,12.89,保留当前套餐
2,29,3,免费版,2,10.9,8,教育,11.68,保留当前套餐
10,27,15,免费版,3,11.1,5,咨询服务,25.78,保留当前套餐
24,23,4,基础版,1,22.5,5,制造,10.69,升级专业版
25,19,7,免费版,3,19.7,3,制造,27.88,保留当前套餐
12,24,25,免费版,2,25.8,3,电商,13.59,保留当前套餐
1,18,4,专业版,4,7.5,6,电商,21.07,保留当前套餐
19,31,5,专业版,3,27.4,6,教育,4.08,保留当前套餐
24,22,8,基础版,3,27.0,4,教育,11.8,保留当前套餐
2,27,24,基础版,2,9.4,7,制造,16.69,保留当前套餐
11,23,9,免费版,6,22.9,6,教育,11.17,保留当前套餐
22,22,14,基础版,2,32.8,4,咨询服务,10.01,保留当前套餐
30,20,14,免费版,1,23.3,7,咨询服务,13.69,升级专业版
4,31,8,基础版,4,24.6,1,电商,20.01,保留当前套餐
14,27,20,专业版,1,13.6,9,教育,14.54,保留当前套餐
8,24,8,基础版,1,21.8,1,电商,21.16,保留当前套餐
18,24,36,免费版,1,29.0,4,制造,14.3,升级专业版
22,24,15,免费版,2,15.5,4,电商,14.55,升级专业版
28,21,5,免费版,0,27.3,2,制造,29.59,升级专业版
17,17,34,基础版,1,14.7,4,电商,40.82,升级专业版
11,29,80,免费版,1,26.3,3,电商,24.31,升级专业版
18,29,8,专业版,4,12.3,3,电商,11.92,保留当前套餐
21,17,9,免费版,0,22.3,4,咨询服务,25.76,升级专业版
28,20,10,基础版,1,16.6,6,电商,21.9,升级专业版
17,26,2,基础版,1,11.3,4,咨询服务,11.55,保留当前套餐
12,19,7,专业版,2,17.4,5,咨询服务,0.5,保留当前套餐
28,18,10,专业版,0,13.2,3,咨询服务,8.21,保留当前套餐
7,22,8,基础版,5,1.0,6,教育,9.96,保留当前套餐
29,22,13,基础版,4,22.1,6,电商,29.77,升级企业版
5,23,6,基础版,4,1.7,4,医疗,13.1,保留当前套餐
10,28,6,免费版,2,15.3,5,医疗,8.61,保留当前套餐
27,22,17,专业版,3,42.5,4,教育,21.61,升级专业版
15,25,15,免费版,2,23.4,1,医疗,7.87,保留当前套餐
6,25,20,基础版,2,17.1,5,医疗,25.12,保留当前套餐
7,21,9,基础版,1,11.7,6,咨询服务,15.17,保留当前套餐
29,27,7,专业版,4,12.5,7,咨询服务,4.44,保留当前套餐
29,23,15,免费版,1,19.6,3,教育,9.65,升级专业版
11,25,9,基础版,2,21.9,5,医疗,8.34,保留当前套餐
17,31,2,免费版,4,7.6,6,电商,13.75,保留当前套餐
25,25,20,免费版,2,18.3,4,咨询服务,18.4,升级专业版
14,22,4,基础版,1,8.2,8,电商,19.45,保留当前套餐
14,23,8,基础版,1,16.0,3,电商,15.12,保留当前套餐
19,26,6,免费版,1,8.8,7,医疗,15.74,升级专业版
7,21,9,免费版,6,7.0,6,医疗,0.5,保留当前套餐
22,25,17,基础版,2,10.8,5,制造,20.08,升级专业版
5,32,10,基础版,1,16.2,4,教育,23.33,保留当前套餐
26,22,5,基础版,6,18.9,6,咨询服务,33.43,升级专业版
16,30,7,免费版,6,24.6,3,咨询服务,19.43,保留当前套餐
9,29,6,基础版,1,12.5,5,医疗,6.13,保留当前套餐
27,22,5,专业版,0,9.6,1,咨询服务,9.55,保留当前套餐
16,24,6,专业版,1,1.0,5,制造,11.48,保留当前套餐
22,26,4,免费版,1,10.3,5,电商,10.31,升级专业版
11,16,32,免费版,1,3.6,5,咨询服务,22.78,保留当前套餐
10,15,15,免费版,0,12.2,5,电商,0.5,保留当前套餐
12,24,16,专业版,1,28.3,3,制造,7.99,保留当前套餐
29,16,13,基础版,1,13.9,3,医疗,19.75,升级专业版
29,19,32,基础版,3,32.3,6,教育,28.93,升级专业版
15,21,4,专业版,3,14.4,6,咨询服务,0.5,保留当前套餐
17,13,14,免费版,4,21.6,2,医疗,23.44,保留当前套餐
16,28,12,免费版,3,22.2,7,电商,30.65,升级专业版
9,29,60,基础版,1,13.8,5,电商,31.65,保留当前套餐
6,16,10,免费版,1,15.5,5,医疗,24.07,保留当前套餐
10,21,65,免费版,4,22.2,7,制造,17.8,保留当前套餐
24,22,6,免费版,0,11.2,5,电商,16.37,升级专业版
23,23,16,基础版,0,15.3,5,教育,17.59,升级专业版
19,20,15,专业版,4,16.4,2,制造,13.38,保留当前套餐
14,27,18,基础版,2,24.4,6,咨询服务,5.86,保留当前套餐
20,13,12,免费版,1,20.1,2,电商,14.26,保留当前套餐
22,24,57,免费版,4,29.0,4,电商,15.92,升级专业版
18,23,18,免费版,1,15.7,5,制造,11.7,升级专业版
12,29,3,免费版,1,10.6,4,电商,5.66,保留当前套餐
8,37,5,基础版,4,17.8,4,医疗,20.56,保留当前套餐
7,18,14,基础版,4,24.8,3,教育,0.5,保留当前套餐
26,21,22,免费版,1,9.3,5,医疗,8.34,升级专业版
12,26,68,免费版,0,20.1,6,咨询服务,18.07,保留当前套餐
24,19,3,基础版,1,21.9,3,咨询服务,16.71,升级专业版
2,29,24,免费版,2,1.0,5,医疗,12.41,保留当前套餐
4,21,9,免费版,0,11.8,6,咨询服务,6.66,保留当前套餐
13,19,3,免费版,1,6.8,8,医疗,20.89,保留当前套餐
8,21,8,免费版,2,19.8,7,电商,18.69,保留当前套餐
28,13,29,免费版,3,10.8,3,医疗,7.61,升级专业版
14,17,6,基础版,2,25.6,5,电商,2.72,保留当前套餐
26,29,12,免费版,1,28.3,3,教育,18.69,升级专业版
24,33,4,基础版,3,13.6,3,医疗,21.81,升级专业版
27,26,7,专业版,2,22.1,8,制造,31.15,保留当前套餐
17,27,9,免费版,1,20.2,5,教育,38.44,升级专业版
16,35,4,免费版,1,21.0,6,教育,3.13,升级专业版
3,21,12,免费版,4,9.4,3,医疗,9.32,保留当前套餐
16,33,7,免费版,0,5.9,4,教育,0.51,保留当前套餐
30,16,9,专业版,1,29.7,5,咨询服务,25.02,升级专业版
13,20,6,免费版,0,10.4,4,医疗,21.02,保留当前套餐
3,18,6,免费版,3,14.8,5,制造,12.86,保留当前套餐
28,18,34,免费版,1,11.6,6,电商,21.9,升级专业版
30,17,22,基础版,1,26.7,4,电商,38.58,升级企业版
6,21,4,基础版,4,23.6,4,电商,31.75,保留当前套餐
19,21,11,免费版,1,20.4,5,电商,41.77,升级专业版
21,19,10,免费版,5,17.6,5,咨询服务,17.65,保留当前套餐
25,23,11,免费版,0,8.5,6,电商,52.27,升级企业版
11,24,5,基础版,4,17.8,5,咨询服务,7.01,保留当前套餐
18,22,5,基础版,2,19.6,4,制造,9.22,保留当前套餐
28,25,5,专业版,2,2.1,5,电商,24.95,保留当前套餐
10,26,11,专业版,3,6.9,5,教育,6.27,保留当前套餐
15,17,8,免费版,1,15.9,3,电商,35.15,升级专业版
25,22,5,免费版,3,8.9,7,医疗,29.92,升级专业版
24,19,8,基础版,1,18.3,2,制造,14.43,升级专业版
1,26,17,免费版,0,1.0,2,教育,30.45,保留当前套餐
13,14,9,基础版,4,17.1,7,教育,7.91,保留当前套餐
10,21,5,基础版,1,17.7,1,医疗,0.5,保留当前套餐
27,28,8,免费版,2,34.2,4,制造,1.42,升级专业版
11,28,11,基础版,2,11.7,5,电商,9.09,保留当前套餐
22,31,11,免费版,0,1.0,4,制造,36.22,升级专业版
28,10,12,专业版,3,15.5,7,电商,30.95,升级专业版
18,25,4,免费版,3,21.8,2,制造,0.5,保留当前套餐
11,20,8,专业版,3,24.9,2,医疗,27.8,保留当前套餐
8,20,4,免费版,3,16.0,6,咨询服务,26.62,保留当前套餐
10,25,9,基础版,2,1.0,7,制造,8.17,保留当前套餐
15,24,6,专业版,0,1.0,5,制造,45.66,保留当前套餐
27,22,2,免费版,2,9.2,4,制造,15.74,保留当前套餐
23,20,3,免费版,1,26.1,6,教育,15.52,升级专业版
20,23,5,免费版,0,17.2,5,电商,16.63,保留当前套餐
11,32,10,专业版,3,2.9,5,医疗,25.0,保留当前套餐
16,30,2,免费版,1,9.1,12,医疗,25.09,升级专业版
27,20,6,免费版,1,17.6,4,电商,14.9,升级专业版
6,25,6,免费版,4,22.8,1,电商,2.54,保留当前套餐
18,24,24,基础版,1,6.5,5,咨询服务,15.97,保留当前套餐
8,22,3,基础版,0,1.0,3,咨询服务,25.5,保留当前套餐
13,31,3,免费版,8,8.0,3,教育,34.32,保留当前套餐
7,26,1,专业版,3,19.1,4,教育,11.39,保留当前套餐
19,24,17,基础版,3,9.9,3,教育,21.34,升级专业版
6,33,33,免费版,1,20.8,4,医疗,41.29,升级专业版
17,19,12,免费版,2,19.3,2,教育,16.45,保留当前套餐
1,23,2,基础版,2,27.7,6,制造,17.6,保留当前套餐
2,17,6,免费版,3,22.2,6,教育,24.13,保留当前套餐
7,18,8,基础版,3,6.2,4,制造,20.36,保留当前套餐
24,23,6,免费版,0,7.6,5,电商,1.67,升级专业版
30,33,8,基础版,1,12.5,4,咨询服务,28.11,升级专业版
1,25,4,专业版,0,10.8,7,医疗,28.06,保留当前套餐
22,28,5,免费版,2,16.1,5,制造,11.06,升级专业版
4,23,8,基础版,2,5.8,2,制造,24.09,保留当前套餐
5,16,8,免费版,2,7.5,4,制造,16.56,保留当前套餐
26,22,16,基础版,2,8.1,6,制造,6.0,升级专业版
13,32,13,免费版,2,2.7,6,咨询服务,41.19,保留当前套餐
9,25,12,基础版,2,8.9,5,制造,17.01,保留当前套餐
19,25,33,基础版,2,16.6,2,制造,4.11,保留当前套餐
10,24,3,免费版,5,9.5,3,制造,15.43,保留当前套餐
25,26,29,免费版,2,1.0,6,医疗,28.73,升级专业版
8,24,21,免费版,1,16.8,5,制造,19.66,保留当前套餐
29,24,12,基础版,1,5.3,8,制造,19.21,升级专业版
27,22,8,免费版,2,5.4,4,咨询服务,21.66,升级专业版
12,15,5,专业版,4,6.6,7,电商,17.92,保留当前套餐
19,25,3,免费版,0,4.4,4,制造,8.04,升级专业版
2,24,3,免费版,1,24.7,6,咨询服务,18.84,保留当前套餐
21,27,4,免费版,0,20.6,5,咨询服务,7.93,升级专业版
20,24,4,免费版,2,13.7,2,教育,40.43,升级专业版
24,16,9,免费版,1,14.1,4,教育,34.71,升级专业版
9,27,3,免费版,3,15.7,4,咨询服务,29.92,保留当前套餐
28,27,22,专业版,3,11.7,3,医疗,28.94,升级专业版
11,26,16,基础版,0,27.9,8,制造,15.97,保留当前套餐
8,26,18,免费版,4,10.2,7,咨询服务,18.03,保留当前套餐
3,22,12,基础版,2,11.2,4,咨询服务,11.08,保留当前套餐
21,18,16,免费版,2,8.6,5,制造,16.98,保留当前套餐
27,25,9,基础版,4,22.0,5,制造,11.77,升级专业版
26,14,27,基础版,2,17.6,3,咨询服务,17.9,升级专业版
6,26,12,专业版,1,16.7,1,医疗,25.44,保留当前套餐
27,19,8,基础版,2,13.6,4,咨询服务,32.21,升级专业版
9,15,8,基础版,0,11.3,9,咨询服务,29.9,保留当前套餐
20,19,12,免费版,2,22.5,4,咨询服务,8.58,保留当前套餐
2,23,32,基础版,1,14.1,8,教育,21.37,保留当前套餐
12,23,52,专业版,1,32.4,2,教育,29.47,保留当前套餐
30,16,17,免费版,3,12.8,4,咨询服务,18.94,升级专业版
13,23,2,专业版,0,23.2,2,医疗,24.92,保留当前套餐
23,19,6,基础版,2,38.6,5,医疗,12.65,保留当前套餐
4,33,36,专业版,3,5.7,3,电商,38.82,保留当前套餐
23,23,18,免费版,4,11.7,4,制造,23.98,升级专业版
19,21,38,免费版,3,31.8,2,咨询服务,17.22,升级专业版
27,24,14,免费版,0,1.0,3,制造,13.59,升级专业版
13,21,15,免费版,1,13.6,8,电商,38.09,保留当前套餐
28,26,13,专业版,3,15.6,5,医疗,15.2,保留当前套餐
15,27,3,基础版,3,14.1,5,制造,8.17,保留当前套餐
8,29,2,免费版,1,15.2,6,电商,18.32,保留当前套餐
7,26,12,专业版,5,6.2,12,咨询服务,36.37,保留当前套餐
19,17,10,免费版,0,17.8,5,制造,22.87,升级专业版
19,21,8,专业版,0,18.3,1,电商,0.5,保留当前套餐
8,24,9,免费版,2,19.1,1,咨询服务,17.96,保留当前套餐
6,26,10,基础版,3,11.4,4,制造,21.04,保留当前套餐
4,24,9,免费版,2,5.4,5,制造,32.68,保留当前套餐
30,19,9,基础版,1,21.5,6,制造,19.33,升级专业版
8,23,39,免费版,1,3.0,3,医疗,6.76,保留当前套餐
17,29,5,基础版,2,32.2,4,电商,16.45,升级专业版
10,26,13,专业版,1,16.9,8,咨询服务,5.65,保留当前套餐
23,24,18,专业版,3,26.6,5,电商,22.99,保留当前套餐
4,25,8,基础版,2,25.8,3,咨询服务,19.13,保留当前套餐
8,26,20,免费版,1,18.5,8,医疗,9.2,保留当前套餐
3,22,13,基础版,2,24.6,4,制造,39.79,保留当前套餐
22,35,4,专业版,2,25.8,7,制造,24.17,升级专业版
28,22,2,基础版,2,18.4,4,咨询服务,0.5,升级专业版
12,20,5,专业版,3,28.8,7,咨询服务,2.47,保留当前套餐
28,23,32,免费版,0,7.3,6,电商,11.56,升级专业版
5,22,9,基础版,0,15.3,3,咨询服务,24.69,保留当前套餐
10,25,7,专业版,2,15.5,7,教育,21.58,保留当前套餐
4,20,12,专业版,0,12.7,7,电商,12.11,保留当前套餐
12,27,24,专业版,1,35.4,6,教育,8.21,保留当前套餐
5,19,12,基础版,3,19.4,2,医疗,12.17,保留当前套餐
6,21,16,基础版,0,12.2,7,咨询服务,32.45,保留当前套餐
17,23,15,免费版,7,16.6,2,电商,26.89,保留当前套餐
11,23,12,基础版,1,1.0,4,电商,12.77,保留当前套餐
26,18,13,免费版,4,18.2,4,教育,33.44,升级专业版
25,20,11,免费版,0,38.8,4,咨询服务,9.22,升级专业版
10,33,7,基础版,2,28.5,4,医疗,35.02,升级专业版
23,23,7,基础版,0,12.7,4,教育,28.16,升级专业版
6,24,34,免费版,4,13.2,6,电商,22.97,保留当前套餐
17,18,4,基础版,2,28.2,5,电商,21.89,升级专业版
6,17,68,免费版,1,23.2,7,制造,10.05,保留当前套餐
13,27,14,免费版,0,19.7,9,电商,23.82,保留当前套餐
17,20,4,基础版,2,30.0,3,电商,3.52,保留当前套餐
20,36,4,基础版,1,19.7,8,电商,14.15,升级专业版
26,29,62,基础版,0,17.2,3,咨询服务,0.5,升级专业版
22,23,9,专业版,1,35.8,4,制造,0.5,升级专业版
11,16,3,基础版,0,38.3,10,教育,25.61,保留当前套餐
20,15,3,基础版,2,13.3,6,制造,4.06,保留当前套餐
13,19,6,基础版,2,34.2,5,教育,8.33,保留当前套餐
6,23,1,基础版,4,12.7,5,制造,23.58,保留当前套餐
23,18,9,基础版,0,24.5,3,电商,26.99,升级专业版
5,21,7,专业版,5,23.3,2,咨询服务,22.41,保留当前套餐
10,16,18,免费版,1,29.6,2,医疗,17.21,保留当前套餐
8,18,7,基础版,3,9.9,2,教育,14.62,保留当前套餐
24,19,17,基础版,2,11.6,3,制造,1.77,保留当前套餐
21,30,6,基础版,2,8.1,5,教育,9.37,升级专业版
12,18,6,基础版,2,8.4,5,咨询服务,15.43,保留当前套餐
2,24,9,免费版,2,12.6,3,咨询服务,29.09,保留当前套餐
18,17,7,基础版,4,16.3,4,咨询服务,13.36,保留当前套餐
3,25,16,免费版,2,14.5,4,咨询服务,40.05,保留当前套餐
8,24,2,免费版,1,9.1,2,医疗,20.12,保留当前套餐
4,22,10,基础版,0,30.5,5,制造,34.59,保留当前套餐
6,31,6,免费版,1,16.8,8,教育,26.55,保留当前套餐
29,20,5,基础版,1,22.0,9,医疗,18.68,升级专业版
8,31,6,免费版,0,24.8,0,医疗,17.71,保留当前套餐
2,21,3,专业版,3,10.3,5,咨询服务,7.9,保留当前套餐
21,23,5,基础版,0,29.9,4,咨询服务,12.98,升级专业版
19,26,4,基础版,0,6.4,4,电商,12.25,保留当前套餐
12,19,13,专业版,1,12.7,5,咨询服务,33.64,保留当前套餐
5,24,3,基础版,0,12.9,2,电商,18.97,保留当前套餐
20,20,37,专业版,2,12.1,7,电商,20.88,保留当前套餐
24,25,6,专业版,1,20.6,6,医疗,12.05,保留当前套餐
7,17,11,基础版,1,8.2,2,制造,4.17,保留当前套餐
13,30,8,免费版,3,15.5,8,咨询服务,15.51,保留当前套餐
21,17,24,基础版,0,10.8,8,医疗,15.87,升级专业版
30,25,5,免费版,1,14.0,6,电商,17.04,升级专业版
16,32,16,免费版,0,35.8,4,咨询服务,14.45,升级专业版
26,28,15,免费版,1,36.5,1,咨询服务,30.28,升级专业版
19,30,5,基础版,5,17.2,5,电商,25.46,保留当前套餐
22,28,7,基础版,1,24.0,1,制造,18.52,升级专业版
1,24,5,基础版,2,26.7,5,教育,28.16,保留当前套餐
19,30,10,免费版,2,23.8,4,制造,26.4,升级专业版
28,30,5,基础版,2,14.6,4,制造,0.5,升级专业版
12,20,14,基础版,0,7.8,7,咨询服务,23.11,保留当前套餐
2,19,16,免费版,1,24.7,5,教育,35.67,保留当前套餐
16,28,3,免费版,0,28.4,7,医疗,7.5,升级专业版
11,18,10,基础版,2,26.0,2,教育,23.58,保留当前套餐
27,29,8,专业版,2,34.2,4,医疗,3.52,保留当前套餐
13,24,3,基础版,2,17.5,5,制造,17.43,保留当前套餐
13,23,20,基础版,2,10.5,3,咨询服务,29.51,保留当前套餐
27,32,9,基础版,3,16.5,5,咨询服务,9.38,升级专业版
21,23,6,基础版,1,18.0,4,制造,10.28,保留当前套餐
16,26,9,免费版,0,19.5,1,医疗,27.72,升级专业版
21,22,5,基础版,3,12.4,3,医疗,5.64,保留当前套餐
2,21,4,基础版,1,24.1,3,医疗,25.78,保留当前套餐
20,21,4,免费版,1,13.9,4,教育,38.15,升级专业版
17,18,2,基础版,4,34.4,6,制造,8.67,保留当前套餐
13,26,20,基础版,0,20.0,3,咨询服务,37.38,升级专业版
25,25,2,免费版,1,19.2,0,医疗,33.4,升级专业版
5,18,8,免费版,1,14.5,3,医疗,22.38,保留当前套餐
