claim_amount_k,claim_delay_days,policy_tenure_months,prior_claims,vehicle_age_years,premium_delay_days,accident_severity,repair_shop_type,police_report,night_accident,province,fraud_label
28.07,8,102,1,12,4,minor,outside,yes,no,north,fraud
27.21,8,39,1,14,2,moderate,outside,yes,no,south,legit
36.34,3,104,2,12,2,minor,network,yes,no,north,legit
21.5,4,3,1,6,2,major,network,yes,no,east,legit
29.22,6,65,1,2,3,minor,network,yes,yes,south,legit
16.47,8,65,1,8,4,moderate,outside,no,no,north,fraud
14.08,3,62,1,6,1,moderate,outside,no,no,south,fraud
29.81,6,9,2,11,3,minor,network,no,yes,east,legit
15.06,5,53,3,17,3,minor,network,yes,yes,west,fraud
13.93,12,52,1,17,2,moderate,network,yes,no,south,legit
19.59,5,74,0,3,3,minor,network,yes,no,north,legit
19.25,8,64,1,8,3,minor,network,no,no,south,legit
13.9,6,51,1,17,2,major,network,yes,yes,east,legit
25.87,5,77,3,10,7,minor,network,no,no,east,legit
20.34,5,40,1,3,4,moderate,network,yes,no,east,legit
23.57,8,89,0,14,3,minor,network,yes,no,east,legit
25.83,7,25,1,1,4,minor,outside,yes,no,south,fraud
27.59,7,24,2,12,4,minor,network,yes,no,east,fraud
16.33,6,100,3,6,1,moderate,outside,yes,no,north,legit
28.87,3,60,1,15,1,major,network,yes,no,east,fraud
38.02,8,85,1,9,3,moderate,outside,yes,no,south,fraud
21.77,5,32,0,7,3,minor,outside,no,yes,north,legit
15.61,4,89,1,15,2,minor,network,yes,yes,west,legit
0.84,5,98,0,2,5,minor,network,yes,no,south,legit
1.75,5,35,0,10,2,minor,network,yes,yes,east,legit
18.24,2,64,2,5,3,minor,network,yes,no,west,legit
10.09,8,78,0,17,0,minor,network,no,yes,west,fraud
22.39,11,12,1,11,6,minor,network,no,yes,north,fraud
27.37,4,104,1,7,4,moderate,network,no,no,north,legit
20.61,7,25,2,10,2,moderate,outside,yes,no,west,legit
7.23,10,47,1,4,3,moderate,outside,yes,no,east,legit
4.79,7,118,0,13,4,moderate,outside,yes,yes,east,legit
8.94,7,120,0,8,3,major,network,yes,no,west,legit
25.66,7,26,0,4,2,minor,network,yes,yes,west,legit
24.14,8,39,0,17,3,moderate,network,yes,no,east,legit
18.07,5,93,0,17,2,major,network,yes,no,north,legit
17.47,7,64,0,0,2,moderate,network,yes,no,west,legit
28.33,2,98,0,3,3,moderate,network,yes,no,east,legit
16.23,6,115,1,4,4,minor,outside,yes,no,north,legit
30.55,6,108,0,15,2,minor,network,yes,no,south,legit
20.43,12,45,0,11,2,major,network,yes,yes,south,legit
15.64,6,114,1,10,5,moderate,outside,yes,no,north,legit
14.6,6,79,1,5,3,moderate,network,no,no,south,legit
22.98,6,14,1,0,5,moderate,network,yes,yes,east,fraud
24.36,8,63,1,12,0,moderate,outside,yes,yes,west,legit
9.19,5,106,0,4,0,minor,network,yes,no,north,legit
30.67,6,109,1,0,2,minor,network,yes,yes,north,legit
1.2,7,5,0,11,3,minor,network,yes,no,north,legit
19.88,3,28,0,9,0,moderate,outside,yes,no,west,fraud
32.01,10,63,2,7,6,minor,outside,yes,no,north,fraud
3.02,3,49,0,4,2,moderate,outside,yes,no,north,legit
17.0,6,44,3,1,0,moderate,outside,yes,no,north,legit
18.01,3,60,0,10,9,minor,network,yes,no,west,legit
0.8,8,73,1,17,5,minor,network,yes,no,east,legit
20.63,8,34,1,6,3,moderate,network,yes,no,east,legit
18.71,4,7,1,6,3,moderate,network,no,yes,west,fraud
9.01,7,48,3,7,5,moderate,network,no,yes,north,legit
24.81,5,25,0,11,2,minor,network,yes,no,north,legit
0.8,3,111,0,4,6,minor,network,no,no,north,legit
0.8,7,75,0,6,5,minor,network,yes,no,west,legit
27.77,9,103,1,13,3,minor,outside,yes,yes,west,legit
21.44,6,71,1,10,2,moderate,network,yes,no,north,legit
8.98,6,85,0,14,3,minor,network,yes,no,north,legit
10.64,5,40,1,1,7,minor,outside,yes,yes,west,legit
1.34,6,54,0,6,4,moderate,outside,yes,no,north,fraud
7.18,6,25,1,14,5,moderate,network,yes,no,west,legit
5.63,4,86,1,9,3,moderate,network,yes,no,north,legit
23.54,6,52,0,9,4,moderate,network,yes,no,west,legit
13.59,6,86,0,17,3,minor,network,yes,no,west,fraud
11.81,3,89,0,9,4,moderate,outside,no,no,south,legit
23.94,7,2,0,14,1,minor,outside,yes,no,east,legit
20.95,4,10,0,2,1,minor,network,no,yes,east,fraud
27.82,8,37,2,14,5,moderate,network,no,no,west,fraud
3.46,12,34,1,7,2,minor,network,yes,no,east,fraud
29.66,7,7,1,17,1,moderate,network,yes,no,north,fraud
21.24,5,39,3,14,4,minor,network,yes,no,west,fraud
13.67,9,75,0,7,6,moderate,network,no,no,south,legit
25.8,7,93,1,10,2,minor,outside,no,no,west,legit
34.7,9,62,2,10,5,minor,network,yes,yes,west,legit
16.54,7,102,2,0,4,moderate,outside,yes,yes,west,legit
16.35,9,7,1,2,3,minor,outside,yes,no,west,fraud
14.19,2,56,0,5,6,minor,network,no,no,east,legit
0.8,6,20,0,16,3,moderate,network,yes,no,north,fraud
29.83,7,20,0,15,3,major,outside,yes,no,west,legit
23.3,7,13,0,7,7,minor,network,no,no,east,fraud
22.3,7,45,1,14,2,major,network,yes,no,west,legit
23.76,6,10,3,1,4,moderate,network,yes,no,west,legit
13.36,5,52,1,12,2,major,network,yes,no,south,fraud
38.0,8,12,1,3,5,moderate,outside,yes,yes,west,fraud
19.17,8,69,0,16,4,moderate,outside,yes,no,south,legit
14.94,3,29,1,17,3,moderate,outside,yes,yes,east,fraud
7.21,6,112,1,8,5,minor,outside,yes,yes,south,fraud
41.79,4,54,0,14,2,minor,outside,no,yes,east,fraud
25.54,4,8,0,12,6,minor,outside,yes,no,west,legit
26.0,4,8,1,4,2,moderate,outside,yes,no,south,legit
21.58,7,84,1,15,4,moderate,network,yes,yes,west,legit
6.09,7,71,0,4,8,minor,outside,no,yes,west,fraud
25.6,3,112,0,3,4,moderate,network,yes,no,south,legit
14.47,7,96,0,6,2,moderate,outside,yes,no,north,legit
12.22,8,41,0,0,3,minor,network,yes,no,west,legit
30.57,5,101,0,0,3,moderate,network,no,no,west,legit
16.61,5,118,0,9,1,minor,network,no,no,south,legit
12.75,9,101,0,6,5,minor,outside,yes,yes,west,legit
2.25,5,58,0,15,1,moderate,outside,yes,yes,east,legit
5.06,8,82,0,12,2,minor,outside,no,no,east,legit
18.5,10,61,0,0,2,major,outside,yes,yes,north,fraud
20.95,4,47,0,10,8,minor,outside,yes,yes,north,fraud
22.49,5,90,2,11,5,minor,outside,no,no,east,fraud
12.01,4,54,2,9,2,moderate,network,yes,no,east,legit
13.93,8,19,1,5,4,moderate,network,no,no,north,legit
23.77,7,35,0,10,3,minor,outside,yes,no,west,legit
8.16,4,96,2,5,3,moderate,network,yes,no,east,legit
1.8,3,11,2,11,2,moderate,network,yes,no,north,legit
19.04,8,18,1,14,4,minor,network,yes,no,east,legit
21.48,5,5,2,12,2,minor,outside,yes,no,south,legit
5.07,7,90,1,13,4,minor,network,no,no,north,legit
35.13,7,49,0,9,6,minor,network,yes,no,east,fraud
13.71,10,95,0,14,1,moderate,outside,no,yes,west,legit
12.08,9,70,0,8,2,moderate,network,no,no,west,legit
30.3,3,98,0,17,3,moderate,network,yes,yes,south,legit
13.15,11,20,0,14,4,moderate,network,no,no,west,fraud
12.27,6,3,3,0,0,minor,network,yes,no,north,legit
6.81,9,6,0,16,2,major,network,yes,no,west,fraud
23.87,8,78,1,12,3,moderate,outside,yes,no,north,fraud
11.95,5,2,0,3,4,moderate,outside,yes,yes,north,legit
26.69,7,66,0,10,1,moderate,network,no,no,north,legit
14.57,1,54,1,0,3,minor,network,no,yes,east,fraud
10.52,14,41,2,11,1,major,network,no,no,north,fraud
30.35,7,60,0,15,5,moderate,network,yes,yes,east,legit
26.63,6,66,0,12,2,major,outside,yes,no,east,legit
12.13,5,45,0,12,3,minor,network,no,yes,north,fraud
13.86,7,15,0,9,4,minor,network,yes,no,north,legit
24.83,11,100,0,1,2,major,network,yes,no,south,legit
10.99,5,52,0,4,3,moderate,network,no,yes,south,legit
11.65,9,15,0,0,1,moderate,network,yes,no,east,legit
7.64,9,34,0,8,1,moderate,network,yes,no,east,legit
19.19,4,72,1,4,2,minor,network,no,no,north,fraud
18.99,8,9,0,7,3,moderate,network,yes,no,south,legit
28.71,3,68,1,17,5,minor,network,no,no,east,fraud
13.49,7,38,0,13,3,moderate,network,yes,no,south,legit
7.98,7,44,0,0,7,moderate,network,yes,no,west,legit
16.0,4,3,1,2,3,minor,network,yes,no,east,fraud
22.74,8,54,2,11,3,minor,network,yes,no,east,legit
4.4,9,38,3,4,3,moderate,network,yes,no,west,legit
26.02,4,104,1,11,4,moderate,outside,no,no,east,legit
20.67,3,36,0,7,1,minor,network,yes,no,east,legit
20.28,5,58,1,10,4,moderate,outside,yes,no,east,legit
22.46,9,13,0,8,2,moderate,network,no,yes,south,legit
10.76,9,59,0,8,6,moderate,outside,yes,no,east,legit
10.81,7,48,1,8,4,minor,network,yes,no,south,legit
32.49,10,13,1,10,0,major,network,yes,yes,north,fraud
14.97,4,58,2,16,4,minor,network,no,no,north,legit
29.24,4,92,1,3,3,major,outside,yes,yes,west,legit
16.29,8,5,3,2,1,minor,outside,yes,yes,east,legit
4.22,5,100,1,13,1,major,network,yes,no,south,legit
14.76,12,60,1,0,2,minor,network,no,no,south,fraud
16.48,10,98,1,4,5,moderate,outside,yes,no,north,legit
14.5,8,22,1,11,4,moderate,outside,yes,no,west,legit
24.56,9,13,1,8,3,minor,outside,yes,yes,west,fraud
19.34,6,39,1,4,1,minor,outside,yes,yes,north,legit
22.88,8,85,1,0,3,minor,network,yes,no,east,legit
25.03,6,15,3,15,6,moderate,network,yes,no,east,legit
19.64,9,25,1,16,2,major,network,yes,no,west,legit
28.54,5,109,1,0,5,moderate,network,yes,no,west,legit
20.52,5,119,0,1,3,moderate,network,yes,no,east,legit
17.14,5,80,0,14,6,moderate,network,yes,no,north,legit
10.0,3,15,0,3,2,major,network,yes,no,east,fraud
31.11,6,91,3,11,4,minor,outside,yes,yes,east,legit
26.97,3,90,0,11,1,minor,network,yes,no,west,legit
16.27,5,98,1,17,4,moderate,outside,yes,yes,south,legit
18.8,8,6,1,11,6,minor,network,no,no,south,legit
12.72,6,116,1,11,7,major,network,yes,no,west,legit
12.58,7,46,0,4,1,major,network,yes,yes,south,legit
8.98,6,98,1,15,4,moderate,network,no,no,west,legit
11.23,5,2,1,15,1,moderate,network,yes,no,west,legit
14.45,9,69,1,13,2,minor,network,yes,no,east,fraud
22.35,4,69,0,16,3,moderate,outside,no,yes,north,fraud
6.79,8,91,0,0,5,moderate,outside,yes,no,east,legit
16.8,6,36,0,17,2,moderate,network,yes,no,east,legit
12.63,7,81,0,16,3,minor,network,no,no,north,legit
14.77,5,57,2,17,4,major,outside,yes,yes,east,fraud
33.11,4,52,0,16,1,moderate,network,yes,yes,east,legit
8.46,6,70,1,8,2,minor,outside,yes,no,north,fraud
19.84,11,120,0,1,2,minor,outside,yes,no,south,legit
24.73,6,59,1,7,2,minor,network,yes,yes,east,legit
10.63,4,7,0,14,4,minor,network,no,no,west,fraud
17.36,5,51,0,17,2,minor,network,yes,no,west,legit
23.62,4,77,1,3,4,minor,network,yes,no,north,legit
22.89,6,22,2,16,3,moderate,network,yes,yes,north,fraud
9.31,3,12,1,12,4,major,network,no,no,south,legit
23.11,4,115,1,14,3,minor,network,yes,no,north,legit
6.21,6,20,0,11,6,major,network,yes,no,west,legit
11.8,8,26,1,6,2,minor,network,yes,no,west,fraud
10.75,4,34,1,0,4,minor,network,yes,no,east,legit
11.76,4,54,1,9,4,major,network,yes,no,south,legit
3.29,3,49,3,5,5,moderate,network,no,no,south,legit
20.0,8,73,0,9,2,moderate,network,yes,no,south,legit
42.44,5,92,0,16,3,minor,network,yes,no,east,legit
24.08,5,75,0,8,1,moderate,network,yes,yes,east,legit
26.61,9,39,1,2,9,major,outside,yes,no,north,fraud
24.97,6,100,1,6,4,minor,network,yes,no,west,legit
18.91,4,61,1,17,2,major,network,no,yes,east,legit
28.2,6,39,0,17,5,moderate,network,no,yes,west,legit
24.34,11,100,0,12,1,minor,outside,yes,yes,north,legit
22.3,3,72,2,12,1,minor,network,no,no,east,legit
1.95,4,14,0,0,1,major,network,no,no,west,legit
8.14,5,35,0,15,2,moderate,network,yes,no,south,legit
0.8,9,48,0,0,1,minor,network,no,yes,east,legit
2.87,7,21,1,4,6,moderate,network,no,yes,west,fraud
12.93,11,61,0,2,4,moderate,network,no,no,south,legit
11.72,9,58,0,0,3,minor,outside,yes,no,north,legit
4.7,4,34,1,0,3,minor,network,yes,no,north,legit
25.01,7,109,1,14,6,minor,network,yes,no,east,fraud
21.08,8,25,1,9,3,minor,network,yes,no,east,fraud
12.13,8,19,1,13,4,moderate,outside,yes,no,north,fraud
11.1,6,41,1,8,0,moderate,network,yes,no,north,legit
21.07,7,69,1,2,2,minor,outside,yes,no,east,legit
6.43,4,35,0,13,2,minor,network,yes,no,north,legit
22.24,8,83,3,4,1,moderate,network,yes,yes,west,legit
19.03,4,87,0,14,5,major,outside,yes,no,west,legit
5.58,11,110,0,0,3,major,network,yes,no,north,legit
20.18,10,6,0,16,2,moderate,outside,yes,no,north,legit
26.92,9,79,2,10,5,minor,network,yes,no,north,legit
26.86,5,48,2,0,6,moderate,network,yes,no,south,fraud
4.41,8,110,1,6,2,minor,network,yes,no,north,legit
19.14,9,1,0,15,1,minor,network,yes,no,north,legit
22.05,3,38,0,13,1,moderate,network,yes,no,south,legit
23.01,5,119,1,5,4,minor,outside,yes,no,east,legit
8.67,7,68,0,15,2,moderate,network,yes,yes,east,legit
6.16,6,2,1,16,3,minor,outside,yes,no,west,legit
18.09,11,33,0,4,5,moderate,network,yes,no,west,legit
18.37,9,66,2,13,3,minor,network,yes,no,south,legit
16.71,4,4,0,15,6,moderate,network,yes,yes,west,legit
12.49,7,35,0,15,1,minor,network,no,no,east,legit
6.36,1,79,0,10,2,minor,network,yes,no,west,legit
23.2,7,75,0,14,1,moderate,network,no,no,west,legit
7.57,7,57,0,11,1,minor,network,no,yes,north,legit
7.83,7,48,1,11,1,major,network,no,yes,west,legit
6.49,4,61,1,11,1,moderate,outside,yes,yes,east,legit
14.62,4,1,3,3,7,moderate,network,yes,no,east,legit
29.21,7,117,0,14,2,major,network,yes,no,north,legit
25.79,5,19,0,12,2,minor,outside,yes,yes,north,legit
13.63,6,80,1,11,6,minor,network,yes,no,east,legit
13.18,9,63,1,11,2,minor,network,yes,yes,south,legit
27.92,7,16,1,17,5,minor,network,yes,no,south,legit
8.33,7,115,1,17,5,minor,network,yes,yes,south,legit
24.72,4,102,0,13,6,moderate,outside,yes,no,west,legit
19.34,9,55,2,3,4,moderate,network,yes,no,west,legit
17.43,5,52,2,1,3,minor,network,yes,yes,south,legit
23.62,10,21,0,8,2,minor,network,yes,no,south,fraud
5.45,7,66,0,16,2,moderate,outside,yes,yes,west,legit
13.59,7,91,0,7,5,minor,network,yes,no,west,legit
0.8,3,39,0,8,1,minor,network,yes,no,south,legit
30.02,10,107,1,6,3,minor,network,yes,no,north,legit
20.16,7,22,0,3,4,moderate,network,yes,no,east,legit
12.33,5,89,3,15,4,moderate,outside,yes,no,west,fraud
32.29,4,114,0,6,1,minor,outside,yes,no,west,legit
19.88,3,6,2,4,4,minor,network,yes,no,north,fraud
25.01,5,103,0,9,4,minor,outside,no,yes,west,legit
2.03,4,51,1,14,1,minor,network,yes,no,south,legit
13.16,5,16,0,8,3,moderate,network,yes,no,west,legit
10.83,7,94,0,7,4,minor,network,no,yes,east,legit
28.61,10,119,1,7,2,minor,network,yes,no,west,fraud
25.03,12,46,0,3,3,moderate,outside,yes,yes,south,legit
22.03,9,104,1,1,5,minor,network,yes,yes,west,legit
9.83,7,114,0,11,7,moderate,network,yes,no,west,fraud
29.45,6,79,1,4,3,moderate,network,yes,no,west,legit
3.89,8,64,0,11,2,moderate,network,yes,no,east,legit
10.09,3,28,3,6,4,minor,outside,yes,no,west,legit
15.02,6,35,1,12,6,minor,network,yes,no,south,legit
15.21,5,44,2,5,5,minor,outside,no,yes,east,fraud
26.48,11,80,0,11,1,major,outside,yes,no,north,fraud
18.08,8,37,0,2,3,moderate,outside,yes,yes,north,legit
29.57,6,92,0,9,1,minor,network,no,no,west,legit
4.94,7,3,1,9,3,minor,network,yes,yes,north,legit
16.42,7,53,1,1,4,moderate,network,no,no,east,legit
28.34,14,36,3,15,2,moderate,network,yes,no,east,fraud
8.39,7,93,2,17,4,moderate,network,no,no,west,fraud
13.24,4,10,0,0,1,minor,outside,yes,no,north,fraud
11.29,3,19,0,9,3,minor,outside,yes,no,east,legit
28.52,6,84,0,10,2,moderate,network,yes,yes,east,legit
24.56,4,73,0,16,2,minor,outside,yes,no,north,fraud
3.57,7,67,1,5,4,moderate,network,yes,no,west,legit
10.91,12,102,1,7,4,minor,network,no,no,west,legit
25.64,12,118,1,12,3,minor,outside,yes,no,east,legit
24.08,3,11,0,14,5,moderate,network,yes,no,west,legit
43.69,6,52,2,10,2,moderate,network,yes,no,south,legit
23.97,5,99,0,3,0,minor,network,yes,no,east,legit
16.03,8,47,1,6,3,minor,network,yes,no,west,legit
23.43,9,85,1,12,4,minor,network,no,yes,east,fraud
24.87,6,102,0,17,4,minor,network,yes,no,west,legit
10.62,7,26,2,9,2,moderate,network,yes,no,north,legit
14.8,7,73,0,6,1,minor,network,yes,no,east,legit
11.63,1,86,0,15,2,moderate,network,yes,no,south,legit
9.84,3,113,2,13,4,minor,network,yes,no,north,legit
29.38,5,54,0,1,1,moderate,outside,no,yes,west,fraud
6.83,6,39,0,13,4,moderate,outside,yes,yes,east,legit
16.45,5,71,0,4,3,moderate,network,no,no,west,fraud
17.39,2,91,1,3,5,moderate,network,no,no,north,legit
4.96,4,51,0,7,3,major,outside,no,no,north,legit
18.84,10,30,2,2,4,minor,network,yes,no,west,fraud
19.91,7,101,0,16,3,minor,outside,yes,no,west,fraud
18.97,4,24,1,6,2,minor,network,yes,no,north,legit
15.89,9,25,0,2,2,minor,network,yes,yes,north,legit
28.51,12,81,1,4,2,major,network,yes,yes,north,fraud
20.67,7,109,0,0,4,moderate,network,yes,no,east,legit
41.85,5,79,1,12,7,moderate,network,yes,no,west,fraud
34.9,9,68,1,3,5,minor,outside,yes,no,north,fraud
29.57,8,11,2,4,1,minor,network,no,no,north,legit
12.63,9,29,0,9,4,minor,network,yes,no,east,legit
9.87,5,105,4,7,2,moderate,network,yes,no,south,fraud
24.25,9,32,0,6,1,moderate,network,no,no,south,legit
32.37,8,13,2,1,5,minor,network,no,no,west,legit
18.44,5,67,1,12,6,moderate,network,yes,no,north,legit
15.94,7,113,0,10,4,minor,network,yes,no,south,legit
16.15,6,41,0,11,4,minor,network,yes,yes,north,legit
15.67,6,20,1,13,2,moderate,network,yes,yes,east,legit
16.37,6,96,0,17,3,minor,network,no,no,west,legit
8.32,4,77,1,6,0,moderate,outside,yes,no,west,legit
17.21,6,50,1,9,3,moderate,outside,yes,yes,south,fraud
14.28,10,86,1,0,3,minor,outside,yes,no,north,legit
13.81,2,94,0,4,2,moderate,network,yes,yes,south,legit
12.07,5,94,0,2,6,minor,outside,no,no,east,legit
29.32,8,114,1,12,5,moderate,network,yes,no,north,fraud
28.4,4,101,1,1,2,moderate,outside,yes,no,east,fraud
8.79,6,54,1,16,4,moderate,network,yes,no,south,legit
15.25,8,61,1,16,4,moderate,network,yes,no,east,legit
17.23,9,97,4,3,2,moderate,network,yes,yes,north,legit
27.09,7,34,1,4,1,major,outside,yes,no,east,legit
18.47,4,20,0,12,8,moderate,outside,yes,no,north,legit
25.81,6,111,2,16,3,major,network,yes,yes,west,legit
29.09,10,2,1,12,2,moderate,network,yes,yes,north,legit
15.19,8,84,0,14,2,major,outside,yes,yes,east,legit
11.76,7,19,2,3,2,minor,outside,no,no,north,legit
20.46,5,70,0,11,6,minor,network,yes,yes,south,legit
15.4,8,44,1,5,1,minor,outside,yes,no,south,fraud
17.18,6,84,1,8,4,minor,network,yes,no,east,legit
30.48,3,30,0,12,4,minor,network,yes,no,north,legit
13.58,7,80,0,17,3,major,network,no,no,east,legit
24.85,6,72,0,10,3,minor,outside,yes,yes,east,legit
19.57,6,68,1,8,4,major,network,yes,yes,west,legit
24.23,3,45,0,15,1,minor,network,yes,yes,west,legit
8.4,12,112,0,1,4,minor,outside,yes,no,west,legit
18.32,6,114,0,1,3,minor,outside,no,yes,north,legit
0.8,9,47,1,11,4,moderate,outside,no,yes,north,fraud
21.65,5,2,1,13,3,minor,network,yes,yes,east,fraud
17.88,5,35,0,13,1,minor,network,yes,no,east,fraud
14.0,3,12,1,2,2,moderate,network,yes,no,west,legit
30.58,9,71,0,2,2,minor,outside,yes,no,south,fraud
