session_duration_min,pages_viewed,past_orders,discount_rate,loyalty_score,traffic_source,membership_tier,device_type,cart_items,order_value
11.53,8,6,0.098,53.8,email,gold,mobile,5,156.6
8.62,6,3,0.108,68.1,organic,none,mobile,5,124.98
15.77,10,5,0.082,63.7,ads,none,desktop,5,162.72
9.72,12,4,0.073,48.2,social,gold,mobile,5,147.78
17.54,10,5,0.161,82.6,organic,none,desktop,4,138.35
17.78,10,5,0.05,33.7,organic,none,desktop,3,116.37
17.75,6,5,0.109,51.9,organic,silver,mobile,3,115.31
19.67,13,2,0.273,34.2,ads,none,mobile,2,165.96
7.01,10,1,0.026,46.3,social,silver,desktop,5,123.56
5.01,9,5,0.004,49.9,email,silver,mobile,5,121.93
10.05,7,5,0.084,86.0,ads,gold,desktop,6,176.03
1.0,11,5,0.093,85.5,email,none,desktop,6,132.16
16.92,16,4,0.072,59.2,ads,silver,mobile,5,148.91
16.27,10,7,0.037,76.3,ads,none,desktop,5,153.81
7.53,6,4,0.108,66.6,social,gold,mobile,8,170.37
4.15,14,4,0.12,76.5,organic,none,mobile,3,146.9
18.79,7,7,0.242,61.1,organic,silver,desktop,3,152.32
13.36,12,4,0.104,64.0,email,none,mobile,7,173.3
5.83,5,3,0.061,49.2,email,none,desktop,5,98.77
5.29,9,2,0.137,50.7,email,silver,mobile,2,126.25
6.71,14,3,0.06,39.6,ads,gold,desktop,4,148.67
5.35,12,2,0.148,51.8,organic,silver,desktop,5,140.44
13.57,7,7,0.107,49.9,email,gold,desktop,3,166.54
17.37,7,3,0.167,38.8,organic,none,desktop,5,134.33
4.3,16,3,0.033,46.1,social,none,mobile,4,130.64
8.22,10,6,0.096,100.0,social,none,mobile,4,145.96
17.73,6,5,0.119,60.2,social,silver,mobile,3,133.37
15.81,6,5,0.136,36.4,organic,none,tablet,5,130.92
15.07,8,7,0.112,66.6,ads,silver,mobile,6,155.41
17.01,7,3,0.0,64.1,social,silver,mobile,4,145.52
2.02,12,6,0.088,67.4,ads,gold,desktop,1,136.49
14.09,13,6,0.079,57.7,ads,silver,mobile,4,172.44
16.17,8,2,0.129,77.8,ads,none,mobile,4,155.26
4.1,8,6,0.071,82.1,email,none,mobile,4,128.16
17.38,12,3,0.125,42.0,email,silver,desktop,5,164.62
19.53,9,5,0.102,60.6,organic,none,mobile,5,145.95
5.08,10,1,0.092,65.9,ads,none,tablet,4,116.17
6.45,15,10,0.03,37.6,ads,none,mobile,6,161.25
13.6,11,4,0.172,29.0,organic,none,mobile,5,148.21
20.05,8,4,0.132,60.9,ads,silver,mobile,4,138.92
7.35,4,2,0.134,57.4,organic,none,desktop,5,131.91
4.25,9,4,0.079,69.1,ads,none,mobile,2,116.4
15.38,7,4,0.172,61.1,ads,gold,mobile,1,127.6
1.39,9,5,0.007,72.4,email,none,desktop,3,117.94
11.81,8,8,0.095,70.3,ads,none,mobile,1,115.64
9.6,11,8,0.111,50.2,email,silver,mobile,6,167.75
4.2,11,5,0.125,49.0,organic,gold,mobile,9,185.43
6.7,10,4,0.062,62.8,email,gold,mobile,5,161.89
11.51,17,6,0.105,69.0,organic,gold,mobile,5,155.74
6.07,9,7,0.114,72.9,social,silver,desktop,3,132.14
13.12,13,4,0.103,47.0,organic,none,mobile,4,135.64
10.87,11,3,0.142,82.2,ads,silver,mobile,5,179.98
14.38,11,4,0.064,71.7,social,silver,mobile,3,125.61
11.64,12,3,0.068,76.2,social,gold,desktop,1,138.15
18.2,15,5,0.074,73.4,ads,none,mobile,2,174.53
5.18,14,5,0.06,45.5,email,gold,tablet,4,136.67
11.28,10,3,0.162,59.3,email,none,desktop,6,141.0
21.98,9,6,0.003,47.2,organic,gold,tablet,4,145.74
17.89,10,8,0.14,84.2,organic,none,mobile,4,159.62
2.26,10,6,0.053,73.5,email,none,mobile,6,144.65
18.1,8,3,0.121,85.8,ads,silver,mobile,6,153.5
9.89,6,0,0.108,59.5,organic,silver,mobile,2,107.27
11.57,10,6,0.138,74.3,social,gold,mobile,8,173.41
11.97,7,7,0.042,73.8,organic,silver,tablet,6,182.08
9.13,8,3,0.039,66.7,email,silver,mobile,5,125.6
21.2,10,3,0.103,58.7,organic,none,mobile,6,161.38
5.52,5,1,0.217,45.8,ads,silver,tablet,2,105.41
18.32,7,4,0.126,55.4,email,gold,mobile,4,177.42
7.73,18,3,0.087,61.2,ads,silver,mobile,1,126.65
17.54,10,9,0.024,63.6,ads,silver,tablet,6,152.7
18.13,10,11,0.189,68.9,email,none,mobile,3,142.21
21.92,9,4,0.17,80.5,organic,silver,desktop,5,186.02
7.72,11,4,0.2,60.5,social,none,mobile,8,146.97
10.9,6,6,0.0,49.9,organic,silver,desktop,3,119.41
1.03,13,7,0.075,83.5,organic,none,desktop,3,147.63
16.37,8,5,0.108,50.9,ads,silver,desktop,3,134.08
1.0,11,4,0.102,56.8,organic,silver,mobile,5,111.63
19.08,7,3,0.107,19.8,email,silver,desktop,3,119.82
8.21,9,6,0.093,64.0,organic,none,mobile,4,138.76
1.0,9,3,0.156,66.6,ads,none,mobile,3,103.68
9.9,10,6,0.144,48.2,ads,none,mobile,4,133.11
9.52,6,4,0.08,59.9,social,silver,mobile,8,136.5
2.98,4,2,0.065,56.2,email,none,mobile,3,83.1
7.4,9,5,0.069,57.6,organic,gold,mobile,6,158.34
10.55,10,6,0.079,41.1,social,none,desktop,3,121.04
8.52,10,9,0.177,90.4,email,none,mobile,3,145.1
10.88,14,5,0.069,57.3,email,silver,mobile,3,163.95
11.52,12,6,0.0,64.2,social,none,desktop,3,142.96
12.55,14,2,0.082,45.0,email,silver,desktop,4,155.43
13.36,9,2,0.053,47.1,ads,gold,mobile,5,172.5
22.72,6,5,0.077,79.0,organic,gold,mobile,1,138.6
7.05,11,7,0.198,57.4,email,silver,mobile,1,145.26
15.54,6,6,0.067,78.3,social,silver,tablet,3,132.92
15.83,9,2,0.068,84.9,organic,silver,mobile,4,156.87
9.08,6,6,0.12,34.9,organic,none,mobile,3,80.88
1.58,4,3,0.064,48.4,ads,gold,mobile,3,105.21
5.62,10,4,0.102,26.4,email,none,mobile,7,115.18
9.03,7,5,0.125,23.0,email,none,desktop,4,130.23
1.0,11,6,0.07,70.7,email,none,mobile,3,133.83
7.05,12,4,0.109,54.6,organic,silver,desktop,6,143.2
12.02,13,2,0.179,53.0,organic,none,mobile,6,134.88
8.17,6,5,0.145,41.7,email,none,mobile,3,112.02
10.69,9,2,0.036,55.9,organic,silver,desktop,3,117.73
8.7,10,3,0.124,20.1,email,none,mobile,5,103.64
10.15,11,3,0.013,68.7,ads,silver,desktop,5,134.48
1.0,9,5,0.096,74.5,email,gold,desktop,4,134.19
7.77,6,4,0.169,64.8,social,none,desktop,11,147.23
24.87,7,2,0.067,64.1,ads,silver,mobile,7,173.34
9.55,13,0,0.142,47.5,email,silver,desktop,5,133.96
16.33,10,5,0.043,79.6,email,gold,mobile,2,147.64
15.36,8,5,0.013,61.1,organic,none,desktop,4,127.73
11.03,10,4,0.046,87.2,email,silver,tablet,3,147.42
9.19,17,6,0.0,28.3,organic,gold,mobile,4,153.11
16.4,10,4,0.125,44.2,ads,none,desktop,2,132.88
8.09,11,7,0.092,84.5,organic,none,mobile,2,139.11
3.24,8,4,0.151,59.5,ads,none,mobile,6,101.73
10.03,9,7,0.18,20.4,organic,none,desktop,6,141.92
9.97,9,4,0.158,82.7,ads,none,tablet,7,129.77
16.72,9,5,0.088,61.7,organic,none,mobile,5,163.37
13.73,10,2,0.085,81.1,social,none,mobile,3,123.55
18.05,7,2,0.128,20.3,organic,none,mobile,5,111.1
14.9,4,6,0.026,37.0,organic,gold,mobile,4,122.5
5.68,8,5,0.042,47.1,email,silver,desktop,9,138.71
21.39,16,5,0.13,74.1,organic,silver,mobile,4,188.54
8.9,8,5,0.151,91.8,ads,silver,mobile,3,144.72
2.93,4,4,0.151,53.8,social,none,desktop,8,117.06
10.13,7,4,0.053,66.9,organic,silver,mobile,4,131.96
8.73,10,5,0.116,66.3,social,silver,mobile,3,110.42
18.54,10,2,0.102,55.8,ads,none,mobile,4,131.62
6.94,14,7,0.129,50.2,email,none,desktop,5,148.6
21.4,12,6,0.133,24.2,ads,silver,desktop,3,159.24
11.24,12,1,0.084,46.2,email,silver,desktop,6,141.21
5.5,8,3,0.009,39.5,ads,none,desktop,5,99.44
14.83,12,7,0.166,74.6,email,gold,mobile,9,208.83
10.62,9,5,0.0,54.0,ads,gold,mobile,4,139.59
8.77,9,8,0.071,56.0,email,none,mobile,4,121.18
17.18,9,7,0.095,72.3,ads,none,tablet,5,152.09
7.53,11,6,0.0,43.6,ads,silver,desktop,4,109.97
11.04,12,5,0.139,47.3,email,none,mobile,6,147.73
13.62,10,2,0.048,53.8,organic,silver,desktop,5,139.77
11.63,13,0,0.116,60.4,organic,none,desktop,5,143.14
12.82,9,1,0.061,58.7,email,none,tablet,4,133.45
11.04,8,8,0.131,100.0,social,silver,mobile,6,179.78
14.74,11,6,0.122,52.7,social,gold,mobile,9,197.98
5.21,14,9,0.155,28.6,social,silver,mobile,4,129.44
20.73,16,2,0.09,35.5,email,silver,mobile,7,168.99
12.91,10,4,0.026,58.5,organic,none,mobile,7,163.72
15.65,8,8,0.006,52.0,organic,none,desktop,4,114.79
6.19,13,6,0.144,53.1,ads,none,mobile,7,150.03
7.16,10,3,0.065,62.4,email,silver,tablet,3,127.73
1.41,9,2,0.101,79.5,ads,none,mobile,8,128.83
1.66,8,4,0.143,53.6,ads,gold,mobile,6,158.89
12.66,11,7,0.115,73.4,email,gold,desktop,2,187.28
18.46,12,4,0.079,40.7,social,gold,tablet,2,128.43
7.01,17,4,0.041,70.7,ads,gold,desktop,4,181.17
11.85,7,7,0.171,41.2,social,none,mobile,6,123.06
5.1,6,7,0.046,68.2,email,silver,desktop,5,140.38
18.56,14,6,0.056,66.0,ads,none,mobile,9,157.21
18.64,5,6,0.053,75.3,social,gold,desktop,2,138.69
5.49,12,1,0.131,53.1,ads,none,desktop,7,125.47
10.73,8,2,0.064,24.2,organic,gold,mobile,7,132.73
14.72,13,6,0.064,64.6,organic,silver,desktop,3,156.61
11.91,11,4,0.1,71.2,email,gold,desktop,4,152.11
6.63,9,4,0.131,64.1,social,silver,mobile,9,162.98
8.73,10,6,0.041,81.1,organic,silver,mobile,3,138.8
8.48,13,2,0.065,50.2,organic,none,mobile,4,135.0
12.61,11,5,0.069,53.6,email,gold,mobile,5,154.71
16.41,12,6,0.085,47.5,ads,gold,desktop,4,156.08
4.1,13,5,0.104,75.8,email,none,desktop,1,124.31
10.16,6,3,0.027,60.9,social,none,desktop,2,100.91
13.76,8,4,0.026,47.3,ads,gold,mobile,9,147.86
4.12,10,1,0.033,63.4,social,silver,desktop,3,93.72
2.02,9,5,0.071,59.8,social,silver,mobile,6,127.7
11.23,7,4,0.053,85.5,ads,silver,mobile,6,152.36
9.64,10,9,0.153,74.1,organic,none,tablet,6,155.14
12.35,9,3,0.122,93.5,organic,none,mobile,3,154.99
17.43,16,6,0.057,84.9,ads,none,desktop,7,185.36
10.66,15,10,0.118,71.9,email,none,desktop,4,186.62
10.52,11,3,0.183,45.8,social,silver,mobile,4,132.45
11.03,7,5,0.094,87.9,organic,gold,mobile,6,151.09
10.39,8,2,0.016,81.5,social,silver,desktop,8,135.1
9.32,8,3,0.178,38.4,ads,none,desktop,4,125.12
18.32,8,6,0.081,65.1,social,gold,mobile,5,169.72
9.59,9,7,0.134,35.7,ads,none,mobile,4,141.31
1.67,13,7,0.0,92.2,ads,gold,mobile,6,164.33
13.22,10,1,0.144,74.0,social,none,mobile,2,109.05
7.14,14,5,0.093,52.5,social,gold,desktop,4,162.38
11.61,7,6,0.028,54.3,social,none,mobile,7,139.15
15.55,10,5,0.001,65.2,ads,gold,mobile,7,172.91
3.54,11,5,0.088,51.2,email,silver,mobile,2,144.48
12.32,8,2,0.133,72.3,organic,none,mobile,2,120.04
18.63,19,3,0.072,70.7,ads,silver,mobile,4,200.14
12.86,10,4,0.179,55.0,social,silver,mobile,4,155.41
6.01,9,3,0.029,52.7,email,gold,desktop,8,139.23
23.32,7,2,0.129,65.8,ads,none,mobile,7,180.88
12.69,13,7,0.042,67.0,social,silver,tablet,2,141.72
8.09,12,2,0.187,95.9,ads,gold,tablet,4,159.22
8.91,12,5,0.163,40.9,social,gold,mobile,2,132.25
14.08,18,4,0.0,58.3,email,none,desktop,4,168.95
1.42,7,7,0.042,81.2,ads,none,desktop,5,128.73
11.35,9,7,0.097,49.5,organic,silver,tablet,2,138.58
8.02,12,2,0.072,82.4,social,silver,desktop,5,140.25
17.41,15,4,0.102,71.3,ads,none,mobile,5,176.69
7.57,8,4,0.05,78.3,email,none,desktop,5,122.04
10.88,10,3,0.146,61.2,ads,none,desktop,7,160.64
23.31,8,6,0.055,54.0,social,none,mobile,2,135.55
8.18,9,8,0.096,75.9,social,none,mobile,7,175.36
21.51,6,6,0.187,70.6,email,gold,mobile,5,166.57
15.27,6,5,0.121,71.3,social,none,desktop,1,129.98
23.24,15,4,0.107,63.9,ads,gold,desktop,3,196.96
7.69,15,3,0.156,67.4,social,gold,mobile,4,144.17
4.37,6,5,0.022,100.0,social,silver,tablet,9,151.02
11.04,7,3,0.217,50.1,social,none,desktop,3,114.26
10.34,12,3,0.131,53.4,ads,silver,mobile,8,166.22
10.3,9,7,0.078,57.5,social,silver,mobile,6,154.16
11.56,9,7,0.08,71.5,organic,none,mobile,2,128.92
17.65,8,4,0.114,55.9,email,none,mobile,6,149.68
7.86,10,6,0.106,56.3,email,silver,mobile,4,139.9
5.08,10,4,0.067,37.3,email,silver,desktop,9,149.89
16.56,3,5,0.146,80.2,social,gold,tablet,2,143.87
9.57,8,8,0.056,51.9,ads,none,desktop,4,125.7
12.52,13,6,0.01,40.3,organic,none,mobile,4,126.69
20.73,17,2,0.049,66.9,email,none,mobile,4,168.25
12.23,11,4,0.02,64.0,ads,none,mobile,3,136.8
13.2,14,5,0.162,100.0,social,silver,desktop,4,195.59
5.86,11,3,0.0,69.6,email,silver,mobile,4,149.25
21.13,6,7,0.126,53.7,email,none,desktop,4,147.34
7.91,15,4,0.003,57.4,social,none,mobile,2,133.04
22.99,8,5,0.031,75.1,social,none,desktop,13,193.96
11.31,14,3,0.185,72.8,organic,silver,mobile,8,182.85
6.24,17,3,0.117,89.7,organic,none,desktop,4,132.7
13.05,12,3,0.128,90.2,organic,none,mobile,3,129.35
7.4,11,3,0.127,62.1,organic,none,mobile,5,115.02
11.45,11,8,0.157,31.1,ads,silver,mobile,4,161.07
6.54,10,9,0.049,52.2,email,none,mobile,3,102.11
7.49,12,3,0.095,63.2,organic,gold,mobile,3,162.32
6.98,10,3,0.096,50.0,email,gold,mobile,6,143.3
20.63,11,5,0.103,74.9,email,gold,mobile,3,215.27
11.45,10,5,0.112,78.2,organic,gold,desktop,4,161.69
9.45,14,7,0.088,97.7,organic,gold,mobile,3,190.97
11.64,14,3,0.068,43.8,organic,none,mobile,3,107.89
15.76,6,2,0.161,74.3,ads,none,desktop,4,128.05
15.36,7,3,0.1,49.0,organic,none,tablet,8,136.72
15.5,12,7,0.045,72.3,organic,silver,mobile,4,166.43
17.61,8,4,0.154,54.3,email,none,mobile,4,154.89
27.02,14,4,0.081,64.6,organic,silver,desktop,6,203.45
5.83,14,8,0.102,58.5,organic,gold,desktop,6,159.43
6.28,10,7,0.107,74.6,ads,silver,desktop,6,131.01
17.66,10,4,0.067,82.3,email,silver,mobile,2,142.32
2.18,11,7,0.167,66.3,organic,none,mobile,3,132.31
12.81,11,5,0.12,76.9,ads,gold,mobile,4,174.9
8.72,7,3,0.034,68.5,organic,none,desktop,4,97.0
20.13,11,3,0.118,70.2,social,silver,desktop,2,153.07
14.12,6,2,0.063,57.0,organic,none,desktop,7,124.73
14.2,7,6,0.064,96.6,organic,none,mobile,3,134.38
16.78,12,8,0.098,67.6,ads,none,mobile,5,151.01
14.42,14,5,0.068,70.1,ads,none,mobile,2,132.47
14.82,9,5,0.068,64.8,organic,none,tablet,8,170.77
14.34,11,4,0.052,64.4,organic,none,desktop,4,144.83
25.63,12,5,0.048,72.9,organic,none,desktop,4,159.63
1.0,12,4,0.061,58.1,ads,silver,mobile,4,141.03
14.41,12,2,0.1,54.8,ads,gold,desktop,3,145.33
14.26,10,7,0.048,91.8,social,none,mobile,1,148.61
11.52,12,4,0.062,80.0,organic,gold,desktop,5,166.43
5.8,6,7,0.005,82.7,organic,silver,desktop,7,134.22
18.2,12,7,0.117,44.2,social,none,desktop,4,167.78
13.37,5,9,0.163,37.0,organic,none,tablet,3,130.2
15.75,13,4,0.103,77.5,social,gold,desktop,6,187.46
16.88,9,4,0.12,42.5,organic,silver,tablet,3,129.42
13.5,14,5,0.116,51.1,ads,none,desktop,4,145.77
18.4,16,2,0.144,62.6,email,gold,mobile,2,169.47
4.44,12,6,0.061,64.4,organic,none,mobile,9,148.37
13.12,5,7,0.03,55.0,social,none,mobile,6,133.1
10.57,12,3,0.037,54.8,social,none,desktop,6,149.64
9.4,14,3,0.116,66.1,ads,none,mobile,3,130.59
5.11,7,7,0.05,39.0,ads,none,mobile,5,107.7
16.76,9,4,0.086,34.8,ads,silver,desktop,3,129.51
7.9,11,4,0.016,81.8,organic,gold,desktop,6,160.67
2.75,8,6,0.044,72.6,ads,none,desktop,5,121.14
21.84,10,7,0.0,91.1,email,none,mobile,2,176.29
11.73,9,6,0.021,79.7,organic,silver,desktop,4,137.32
12.92,9,3,0.087,53.7,email,none,mobile,6,127.79
4.28,10,2,0.103,72.4,organic,gold,desktop,1,119.4
1.09,9,4,0.061,56.0,organic,gold,tablet,5,123.94
18.6,12,7,0.121,61.8,organic,silver,mobile,7,153.09
2.44,7,3,0.115,60.5,social,none,mobile,4,103.76
14.57,8,4,0.119,72.0,organic,none,mobile,5,118.81
9.69,14,4,0.0,80.2,social,silver,desktop,3,124.71
6.39,13,4,0.098,34.6,ads,none,mobile,3,133.14
8.56,9,3,0.0,85.1,email,silver,mobile,4,133.81
6.95,6,4,0.151,40.1,email,silver,desktop,6,128.04
17.99,9,2,0.004,82.3,organic,silver,desktop,2,116.81
1.0,10,8,0.054,94.0,social,none,mobile,4,116.66
9.02,7,5,0.139,18.9,organic,none,tablet,4,105.38
24.96,10,9,0.102,47.7,ads,none,tablet,1,146.48
11.64,9,4,0.055,71.4,organic,gold,mobile,2,133.1
20.08,10,2,0.102,46.4,ads,silver,mobile,3,130.75
7.76,14,6,0.123,87.8,ads,silver,mobile,5,161.21
10.32,6,4,0.114,53.1,social,gold,desktop,4,126.7
3.88,3,1,0.066,71.4,ads,none,desktop,6,96.34
14.33,11,7,0.029,84.6,ads,none,mobile,3,143.26
20.81,5,6,0.149,42.8,ads,gold,mobile,5,155.86
14.53,9,1,0.0,56.3,social,silver,mobile,4,122.81
26.12,8,2,0.12,58.4,ads,none,mobile,3,144.8
15.43,9,6,0.151,64.2,organic,gold,mobile,3,172.01
12.48,15,4,0.142,74.7,email,none,mobile,1,154.25
17.5,6,5,0.028,29.0,ads,silver,mobile,5,105.17
8.32,10,2,0.077,59.4,social,none,desktop,3,109.08
8.88,15,3,0.099,69.1,ads,gold,desktop,4,180.64
8.28,11,4,0.085,77.0,organic,gold,tablet,4,157.8
13.58,8,4,0.194,56.0,ads,silver,mobile,7,144.19
12.77,16,6,0.089,62.8,organic,none,mobile,5,160.95
12.21,11,5,0.083,42.0,organic,none,mobile,4,114.19
2.79,10,2,0.035,75.6,organic,silver,mobile,4,110.01
3.43,9,6,0.076,86.6,organic,silver,mobile,2,120.9
8.0,8,5,0.047,73.9,ads,silver,desktop,4,118.11
7.41,8,2,0.085,36.4,social,none,desktop,2,97.3
2.97,9,4,0.133,22.2,ads,silver,desktop,5,105.75
20.88,10,3,0.153,90.1,organic,silver,desktop,4,159.12
7.6,7,4,0.053,23.4,organic,silver,mobile,3,82.46
4.77,10,5,0.127,58.8,ads,none,desktop,7,147.86
7.56,7,2,0.112,79.7,organic,none,mobile,5,115.35
8.81,11,6,0.139,87.4,email,none,mobile,2,136.52
9.49,11,4,0.05,43.9,ads,silver,mobile,4,136.77
20.56,5,6,0.094,34.3,organic,silver,tablet,4,153.04
2.38,9,4,0.0,48.1,ads,silver,desktop,3,90.53
21.64,5,4,0.134,32.3,ads,none,mobile,2,130.02
9.73,7,0,0.064,59.0,email,gold,desktop,3,103.51
10.06,7,10,0.166,52.7,organic,gold,tablet,2,156.38
14.05,12,7,0.131,72.2,organic,silver,mobile,3,160.02
9.28,6,5,0.116,73.0,organic,none,desktop,1,86.82
6.54,7,4,0.08,75.6,organic,none,mobile,4,128.59
18.69,7,6,0.0,81.4,email,silver,mobile,7,156.08
9.72,15,6,0.12,44.7,organic,none,desktop,6,153.63
6.26,8,5,0.094,30.8,email,none,tablet,2,113.6
2.97,13,5,0.154,50.2,email,silver,desktop,4,156.8
16.08,6,4,0.11,89.6,email,gold,tablet,4,156.55
5.6,13,4,0.125,59.5,email,gold,mobile,6,165.15
10.5,10,7,0.12,46.9,ads,none,mobile,1,121.6
19.1,12,6,0.034,36.7,organic,silver,desktop,5,124.06
11.52,11,8,0.085,42.5,ads,silver,desktop,3,132.03
16.59,11,5,0.111,74.9,organic,gold,desktop,5,170.58
1.3,10,5,0.076,64.9,ads,silver,desktop,7,146.39
12.09,12,1,0.13,44.1,email,none,mobile,3,131.22
9.15,11,3,0.061,51.6,social,silver,desktop,8,133.75
2.77,11,7,0.136,73.7,email,none,mobile,2,124.35
8.53,6,4,0.139,81.8,ads,none,desktop,4,142.32
10.91,6,4,0.06,68.2,email,gold,mobile,4,148.36
13.86,8,5,0.054,38.7,organic,none,mobile,2,116.78
10.05,6,5,0.03,41.8,organic,none,mobile,6,118.76
18.64,9,6,0.106,71.7,organic,gold,desktop,4,172.53
7.72,9,4,0.063,65.9,email,silver,desktop,2,126.26
11.95,10,4,0.0,36.6,ads,gold,desktop,4,133.32
9.88,9,8,0.109,68.6,organic,gold,mobile,5,161.68
12.72,10,3,0.049,81.2,ads,gold,mobile,6,157.13
8.05,9,6,0.121,58.6,email,none,tablet,1,110.6
17.68,9,3,0.101,62.1,email,silver,mobile,4,141.66
5.45,7,2,0.0,31.0,email,silver,tablet,6,107.82
20.5,8,7,0.009,63.4,ads,none,tablet,3,141.5
7.24,9,4,0.072,89.6,organic,gold,desktop,11,190.01
10.21,10,4,0.096,49.8,organic,none,tablet,2,122.11
11.19,6,5,0.111,67.8,ads,gold,desktop,9,159.01
17.03,11,8,0.144,56.9,social,silver,mobile,2,172.26
8.72,14,5,0.109,31.5,email,gold,mobile,4,155.38
13.94,8,5,0.041,31.0,email,gold,mobile,4,148.03
21.8,14,2,0.133,63.3,organic,silver,desktop,4,152.09
3.64,13,2,0.074,25.0,organic,gold,desktop,3,131.45
7.21,9,1,0.043,61.4,organic,silver,desktop,4,112.98
16.7,13,3,0.128,84.4,social,none,mobile,3,146.03
8.39,9,3,0.11,83.6,ads,none,tablet,2,126.52
10.03,12,2,0.077,35.8,organic,silver,mobile,4,135.01
14.09,13,1,0.178,82.8,email,gold,mobile,6,168.1
9.91,8,5,0.155,54.1,ads,gold,mobile,7,157.49
10.82,9,5,0.046,40.0,ads,silver,mobile,5,111.68
22.26,8,2,0.137,64.6,ads,none,tablet,4,174.97
1.07,12,1,0.115,38.8,social,silver,mobile,6,114.19
1.03,9,1,0.167,59.7,ads,silver,desktop,7,138.3
13.41,6,6,0.052,37.0,organic,silver,desktop,2,116.5
17.66,10,2,0.093,23.9,email,silver,desktop,1,128.96
12.14,13,4,0.039,59.6,email,gold,mobile,6,151.51
18.47,9,5,0.047,18.9,organic,silver,desktop,3,131.3
14.66,15,8,0.061,83.4,organic,silver,mobile,2,172.82
9.25,7,7,0.133,42.8,ads,silver,desktop,1,121.58
7.89,12,4,0.1,77.0,organic,none,mobile,6,153.45
11.36,6,5,0.048,30.8,ads,none,mobile,9,120.28
8.58,16,2,0.079,59.8,ads,none,mobile,3,132.5
10.86,9,4,0.0,63.2,organic,silver,desktop,2,125.06
6.08,8,3,0.154,38.0,social,none,mobile,2,108.36
13.04,12,4,0.083,56.5,ads,silver,desktop,5,126.76
